134.1600	134.0400	2.2322e4	134.0400	134.1600	Undefined	4.4118
159.0000	159.0000	3.3483e5	158.6400	159.2400	0.2138	66.1765
159.4800	159.4800	4.4644e4	159.3600	159.6000	0.1440	8.8235
177.0000	176.8800	2.9763e4	176.8800	177.1200	Undefined	5.8824
273.0000	273.0000	5.9525e4	272.8800	273.1200	0.1486	11.7647
306.2400	306.1200	1.4881e4	306.1200	306.2400	Undefined	2.9412
329.1600	329.0400	1.4881e4	329.0400	329.2800	Undefined	2.9412
354.0000	354.0000	1.4881e4	354.0000	354.1200	Undefined	2.9412
409.0800	409.0200	1.8602e5	408.8400	409.3200	0.3200	36.7647
426.8400	426.8100	2.2322e4	426.6000	426.9600	0.2700	4.4118
427.0800	427.0800	1.4881e4	426.9600	427.2000	Undefined	2.9412
507.0000	506.9222	5.0596e5	506.4000	507.4800	0.3728	100.0000
