70.9200	70.9200	1.1058e4	70.8000	71.0400	0.1486	5.1948
71.2800	71.2800	2764.5139	71.1600	71.2800	Undefined	1.2987
72.9600	72.9362	2.1287e5	72.2400	73.3200	0.2569	100.0000
73.5600	73.5600	8293.5420	73.4400	73.6800	Undefined	3.8961
81.0000	81.0000	4146.7710	80.8800	81.0000	Undefined	1.9481
82.9200	82.9200	2764.5139	82.8000	83.0400	0.2400	1.2987
87.0000	87.0000	2.3498e4	86.7600	87.1200	0.1805	11.0390
99.0000	99.0000	9675.7988	98.8800	99.0000	Undefined	4.5455
101.0400	101.0025	1.5205e4	100.8000	101.1600	0.2800	7.1429
145.0800	145.0890	5.1144e4	144.9600	145.4400	0.2078	24.0260
