58.9200	58.9200	1000.0000	58.8000	58.9200	Undefined	2.4000
81.9600	81.9600	1000.0000	81.8400	82.0800	0.1800	2.4000
84.0000	84.0000	1333.3334	83.8800	84.0000	Undefined	3.2000
87.0000	87.0000	1.9000e4	86.6400	87.2400	0.1684	45.6000
87.9600	88.0044	2.2667e4	87.7200	88.2000	0.2757	54.4000
88.4400	88.4400	3000.0000	88.3200	88.5600	0.1851	7.2000
100.9200	100.9200	666.6667	100.9200	101.0400	Undefined	1.6000
102.0000	102.0000	2.4333e4	101.6400	102.2400	0.2078	58.4000
102.3600	102.3600	2333.3333	102.2400	102.4800	Undefined	5.6000
102.9600	102.9200	4000.0000	102.8400	103.0800	Undefined	9.6000
104.0400	104.0400	2.9333e4	103.5600	104.5200	0.1806	70.4000
104.7600	104.7600	666.6667	104.6400	104.7600	Undefined	1.6000
106.3200	106.3200	666.6667	106.2000	106.3200	Undefined	1.6000
106.8000	106.8000	666.6667	106.6800	106.8000	Undefined	1.6000
107.0400	107.0400	2000.0000	106.9200	107.1600	Undefined	4.8000
128.1600	128.1022	9333.3330	127.8000	128.2800	0.2531	22.4000
130.0800	130.0800	4.1667e4	129.6000	130.4400	0.1691	100.0000
130.8000	130.8000	1333.3334	130.6800	130.8000	Undefined	3.2000
131.1600	131.1600	1333.3334	131.0400	131.1600	Undefined	3.2000
148.0800	148.1190	2.7000e4	147.6000	148.3200	0.2594	64.8000
