78.9600	78.9600	2.1057e4	78.7200	79.2000	Undefined	6.1110
133.0800	133.0800	1.3823e4	132.9600	133.2000	0.1663	4.0114
149.7600	149.7600	3661.5104	149.6400	149.7600	Undefined	1.0626
150.1200	150.1200	4.0644e4	149.8800	150.2400	0.1837	11.7953
159.0000	159.0015	2.6410e5	158.6400	159.2400	0.2407	76.6440
159.6000	159.5470	1.1352e4	159.3600	159.7200	Undefined	3.2945
175.0800	175.0800	6131.9268	174.9600	175.2000	0.1714	1.7795
177.0000	177.0000	4.2115e4	176.8800	177.2400	0.1913	12.2221
230.0400	230.0400	8602.3438	230.0400	230.1600	Undefined	2.4965
238.6800	238.6800	5308.4548	238.5600	238.6800	Undefined	1.5406
238.9200	238.9200	3.5159e4	238.8000	239.1600	0.1597	10.2036
273.0000	273.0595	2.9204e4	272.7600	273.2400	0.3098	8.4752
291.2400	291.0000	4029.1318	290.8800	291.0000	Undefined	1.1693
325.9200	325.9200	5676.0763	325.9200	326.0400	Undefined	1.6472
344.0400	344.0400	2.8101e4	343.6800	344.5200	0.2071	8.1552
370.8000	370.7823	6867.1700	370.6800	370.9200	Undefined	1.9929
423.9600	423.9461	1.7622e5	423.6000	424.3200	0.3348	51.1416
441.9600	441.9231	5.0085e4	441.6000	442.0800	0.2590	14.5351
442.2000	442.2000	1.8675e4	442.0800	442.3200	Undefined	5.4197
461.7600	461.7600	4029.1318	461.6400	461.7600	Undefined	1.1693
504.1200	503.9597	8146.4927	503.7600	504.2400	Undefined	2.3642
521.8800	521.8688	3.4458e5	521.4000	522.3600	0.4111	100.0000
