experiment_id,sample_name,filename,met_id,scan_type,precursor_formula
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_acon-C_176_EPI_peakList.txt,acon-C,EPI,C3[13C]3H5O6-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_acon-C_173_EPI_peakList.txt,acon-C,EPI,C6H5O6-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_acon-C_174_EPI_peakList.txt,acon-C,EPI,C5[13C]H5O6-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_acon-C_175_EPI_peakList.txt,acon-C,EPI,C4[13C]2H5O6-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_akg_145_EPI_peakList.txt,akg,EPI,C5H5O5-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_akg_145_EPI_peakList.txt,akg,EPI,C5H5O5-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_akg_145_EPI_peakList.txt,akg,EPI,C5H5O5-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_amp_346_EPI_peakList.txt,amp,EPI,C10H13N5O7P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_amp_347_EPI_peakList.txt,amp,EPI,C9[13C]H13N5O7P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_amp_346_EPI_peakList.txt,amp,EPI,C10H13N5O7P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_amp_347_EPI_peakList.txt,amp,EPI,C9[13C]H13N5O7P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_amp_346_EPI_peakList.txt,amp,EPI,C10H13N5O7P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_amp_347_EPI_peakList.txt,amp,EPI,C9[13C]H13N5O7P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_amp_348_EPI_peakList.txt,amp,EPI,C8[13C]2H13N5O7P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_asp-L_132_EPI_peakList.txt,asp-L,EPI,C4H6NO4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_asp-L_133_EPI_peakList.txt,asp-L,EPI,C3[13C]H6NO4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_asp-L_135_EPI_peakList.txt,asp-L,EPI,C[13C]3H6NO4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_asp-L_132_EPI_peakList.txt,asp-L,EPI,C4H6NO4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_asp-L_133_EPI_peakList.txt,asp-L,EPI,C3[13C]H6NO4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_asp-L_132_EPI_peakList.txt,asp-L,EPI,C4H6NO4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_asp-L_133_EPI_peakList.txt,asp-L,EPI,C3[13C]H6NO4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_asp-L_135_EPI_peakList.txt,asp-L,EPI,C[13C]3H6NO4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_atp_506_EPI_peakList.txt,atp,EPI,C10H15N5O13P3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_atp_507_EPI_peakList.txt,atp,EPI,C9[13C]H15N5O13P3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_atp_506_EPI_peakList.txt,atp,EPI,C10H15N5O13P3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_atp_507_EPI_peakList.txt,atp,EPI,C9[13C]H15N5O13P3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_atp_506_EPI_peakList.txt,atp,EPI,C10H15N5O13P3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_atp_507_EPI_peakList.txt,atp,EPI,C9[13C]H15N5O13P3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_fdp_339_EPI_peakList.txt,fdp,EPI,C6H13O12P2-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_fdp_340_EPI_peakList.txt,fdp,EPI,C5[13C]H13O12P2-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_fdp_339_EPI_peakList.txt,fdp,EPI,C6H13O12P2-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_fdp_340_EPI_peakList.txt,fdp,EPI,C5[13C]H13O12P2-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_fdp_341_EPI_peakList.txt,fdp,EPI,C4[13C]2H13O12P2-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_fdp_339_EPI_peakList.txt,fdp,EPI,C6H13O12P2-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_fdp_340_EPI_peakList.txt,fdp,EPI,C5[13C]H13O12P2-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_fdp_341_EPI_peakList.txt,fdp,EPI,C4[13C]2H13O12P2-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_g6p_259_EPI_peakList.txt,g6p,EPI,C6H12O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_g6p_260_EPI_peakList.txt,g6p,EPI,C5[13C]H12O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_g6p_261_EPI_peakList.txt,g6p,EPI,C4[13C]2H12O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_g6p_259_EPI_peakList.txt,g6p,EPI,C6H12O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_g6p_260_EPI_peakList.txt,g6p,EPI,C5[13C]H12O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_g6p_261_EPI_peakList.txt,g6p,EPI,C4[13C]2H12O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_g6p_259_EPI_peakList.txt,g6p,EPI,C6H12O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_g6p_260_EPI_peakList.txt,g6p,EPI,C5[13C]H12O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_g6p_261_EPI_peakList.txt,g6p,EPI,C4[13C]2H12O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_glu-L_146_EPI_peakList.txt,glu-L,EPI,C5H8NO4-
