61.9200	61.9360	4529.0972	61.6800	62.1600	0.3600	36.8421
78.8400	78.8400	2588.0554	78.7200	78.9600	0.1600	21.0526
79.0800	79.0800	1294.0277	78.9600	79.2000	Undefined	10.5263
138.9600	138.9600	1294.0277	138.9600	139.0800	Undefined	10.5263
147.0000	147.0000	2588.0554	146.8800	147.0000	Undefined	21.0526
159.6000	159.1200	1294.0277	159.0000	159.1200	Undefined	10.5263
161.0400	161.0550	4529.0972	160.9200	161.1600	Undefined	36.8421
181.2000	181.2000	1941.0416	181.0800	181.2000	Undefined	15.7895
187.0800	183.3600	1294.0277	183.2400	183.3600	Undefined	10.5263
225.0000	225.0000	1294.0277	224.8800	225.0000	Undefined	10.5263
228.9600	228.9600	1294.0277	228.9600	229.0800	Undefined	10.5263
229.3200	229.3200	1941.0416	229.2000	229.4400	0.1800	15.7895
243.0000	243.0171	1.2293e4	242.8800	243.3600	0.3108	100.0000
263.0400	263.0400	1294.0277	262.9200	263.1600	0.2400	10.5263
265.2000	265.1400	1294.0277	264.9600	265.2000	Undefined	10.5263
279.1200	266.8800	1294.0277	266.8800	267.0000	Undefined	10.5263
325.0800	325.0960	4529.0972	324.9600	325.4400	Undefined	36.8421
