68.4000	166.6667	0.2315
68.5200	166.6667	0.2315
68.7600	166.6667	0.2315
68.8800	166.6667	0.2315
69.0000	166.6667	0.2315
69.1200	166.6667	0.2315
70.5600	166.6667	0.2315
86.0400	500.0000	0.6944
86.1600	833.3334	1.1574
86.2800	1333.3333	1.8519
86.4000	1500.0000	2.0833
86.5200	3500.0000	4.8611
86.6400	8666.6665	12.0370
86.7600	1.9500e4	27.0833
86.8800	5.4500e4	75.6944
87.0000	7.2000e4	100.0000
87.1200	3.7167e4	51.6204
87.2400	9000.0002	12.5000
87.3600	5666.6665	7.8704
87.4800	4333.3334	6.0185
87.6000	2500.0001	3.4722
87.7200	1666.6667	2.3148
87.8400	500.0000	0.6944
87.9600	666.6667	0.9259
88.2000	166.6667	0.2315
88.3200	166.6667	0.2315
88.4400	833.3334	1.1574
88.5600	500.0000	0.6944
88.6800	166.6667	0.2315
88.8000	666.6667	0.9259
89.0400	333.3333	0.4630
89.2800	166.6667	0.2315
90.1200	166.6667	0.2315
90.7200	166.6667	0.2315
90.9600	166.6667	0.2315
91.0800	166.6667	0.2315
91.5600	666.6667	0.9259
91.6800	166.6667	0.2315
