experiment_id,sample_name,filename,_,_,met_id,_,_,_,scan_type,_,precursor_formula,used_
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_akg_146_EPI.txt,10,_,akg,_,146,_,EPI,.txt,C4[13C]H5O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_akg_146_EPI.txt,10,_,akg,_,146,_,EPI,.txt,C4[13C]H5O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_glu-L_146_EPI.txt,10,_,glu-L,_,146,_,EPI,.txt,C5H8NO4-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_akg_147_EPI.txt,10,_,akg,_,147,_,EPI,.txt,C3[13C]2H5O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_akg_147_EPI.txt,10,_,akg,_,147,_,EPI,.txt,C3[13C]2H5O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_glu-L_147_EPI.txt,10,_,glu-L,_,147,_,EPI,.txt,C4[13C]H8NO4-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_akg_148_EPI.txt,10,_,akg,_,148,_,EPI,.txt,C2[13C]3H5O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_akg_148_EPI.txt,10,_,akg,_,148,_,EPI,.txt,C2[13C]3H5O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_glu-L_148_EPI.txt,10,_,glu-L,_,148,_,EPI,.txt,C3[13C]2H8NO4-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_met-L_148_EPI.txt,10,_,met-L,_,148,_,EPI,.txt,C5H10NO2S-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_akg_149_EPI.txt,10,_,akg,_,149,_,EPI,.txt,C[13C]4H5O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_akg_149_EPI.txt,10,_,akg,_,149,_,EPI,.txt,C[13C]4H5O5-,
