id,mapping_id,rxn_id,rxn_description,reactants_stoichiometry_tracked,products_stoichiometry_tracked,reactants_ids_tracked,products_ids_tracked,reactants_mapping,products_mapping,rxn_equation,used_,comment_,reactants_elements_tracked,products_elements_tracked,reactants_positions_tracked,products_positions_tracked,corrected
86,central03,5MTRtpp,,{-1},{1},{5mtr_c},{5mtr_p},{abcdef},{abcdef},,t,,"[[""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4, 5]]","[[0, 1, 2, 3, 4, 5]]",
996,full02,5MTRtpp,,{-1},{1},{5mtr_c},{5mtr_p},{abcdef},{abcdef},,t,,"[[""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4, 5]]","[[0, 1, 2, 3, 4, 5]]",
302,central03,A5PISO,,{-1},{1},{ru5p_DASH_D_c},{ara5p_c},{abcde},{abcde},,t,,"[[""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4]]","[[0, 1, 2, 3, 4]]",
303,central03,A5PISO,,{-1},{1},{ru5p_DASH_D_c},{ara5p_c},{abcde},{abcde},,t,,"[[""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4]]","[[0, 1, 2, 3, 4]]",
1213,full02,A5PISO,,{-1},{1},{ru5p_DASH_D_c},{ara5p_c},{abcde},{abcde},,t,,"[[""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4]]","[[0, 1, 2, 3, 4]]",
1214,full02,A5PISO,,{-1},{1},{ru5p_DASH_D_c},{ara5p_c},{abcde},{abcde},,t,,"[[""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4]]","[[0, 1, 2, 3, 4]]",
304,central03,A5PISO_reverse,,{-1},{1},{ara5p_c},{ru5p_DASH_D_c},{abcde},{abcde},,t,,"[[""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4]]","[[0, 1, 2, 3, 4]]",
305,central03,A5PISO_reverse,,{-1},{1},{ara5p_c},{ru5p_DASH_D_c},{abcde},{abcde},,t,,"[[""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4]]","[[0, 1, 2, 3, 4]]",
1215,full02,A5PISO_reverse,,{-1},{1},{ara5p_c},{ru5p_DASH_D_c},{abcde},{abcde},,t,,"[[""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4]]","[[0, 1, 2, 3, 4]]",
1216,full02,A5PISO_reverse,,{-1},{1},{ara5p_c},{ru5p_DASH_D_c},{abcde},{abcde},,t,,"[[""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4]]","[[0, 1, 2, 3, 4]]",
1,central03,ABTA,,"{-1,-1}","{1,1}","{4abut_c,akg_c}","{glu_DASH_L_c,sucsal_c}","{abcd,efghi}","{efghi,abcd}",,t,,"[[""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3], [0, 1, 2, 3, 4]]","[[0, 1, 2, 3, 4], [0, 1, 2, 3]]",
908,full02,ABTA,,"{-1,-1}","{1,1}","{4abut_c,akg_c}","{glu_DASH_L_c,sucsal_c}","{abcd,efghi}","{efghi,abcd}",,t,,"[[""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3], [0, 1, 2, 3, 4]]","[[0, 1, 2, 3, 4], [0, 1, 2, 3]]",
18,central03,ACALD,,{-1},{1},{acald_c},{accoa_c},{ab},{ab},,t,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
922,full02,ACALD,,"{-1,-1}",{1},"{acald_c,coa_c}",{accoa_c},"{ab,ABCDEFGHIJKLMNOPQRSTU}",{ABCDEFGHIJKLMNOPQRSTUab},,t,,"[[""C"", ""C""], [""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]",
923,full02,ACALD,,{-1},{1},{acald_c},{accoa_c},{ab},{ab},,f,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
17,central03,ACALD_coa,,"{-1,-1}",{1},"{acald_c,coa_c}",{accoa_c},"{ab,ABCDEFGHIJKLMNOPQRSTU}",{ABCDEFGHIJKLMNOPQRSTUab},,f,,"[[""C"", ""C""], [""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]",
14,central03,ACALD_reverse,,{-1},{1},{accoa_c},{acald_c},{ab},{ab},,t,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
918,full02,ACALD_reverse,,{-1},"{1,1}",{accoa_c},"{acald_c,coa_c}",{ABCDEFGHIJKLMNOPQRSTUab},"{ab,ABCDEFGHIJKLMNOPQRSTU}",,t,,"[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C""], [""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]","[[0, 1], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",
919,full02,ACALD_reverse,,{-1},{1},{accoa_c},{acald_c},{ab},{ab},,f,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
13,central03,ACALD_reverse_coa,,{-1},"{1,1}",{accoa_c},"{acald_c,coa_c}",{ABCDEFGHIJKLMNOPQRSTUab},"{ab,ABCDEFGHIJKLMNOPQRSTU}",,f,,"[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C""], [""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]","[[0, 1], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",
307,central03,ACCOAC,,"{-1,-1}",{1},"{hco3_c,accoa_c}",{malcoa_c},"{a,bc}",{bca},,t,,"[[""C""], [""C"", ""C""]]","[[""C"", ""C"", ""C""]]","[[0], [0, 1]]","[[0, 1, 2]]",
1217,full02,ACCOAC,,"{-1,-1}",{1},"{hco3_c,accoa_c}",{malcoa_c},"{a,ABCDEFGHIJKLMNOPQRSTUbc}",{ABCDEFGHIJKLMNOPQRSTUbca},,t,,"[[""C""], [""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",
1218,full02,ACCOAC,,"{-1,-1}",{1},"{hco3_c,accoa_c}",{malcoa_c},"{a,bc}",{bca},,f,,"[[""C""], [""C"", ""C""]]","[[""C"", ""C"", ""C""]]","[[0], [0, 1]]","[[0, 1, 2]]",
306,central03,ACCOAC_coa,,"{-1,-1}",{1},"{hco3_c,accoa_c}",{malcoa_c},"{a,ABCDEFGHIJKLMNOPQRSTUbc}",{ABCDEFGHIJKLMNOPQRSTUbca},,f,,"[[""C""], [""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",
308,central03,ACCOAL,,{-1},{1},{ppa_c},{ppcoa_c},{abc},{abc},,t,,"[[""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C""]]","[[0, 1, 2]]","[[0, 1, 2]]",
1219,full02,ACCOAL,,{-1},{1},{ppa_c},{ppcoa_c},{abc},{abc},,t,,"[[""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C""]]","[[0, 1, 2]]","[[0, 1, 2]]",
309,central03,ACGAMK,,{},{},{},{},"{""""}","{""""}",,t,,[],[],[],[],
1220,full02,ACGAMK,,{},{},{},{},"{""""}","{""""}",,t,,[],[],[],[],
2,central03,ACKr,,{-1},{1},{ac_c},{actp_c},{ab},{ab},,t,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
909,full02,ACKr,,{-1},{1},{ac_c},{actp_c},{ab},{ab},,t,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
3,central03,ACKr_reverse,,{-1},{1},{actp_c},{ac_c},{ab},{ab},,t,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
910,full02,ACKr_reverse,,{-1},{1},{actp_c},{ac_c},{ab},{ab},,t,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
310,central03,ACM6PH,,{},{},{},{},"{""""}","{""""}",,f,,[],[],[],[],
1221,full02,ACM6PH,,{},{},{},{},"{""""}","{""""}",,f,,[],[],[],[],
4,central03,ACODA,,{-1},"{1,1}",{acorn_c},"{ac_c,orn_c}",{abcdefg},"{fg,abcde}",,t,,"[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C""], [""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4, 5, 6]]","[[0, 1], [0, 1, 2, 3, 4]]",
911,full02,ACODA,,{-1},"{1,1}",{acorn_c},"{ac_c,orn_c}",{abcdefg},"{fg,abcde}",,t,,"[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C""], [""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4, 5, 6]]","[[0, 1], [0, 1, 2, 3, 4]]",
803,central03,ACONTa,,{-1},{1},{cit_c},{acon_DASH_C_c},{abcdef},{abcdef},,t,,"[[""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4, 5]]","[[0, 1, 2, 3, 4, 5]]",
