,CF01,CF02,CF03,CF04,CF05,CF06,CF07,CF08,DE01,DE02,DE03,DE04,DE05,DE06,DE07,DE08,FSF01,FSF02,FSF03,FSF04,FSF05,FSF06,FSF07,FSF08,SST01,SST02,SST03,SST04,SST05,SST06,SST07,SST08
nadph,40732.45302,52518.30246,57971.24111,52421.80598,45034.87693,40455.13704,46957.54629,41031.03493,40794.48292,49647.79709,45015.0,45958.38091,34971.02047,37873.45084,36455.41587,37862.14117,50290.5462,41148.60054,44552.39117,47499.33882,25834.68833,23637.78622,32885.16186,37835.39765,66888.46575,66943.91309,55323.59086,47608.58259,39706.94147,42463.02173,39851.51982,32503.18225
oaa,483853.8715,485396.8737,474552.7513,430177.4552,394282.3643,388428.1106,360866.6362,347277.9171,341789.1294,356879.6679,334450.0934,328065.5401,231526.8609,215747.8665,195947.086,225103.4894,385171.4265,368502.7999,481112.731,467177.5224,160452.2392,157414.205,247246.1215,288568.1923,881579.0376,797736.5237,799561.4956,711258.3081,567756.9666,579741.8054,604356.1854,509621.822
orn,22600.18612,23101.50231,23848.91364,24912.89962,21692.85993,21677.06254,22939.70656,23171.00658,23747.95714,21910.11033,21108.84801,21603.54603,20080.52017,20446.81686,20680.24411,19419.97609,6971.532031,8766.893346,8285.566873,9648.900191,7133.758383,6529.756202,7550.01968,8784.404109,25843.71847,24973.67358,25617.74067,22872.63229,23498.72924,22109.61656,22755.77198,20113.0196
oxa,334660.233,299635.1402,339466.7788,345240.902,328459.407,287693.8495,300226.2325,315771.6401,358351.0754,360165.1597,337432.1913,364734.6789,339087.5958,316554.5011,335329.9241,326828.7953,648108.9135,604585.8597,618134.3139,550533.4026,449796.0099,457641.7999,464688.3902,509821.5404,300016.8679,307893.4191,281680.0854,273598.1587,282479.4039,293951.6845,290239.4743,288320.8208
pep,866585.6899,791985.799,924968.8444,884824.8985,784339.1451,776596.8296,748934.2771,774692.1908,1161809.306,1092967.149,971705.3096,852624.5653,748770.6542,821960.6501,714474.4808,791941.8774,1022982.097,976425.5818,1168773.687,1061780.319,650113.5793,659224.422,627721.0054,839134.4256,1305037.602,1179754.653,1045989.63,951415.2955,858153.6563,994933.498,914070.7677,678738.5892
phe-L,1227371.359,1213591.693,1278593.932,1297411.362,1270974.802,1118616.379,1222389.539,1151513.744,1287261.6,1279661.894,1261429.184,1167512.147,1096507.286,1015284.526,1052625.285,1094985.105,1300508.175,1210901.465,1248566.04,1167570.881,888284.7236,841306.6156,920462.3466,911701.4608,1509475.144,1434717.181,1240490.368,1255384.895,1174755.183,1055015.207,1253047.707,1016668.82
phpyr,50209.54368,44544.21599,44072.54412,44471.01242,38647.0,41456.25025,44997.32294,40529.82835,42626.99866,48665.78761,46972.16417,41826.17742,38145.07516,46585.91142,42574.21128,39168.37845,58936.58672,55564.4224,53455.64392,49283.24044,37110.90235,41857.95827,40166.90157,39413.00043,59964.71371,58030.91287,52731.0,55771.71243,47420.24914,48540.61089,53141.1494,48012.40389
pyr,30734.7354,30208.95117,32019.85091,29769.42386,28676.31036,27702.61199,27831.22452,27987.88085,33234.39845,31431.41909,30594.01973,28508.77622,26434.06516,27409.93192,26699.45427,26701.7548,28151.90299,29910.77218,25248.68012,25380.16353,21237.15607,18147.35409,20442.88481,20919.07192,35987.8612,31270.95016,30735.248,30205.01675,28398.90274,27922.08152,29436.33022,28046.89191
r5p,41817.68264,41959.97745,50102.52376,49610.71815,47219.36145,42303.20408,39845.96985,37953.5039,50640.12181,50621.20347,51818.18751,44723.14097,35134.33597,39329.81832,33088.62869,35399.86735,65635.78006,60846.40462,63884.55935,57130.98199,30860.25011,32037.41328,44013.41039,32528.09625,55461.66909,70901.70882,51729.78944,50247.82265,40782.75109,37879.19657,37471.04734,30898.39703
ribflv,271562.0,270655.0971,304763.8426,314916.0,294302.5027,287444.9495,237164.0,227431.2735,211579.9829,199146.0,265710.8865,243895.5892,193773.4601,153195.6134,185856.6733,189295.532,260318.0,230923.6261,311288.8484,265312.336,128310.3308,130690.5679,224874.0776,218341.0436,402484.3434,419469.2199,323588.0,328828.0,286104.1578,331496.0,290905.0,221116.3268
ru5p-D,61259.59599,56199.48859,61534.64369,59057.0,44913.62444,46330.49833,51386.04386,49888.4619,62126.64072,67277.66092,65468.52257,65937.39683,44442.19782,42359.98066,44498.91977,43221.0,84322.94711,71705.973,70566.67138,63150.86714,36419.21992,46461.04855,36412.82063,55338.48444,70076.33749,70293.0,60470.38859,58166.49089,46950.85606,47500.17927,48572.73337,35575.51919
s7p,70808.01234,73065.74326,78899.59781,90130.33985,80976.03246,57985.66674,70769.09802,58367.35177,89865.90224,94770.25532,85675.56806,76818.10517,52834.14295,54526.25036,53562.45798,69617.60543,114849.3704,110296.925,111539.0087,84159.29724,51248.5324,51821.26347,57435.74249,57745.48588,99202.38471,109750.2674,75353.69944,79604.98776,56049.97433,57323.36826,59578.51658,41430.93803
ser-L,456707.5505,450034.3956,422625.1589,431723.7895,412392.8321,412934.4829,419337.0,428933.6708,407774.3347,455600.3931,426176.2148,416941.3606,369385.3189,408404.2119,397144.6375,384450.2758,361473.3943,339757.4584,357502.3531,371543.1107,256281.4444,252254.9905,271521.5726,290433.3156,466553.7553,475291.3206,419959.8246,425608.5358,377893.1233,374401.6443,399478.7923,353973.6044
succ,320515.719,328425.4338,355999.9831,356545.7997,280950.0259,277406.5056,310317.6673,343906.4219,381930.78,341665.8744,338547.12,308989.6992,251097.3485,277594.3921,322099.4092,276328.0867,605849.2551,477123.9412,545335.3867,495325.8228,399335.3673,351986.4464,375702.5338,322294.898,376120.8996,347190.094,290033.2446,277150.6438,267968.6508,260995.0854,247645.6855,257573.4699
thr-L,1261323.321,1248849.136,1306891.362,1354249.824,1409172.948,1293841.333,1234363.358,1314053.733,1204021.914,1232044.266,1049129.193,1156538.049,1179108.919,1130666.875,1019633.865,1065268.478,1005065.276,874344.6069,935587.6529,1024920.157,686157.6939,731318.5098,788206.6466,805434.8999,1458961.102,1426621.99,1436351.551,1333804.773,1254318.815,1222200.402,1271950.881,1146603.834
thym,290460.4979,288633.3741,284810.3485,299508.9794,315702.7181,291632.9432,275277.3517,285081.6398,313806.8219,290200.4077,300967.4782,283444.8365,253343.9871,260592.8836,331418.5431,283288.9802,317061.0449,316568.8478,320365.8715,294246.011,231988.5616,220224.0742,209425.5841,240289.344,321759.0818,337204.5144,305201.6864,271171.1637,268781.557,263064.9828,286737.5639,225544.8716
trp-L,4660.0,5775.245113,4770.0,4751.178707,5709.393998,4969.032427,5647.0,4445.559298,5264.0,4473.063137,5009.614505,5154.0,4107.915287,4770.0,4311.52675,4121.301517,7163.872398,5297.719516,6908.0,5593.0,4089.610021,3912.119691,5391.666127,4957.328014,5757.0,7018.0,6751.078383,5389.16644,4572.85215,5483.0,5099.0,4449.325395
tyr-L,614170.9712,778126.1245,822299.2795,811534.5218,770223.2104,722295.3956,749834.3009,804025.1651,901692.8361,762342.9133,884208.5258,854691.9306,786555.1552,683223.1942,672053.2458,685315.0674,948405.5923,901316.1448,743235.5175,871417.0982,545484.0365,568089.4474,631078.8209,622061.4413,939844.8726,1046974.46,818803.0159,765164.4438,708368.1633,643807.3852,766313.0,625122.3018
udp,95271.96595,93140.34608,107331.1364,107003.2155,76362.58844,82167.49902,97862.81188,80069.47786,121146.0679,112688.1241,100258.7447,97922.0453,77743.75358,68429.71622,80769.31947,78160.01622,116074.7359,113179.384,117681.5356,93221.92253,59157.94259,53907.90659,62182.40385,64198.33207,119689.307,117745.9132,95522.09474,91601.4865,84535.81135,85258.33027,77807.38893,52558.7606
ump,44554.86944,47026.28257,49870.36056,53122.41156,40246.0,38031.09965,42116.38268,40328.84437,52570.6721,51915.00663,49892.22267,40281.9922,37005.21039,40583.50108,37771.23503,39981.41251,59861.0436,55351.18722,61878.97696,56533.29583,34701.61298,40356.82606,34611.53317,31455.10287,66376.73914,56452.93108,41674.65237,41089.85904,39643.53242,35767.82092,35746.53918,32616.99792
ura,3241350.322,3381892.151,3259047.787,3341413.248,3318582.289,3120476.287,3371956.425,3188348.648,3287804.556,3345867.868,3477488.38,3338134.312,3263492.317,2988222.29,3110818.008,3142988.979,3604759.211,3558031.949,3607795.935,3200798.078,2672969.269,2623964.617,3047081.247,3103769.618,3469975.437,3576683.406,3237292.287,3367735.103,3125691.708,3113146.023,3010493.174,3031236.535
uri,414127.1366,391326.8674,428793.489,409685.7423,339177.6515,344205.9047,359928.9377,355393.3866,449647.5355,455448.3786,397961.8603,357991.0903,346290.3983,320865.3635,357970.4388,378493.1589,728571.1663,407375.3467,387283.8782,422797.1647,498993.8539,268885.4335,315641.3121,343517.6906,492472.6569,474233.1936,454584.9936,398622.7021,393517.6324,361119.345,390387.6262,331922.2702
utp,74385.15142,76935.2331,86036.95089,72266.8904,65740.06247,63185.7854,73925.09049,58512.37145,93115.15936,85051.92192,79787.70988,73559.01847,60103.34776,51016.92752,52436.05927,58329.81804,91033.08897,81214.49623,104684.099,87098.9525,35213.83058,39815.4085,43656.72796,46915.89102,123921.8925,115560.4937,72743.295,73218.36751,70314.1004,64238.0,69064.93866,47922.89763
xan,212171.3018,246191.2094,243632.6375,220695.7645,216929.0,212487.3667,212163.1617,236797.6555,224216.0,203865.0293,234438.3116,208491.1335,202811.7035,212226.7428,228948.2144,217885.9666,196563.9812,224708.9556,186624.0471,218468.5019,175077.8424,163669.8701,185710.7933,189297.1417,268667.8893,231468.8976,235666.9683,203946.5966,210698.5024,199067.2387,211552.5907,188087.4464
