,CF01,CF02,CF03,CF04,CF05,CF06,CF07,CF08,DE01,DE02,DE03,DE04,DE05,DE06,DE07,DE08,FSF01,FSF02,FSF03,FSF04,FSF05,FSF06,FSF07,FSF08,SST01,SST02,SST03,SST04,SST05,SST06,SST07,SST08
ctp,20197.22467,19922.18847,22464.04991,19887.63328,14350.26756,18918.64173,18632.41249,18883.97512,23490.66267,19264.36335,21179.34063,20278.81456,19582.89124,17279.25966,15818.4845,13729.77512,21386.67827,21130.30193,26606.13158,22804.84168,11465.77131,10493.65738,13850.78526,14542.23627,27123.16378,24402.12819,22065.96477,19577.4812,20063.73602,20458.10305,15594.20161,15064.03256
cytd,52343.71549,56095.46105,55527.93668,53262.92363,57614.04497,47125.29595,61127.51088,57501.40925,56062.03965,63005.5376,57006.0,51470.87933,50502.78448,45944.99672,51407.10755,50432.07038,423620.1508,60621.73613,58222.12279,54104.0,247550.8389,38720.94085,47924.77516,45112.82243,63028.56059,60247.50853,55131.87878,53031.80983,50989.05997,49840.8073,49086.43977,44875.0
dadp,67116.66179,65829.9606,78255.93128,79813.52669,59697.9041,55250.02986,55435.80085,55836.5521,87636.04196,89396.35742,88198.95402,80145.0,57048.99115,54206.68898,61211.26609,70607.35372,70608.36751,75556.95063,79802.41041,74975.8542,49168.89738,43496.21579,45626.45887,46342.97537,80205.29371,87397.31156,72256.82496,59078.96482,55837.7704,59047.12554,48091.769,32122.59139
damp,166446.179,150545.5632,161765.1208,184360.5934,146141.9351,142642.9807,150561.7693,136298.9753,185978.8454,158781.9892,193579.9789,166545.7153,130596.5991,128722.1481,136687.0986,124920.6166,210242.372,187773.2768,179765.5134,170466.3252,103907.0451,100137.0259,113309.4166,123822.6122,204822.8403,189383.7006,154843.0632,162298.5072,134822.636,134717.1127,137726.8101,127412.6198
datp,1357807.603,1327659.577,1460699.597,1558221.379,1157564.407,1339902.908,1317027.933,1164361.858,1673113.39,1432564.462,1604256.151,1402504.074,1033623.605,1085710.55,984192.1727,1135862.595,1378437.121,1538373.157,1750470.08,1342193.202,619540.5309,771383.3637,850171.8953,873572.7316,2166922.296,2084765.774,1397022.486,1265401.218,1066432.555,1055012.816,1137083.51,890344.0149
dcdp,144381.6337,138663.5382,169643.6432,178089.5062,105410.119,126076.7752,149469.0815,129919.1563,179033.3509,158414.1051,163750.1138,167539.2247,114566.8234,126793.6791,110420.3401,118059.5867,147469.1186,160768.132,178010.0259,162926.3845,80823.90877,79983.34049,88913.50002,98200.76965,216061.5152,176879.682,140092.5804,143027.2304,117119.3028,119840.3797,122249.4956,90441.90423
dcmp,12506.08701,13684.0,15473.65602,14529.57045,11369.71802,15785.37337,12410.17483,11934.50639,16551.0,15388.2477,16967.75819,12654.26274,10821.89433,10998.65775,11990.49549,11534.66635,19478.25203,15808.27537,17140.40092,16773.27949,10803.12769,10666.0,11998.55634,11017.0,19206.13469,16401.31203,14036.0,12980.0,11684.30951,10724.12184,10647.92459,8928.677768
dctp,260022.8755,242643.319,264002.0677,301155.318,179693.2987,204608.0594,191430.2223,196009.1208,328085.2181,280464.8882,334298.0609,282747.0196,195179.9037,177247.5972,197273.6859,178964.9221,291089.6831,274271.4876,299147.8226,294758.496,106599.2949,135525.6018,135864.8931,153102.3207,344017.1825,329084.2739,281066.586,248374.7214,199178.1921,210236.9592,220139.7679,144034.2605
dgdp,1676.0,1173.0,1911.265714,1072.701931,1090.0,1090.0,1143.859832,1676.0,1650.014679,1844.0,2095.0,1683.224588,1593.0,1090.0,838.0,1173.0,1257.0,1509.0,2078.558855,2011.0,922.0,776.9821206,754.0,1398.512333,2075.079683,2324.580854,1574.193921,1173.0,1066.639463,1230.538313,1196.978106,754.0
dgmp,47587.31761,40688.93406,48384.06035,38325.15944,34034.53074,34736.61763,35670.46311,35877.36892,45771.09054,40608.00836,38520.0,38248.1369,34024.41558,32623.23053,30513.73436,30946.26719,54994.54503,50060.78192,56332.0,54830.02359,26850.0,24230.14481,26825.73292,27377.0,49129.81637,49277.78358,43045.96982,38072.43745,29826.1404,28562.46782,28477.47443,23769.60243
dhap,436400.6297,422333.6948,445521.0012,414783.9121,335648.3797,339180.8078,368562.1205,355112.653,478145.4719,387747.9816,339884.3889,385884.086,300874.5284,325994.6468,311008.327,276918.3129,551425.6136,482504.5935,498094.3801,448778.4124,275882.3092,265423.0579,256681.9917,265453.635,501819.0573,468492.5809,412641.6888,434276.1933,322085.2791,334481.3196,341741.8802,296301.1507
dimp,435715.6758,463889.5306,532172.7307,474385.4866,365223.5933,393510.9389,377982.3138,388241.9927,502322.5917,569519.2919,570483.376,475309.8877,380985.942,369749.8094,323693.495,446099.0189,565953.5826,538722.4696,531100.9216,515313.9076,293458.7357,329009.03,378176.3829,340795.9394,577633.9243,607354.298,448470.5478,418933.4601,424530.0,404881.5771,420662.9032,316341.5665
