component_group_name,actual_concentration,sample_type,sample_name
Pool_2pg_3pg,N/A,Blank,140826_Blank-01
Pool_2pg_3pg,N/A,Blank,140826_Blank-01
dcdp,N/A,Blank,140826_Blank-01
dcdp,N/A,Blank,140826_Blank-01
adp,N/A,Blank,140826_Blank-01
adp,N/A,Blank,140826_Blank-01
2mcit,N/A,Blank,140826_Blank-01
2mcit,N/A,Blank,140826_Blank-01
udp,N/A,Blank,140826_Blank-01
udp,N/A,Blank,140826_Blank-01
acon-C,N/A,Blank,140826_Blank-01
acon-C,N/A,Blank,140826_Blank-01
nadp,N/A,Blank,140826_Blank-01
nadp,N/A,Blank,140826_Blank-01
pep,N/A,Blank,140826_Blank-01
pep,N/A,Blank,140826_Blank-01
dadp,N/A,Blank,140826_Blank-01
dadp,N/A,Blank,140826_Blank-01
cit,N/A,Blank,140826_Blank-01
cit,N/A,Blank,140826_Blank-01
icit,N/A,Blank,140826_Blank-01
icit,N/A,Blank,140826_Blank-01
fad,N/A,Blank,140826_Blank-01
fad,N/A,Blank,140826_Blank-01
fdp,N/A,Blank,140826_Blank-01
fdp,N/A,Blank,140826_Blank-01
udpglcur,N/A,Blank,140826_Blank-01
udpglcur,N/A,Blank,140826_Blank-01
dgtp,N/A,Blank,140826_Blank-01
ctp,N/A,Blank,140826_Blank-01
ctp,N/A,Blank,140826_Blank-01
dctp,N/A,Blank,140826_Blank-01
dctp,N/A,Blank,140826_Blank-01
ditp,N/A,Blank,140826_Blank-01
ditp,N/A,Blank,140826_Blank-01
dutp,N/A,Blank,140826_Blank-01
dutp,N/A,Blank,140826_Blank-01
itp,N/A,Blank,140826_Blank-01
itp,N/A,Blank,140826_Blank-01
utp,N/A,Blank,140826_Blank-01
utp,N/A,Blank,140826_Blank-01
23dpg,N/A,Blank,140826_Blank-01
23dpg,N/A,Blank,140826_Blank-01
atp,N/A,Blank,140826_Blank-01
atp,N/A,Blank,140826_Blank-01
datp,N/A,Blank,140826_Blank-01
datp,N/A,Blank,140826_Blank-01
dttp,N/A,Blank,140826_Blank-01
dttp,N/A,Blank,140826_Blank-01
gtp,N/A,Blank,140826_Blank-01
gtp,N/A,Blank,140826_Blank-01
prpp,N/A,Blank,140826_Blank-01
prpp,N/A,Blank,140826_Blank-01
nadph,N/A,Blank,140826_Blank-01
nadph,N/A,Blank,140826_Blank-01
phpyr,N/A,Blank,140826_Blank-01
phpyr,N/A,Blank,140826_Blank-01
coa,N/A,Blank,140826_Blank-01
accoa,N/A,Blank,140826_Blank-01
malcoa,N/A,Blank,140826_Blank-01
succoa,N/A,Blank,140826_Blank-01
arg-L,N/A,Blank,140826_Blank-02
orn,N/A,Blank,140826_Blank-02
his-L,N/A,Blank,140826_Blank-02
his-L,N/A,Blank,140826_Blank-02
asn-L,N/A,Blank,140826_Blank-02
asn-L,N/A,Blank,140826_Blank-02
ser-L,N/A,Blank,140826_Blank-02
ser-L,N/A,Blank,140826_Blank-02
citr-L,N/A,Blank,140826_Blank-02
gln-L,N/A,Blank,140826_Blank-02
gln-L,N/A,Blank,140826_Blank-02
Hexose_Pool_fru_glc-D,N/A,Blank,140826_Blank-02
Hexose_Pool_fru_glc-D,N/A,Blank,140826_Blank-02
Lcystin,N/A,Blank,140826_Blank-02
thr-L,N/A,Blank,140826_Blank-02
ala-L,N/A,Blank,140826_Blank-02
ala-L,N/A,Blank,140826_Blank-02
cytd,N/A,Blank,140826_Blank-02
ura,N/A,Blank,140826_Blank-02
AICAr,N/A,Blank,140826_Blank-02
met-L,N/A,Blank,140826_Blank-02
uri,N/A,Blank,140826_Blank-02
uri,N/A,Blank,140826_Blank-02
gua,N/A,Blank,140826_Blank-02
hxan,N/A,Blank,140826_Blank-02
tyr-L,N/A,Blank,140826_Blank-02
tyr-L,N/A,Blank,140826_Blank-02
xan,N/A,Blank,140826_Blank-02
ins,N/A,Blank,140826_Blank-02
ins,N/A,Blank,140826_Blank-02
gsn,N/A,Blank,140826_Blank-02
gsn,N/A,Blank,140826_Blank-02
thym,N/A,Blank,140826_Blank-02
ade,N/A,Blank,140826_Blank-02
ade,N/A,Blank,140826_Blank-02
gam6p,N/A,Blank,140826_Blank-02
gam6p,N/A,Blank,140826_Blank-02
adn,N/A,Blank,140826_Blank-02
phe-L,N/A,Blank,140826_Blank-02
phe-L,N/A,Blank,140826_Blank-02
asp-L,N/A,Blank,140826_Blank-02
asp-L,N/A,Blank,140826_Blank-02
glu-L,N/A,Blank,140826_Blank-02
glu-L,N/A,Blank,140826_Blank-02
skm,N/A,Blank,140826_Blank-02
skm,N/A,Blank,140826_Blank-02
glx,N/A,Blank,140826_Blank-02
glyclt,N/A,Blank,140826_Blank-02
glyclt,N/A,Blank,140826_Blank-02
trp-L,N/A,Blank,140826_Blank-02
trp-L,N/A,Blank,140826_Blank-02
5oxpro,N/A,Blank,140826_Blank-02
5oxpro,N/A,Blank,140826_Blank-02
lac-L,N/A,Blank,140826_Blank-02
lac-L,N/A,Blank,140826_Blank-02
urate,N/A,Blank,140826_Blank-02
urate,N/A,Blank,140826_Blank-02
gthrd,N/A,Blank,140826_Blank-02
gthrd,N/A,Blank,140826_Blank-02
nad,N/A,Blank,140826_Blank-02
nad,N/A,Blank,140826_Blank-02
pyr,N/A,Blank,140826_Blank-02
pyr,N/A,Blank,140826_Blank-02
f6p,N/A,Blank,140826_Blank-02
f6p,N/A,Blank,140826_Blank-02
g3p,N/A,Blank,140826_Blank-02
g3p,N/A,Blank,140826_Blank-02
g6p,N/A,Blank,140826_Blank-02
g6p,N/A,Blank,140826_Blank-02
r5p,N/A,Blank,140826_Blank-02
r5p,N/A,Blank,140826_Blank-02
s7p,N/A,Blank,140826_Blank-02
s7p,N/A,Blank,140826_Blank-02
glyc3p,N/A,Blank,140826_Blank-02
glyc3p,N/A,Blank,140826_Blank-02
r5p,N/A,Blank,140826_Blank-02
r5p,N/A,Blank,140826_Blank-02
g1p,N/A,Blank,140826_Blank-02
g1p,N/A,Blank,140826_Blank-02
cmp,N/A,Blank,140826_Blank-02
cmp,N/A,Blank,140826_Blank-02
ru5p-D,N/A,Blank,140826_Blank-02
ru5p-D,N/A,Blank,140826_Blank-02
