,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area
Component_Name,slope,slope,slope,slope,slope,intercept,intercept,intercept,intercept,intercept,correlation,correlation,correlation,correlation,correlation,lloq,lloq,lloq,lloq,lloq,uloq,uloq,uloq,uloq,uloq,points,points,points,points,points
actp.actp_1.Light,0.211538999152272,0.00527842906750142,0.00553739267347248,0.00934436239093011,0.127665480548806,-0.0880659649820087,0.000289257421267166,0.000502266965973669,-0.00890986053166241,0.0219173192202122,0.99973067546669,0.999067159260388,0.997533837105684,0.944186392181352,0.999944703856666,0.4,0.1,0.2,0.2,0.2,100.0,10.0,4.0,20.0,200.0,8,7,5,7,8
Lcystin.Lcystin_1.Light,0.0605876761578405,0.0837080285910841,0.0753563086600342,0.123999343154064,0.0710829490687494,-0.00049236276021793,8.89141069820954e-05,-6.7992780595822e-05,0.000396296787198995,-0.000751414303470085,0.997378417221298,0.99573258648616,0.999355254598564,0.999850159309736,0.996951943083237,0.008,0.008,0.008,0.02,0.008,2.0,4.0,0.8,0.4,2.0,8,9,6,3,8
oxa.oxa_2.Light,0.323715569775747,0,0,0,0.20136915432886,5.6802040954151,0,0,0,9.34772249809371,0.995904053440378,0,0,0,0.992462923564956,20.0,0,0,0,20.0,100.0,0,0,0,100.0,3,0,0,0,3
glutacon.glutacon_1.Light,2.28169660376901,3.84450597652787,3.27507522666782,3.8798395863469,2.5725884745,0.0286595150865608,-2.20120253159512,12.2414632846749,7.16564167577336,2.714888672,0.988807345859598,0.998514344338866,0.998520058957591,0.999601136545345,1.0,1.0,2.0,4.0,10.0,1.0,20.0,40.0,100.0,200.0,4.0,5,5,4,4,3
gtp.gtp_1.Light,3.23862438291432,0,0,0,3.72149815562924,0.152093178985398,0,0,0,0.0831636634705765,0.994916241853212,0,0,0,0.994716821416271,0.2,0,0,0,0.2,8.0,0,0,0,8.0,6,0,0,0,5
ala-L.ala-L_2.Light,0.0784876504991886,0,0,0,0.0805808497564461,2.69013847012839,0,0,0,0.757371324508405,0.934595428226522,0,0,0,0.994338072796214,40.0,0,0,0,40.0,200.0,0,0,0,200.0,3,0,0,0,3
adp.adp_1.Light,0.886308867463886,0.593998277787593,0.732470380583985,0.635948198633187,0.836893180085687,0.00410430934000135,0.014581245480538,0.0014480904615012,0.00413090881893277,-0.00266464844694858,0.999701418991198,0.9978916843038,0.999603107074114,0.968917951453895,0.998601861813844,0.004,0.01,0.004,0.01,0.01,2.0,2.0,2.0,1.0,2.0,9,7,8,7,8
gln-L.gln-L_2.Light,0.00883288849334958,0,0,0,0.00927895698477864,0.0379725438198053,0,0,0,0.063242829286331,0.999771556656039,0,0,0,0.996102673381906,20.0,0,0,0,20.0,400.0,0,0,0,400.0,5,0,0,0,5
itp.itp_2.Light,9.36208482703645,0,0,0,7.85874269179689,-0.774757342963693,0,0,0,-0.328216402082387,0.974916307529264,0,0,0,0.99897102716805,0.08,0,0,0,0.08,2.0,0,0,0,2.0,5,0,0,0,5
fad.fad_1.Light,33.6184863626278,13.3506593034162,18.8229050451735,15.3040796084108,37.9623025121291,-0.00646355617083818,-0.031950623320545,-0.241155654934933,0.362954958048899,-0.00696166939291622,0.986224374182132,0.975664129877928,0.975819949338503,0.999135401147101,0.990329130216223,0.0004,0.08,0.08,0.08,0.0004,0.2,0.8,0.8,4.0,0.2,9,4,4,6,8
23dpg.23dpg_2.Light,2.52119807687474,2.0967750852848,1.79167879818791,1.86936862365141,1.52878569610692,0.893752697108332,-0.276604492816865,0.0355746183628796,0.0422096576136417,1.97603284080478,0.988902480117271,0.998604085485544,0.999492888209786,0.999483552275937,0.93691427688698,0.25,0.25,0.025,0.025,0.25,10.0,5.0,10.0,10.0,10.0,6,5,8,7,6
icit.icit_2.Light,27.0199188540123,6.2229769612301,10.9047093678924,6.89609712564341,35.6834786185471,-0.955807186238992,0.398045166002466,-0.00618683573687535,0.253944933600534,-1.24782947655621,0.901013518035617,0.969097915533849,0.999694798145117,0.999340957891297,0.991644983681173,0.08,0.04,0.008,0.04,0.08,0.8,0.8,0.8,4.0,2.0,4,4,4,7,5
his-L.his-L_2.Light,19.6244111918771,0,0,0,21.5916447778562,0.154000864413442,0,0,0,-1.66219437803667,0.999090652769898,0,0,0,0.999386045907981,0.05,0,0,0,0.05,5.0,0,0,0,10.0,7,0,0,0,8
g6p.g6p_1.Light,1.36223224738485,1.27481312592584,1.77800813822687,1.51904872413923,1.2595006088547,0.0750898241214197,0.228181059539293,0.140243544208717,-0.0698321755962118,0.0878162767755628,0.999896058113332,0.999436594247999,0.999912045906071,0.999961019355323,0.999370488322847,0.08,0.2,0.4,0.08,0.2,4.0,8.0,8.0,2.0,8.0,6,6,3,3,6
glyc3p.glyc3p_1.Light,3.51367572121629,2.86278997316708,3.45780214402522,3.05824089513605,3.54146896735781,0.128412338064426,0.0681317006606096,0.0391009188961642,0.160043772624877,0.132020871820201,0.998275312712572,0.997896960620674,0.999614805372554,0.998849137122807,0.998865262020917,0.02,0.004,0.02,0.004,0.02,2.0,1.0,2.0,2.0,2.0,7,8,4,5,7
dgdp.dgdp_1.Light,0.0858859733215598,70.5259148643858,117.082853963964,83.7021722008542,0.0912129853845417,-0.0100689404882124,-1.3906299700425,-2.13611164307397,-0.271436315491045,-0.00969010249957612,0.985507009331952,0.994077287540446,0.997703117498187,0.999753994827624,0.995146670080878,0.1,0.04,0.04,0.02,0.1,2.0,2.0,2.0,2.0,2.0,5,6,6,6,5
ins.ins_1.Light,12.887047527193,12.8333034982215,14.7085838500931,15.6582678662233,13.2274570666834,0.0149326771899675,0.000373865839295241,0.0107118102212044,-0.16103288662574,0.00832262945992656,0.997459077796015,0.99588842542215,0.994806534230369,0.989928385135573,0.997919330344771,0.001,0.004,0.004,0.004,0.001,1.0,0.1,1.0,4.0,1.0,10,5,8,10,10
damp.damp_2.Light,3.74273955958868,7.9602708374781,8.24360953469346,8.04981875306905,3.48745704826074,0.00595715365268757,0.0150789291477596,0.00497984953782446,-0.0432042701036826,0.00168989372777662,0.999751970626155,0.99214908049555,0.999433992285896,0.994772897243203,0.994096638798858,0.008,0.0032,0.0032,0.016,0.008,3.2,0.32,1.6,3.2,3.2,9,7,9,8,9
5oxpro.5oxpro_1.Light,0,38.1245078920704,0.139183746469551,56.3646568298213,0,0,2.63326040530251,-0.0495769013470275,7.20540316716652,0,0,0.998202131582456,0.997358545890336,0.999985690856667,0,0,0.08,0.4,0.16,0,0,1.6,8.0,4.0,0,0,5,5,3,0
mmal.mmal_1.Light,2.1813684974117,1.7242415214113,3.93316925638987,2.63508886491145,2.80911229515118,0.00979112278364518,0.0563690869171401,0.0115922152873725,0.169891525845613,-0.00536370651684136,0.997266530599401,0.985449786410601,0.982667632600194,0.999998666583109,0.999439798587947,0.01,0.02,0.01,0.02,0.01,2.0,2.0,0.2,10.0,5.0,8,5,5,5,9
dtdpglu.dtdpglu_1.Light,0,98.9748615747674,68.0317003322086,73.0527032833188,0,0,-0.074614098816835,-0.0348509152138599,-0.0119451597006955,0,0,0.997844683243435,0.990971652534431,0.991270701007417,0,0,0.002,0.0008,0.002,0,0,0.08,0.02,0.4,0,0,5,5,6,0
asn-L.asn-L_1.Light,0.862482053227103,0.905689641913306,0.870732672482987,0.767905506178281,0.852863009882562,-0.00615963190074044,-0.107185697477132,0.0492114890262446,-0.00313083927778143,0.00533861819622722,0.99786389659479,0.994036970839563,0.999701329272626,0.999440050269264,0.999225832472901,0.02,0.2,0.2,0.2,0.02,20.0,4.0,8.0,4.0,20.0,10,5,6,5,10
g1p.g1p_2.Light,17.2452848528192,0,0,0,19.2747505347366,-1.49525604025365,0,0,0,-4.21193790166804,0.998651816541884,0,0,0,0.984919688028736,0.2,0,0,0,0.2,8.0,0,0,0,8.0,6,0,0,0,6
ru5p-D.ru5p-D_2.Light,2.22747392221149,0,0,0,1.64952502979854,0.00984221199920679,0,0,0,0.0636187104427323,0.999496752953531,0,0,0,0.994888259708941,0.032,0,0,0,0.032,8.0,0,0,0,8.0,8,0,0,0,8
prpp.prpp_2.Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dadp.dadp_2.Light,5.34679497815301,0,0,0,5.2765212235369,0.0995582301809886,0,0,0,0.049595689978025,0.994320297038801,0,0,0,0.988834450531054,0.08,0,0,0,0.08,2.0,0,0,0,2.0,5,0,0,0,5
gsn.gsn_2.Light,10.7714544206549,0,0,0,10.17718308994,-0.0294835879313912,0,0,0,-0.0303819931307509,0.993081560015028,0,0,0,0.994604675179602,0.004,0,0,0,0.004,1.0,0,0,0,1.0,8,0,0,0,8
gmp.gmp_2.Light,0.204202641912014,0,0,0,0.381311464851702,0.184146367477744,0,0,0,-0.228311178042126,0.999522087615847,0,0,0,0.995462681856763,0.4,0,0,0,0.4,20.0,0,0,0,20.0,6,0,0,0,6
acac.acac_1.Light,0,0.877995069073417,0,1.08194335119596,0,0,1.31811987701766,0,4.62949834662938,0,0,0.999073005858367,0,0.993947204524502,0,0,2.0,0,4.0,0,0,20.0,0,100.0,0,0,4,0,5,0
xan.xan_1.Light,0.884955155872317,0.984257286701178,1.13100672618101,0.776001833570743,0.875066382105505,0.00196711140932327,0.00107085360436021,1.88263349957386e-07,0.00177876899118757,0.00273508437047471,0.998984780307081,0.997984672026239,0.999445206162237,0.995606225442575,0.999508991080707,0.0016,0.0016,0.0016,0.008,0.0016,0.4,0.8,0.4,8.0,0.4,8,9,8,10,8
gthox.gthox_2.Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dhap.dhap_1.Light,2.10827509273144,1.61967435301344,1.80989482691164,1.7821040765319,2.16063888629998,0.0121913667265978,-0.0159863313171911,-0.00627797712316752,0.00673306072512244,-0.0183798713431711,0.999966839463691,0.999612383185853,0.996373661819251,0.998566732150195,0.999714364605489,0.01,0.05,0.02,0.02,0.02,5.0,2.0,2.0,5.0,5.0,9,6,7,8,8
imp.imp_1.Light,6.08987603915677,2.57436482630829,2.38850331371431,2.83679786030629,5.19780312887846,-0.0898224697887205,0.00567582390404689,0.00949280972715978,-0.00529717615234616,-0.113868181509725,0.995859717281799,0.9981879930943,0.999753764062965,0.999988973655813,0.998501376960914,0.05,0.002,0.01,0.005,0.05,2.0,1.0,2.0,10.0,5.0,6,9,8,10,7
uri.uri_1.Light,6.14511448999177,5.37535700817947,5.33981039224673,7.97118930823161,6.27456804235445,0.0391433076488707,0.00694612155354362,0.0767419150351186,-0.0321421362404912,0.0396500000760188,0.998718789135679,0.999253747960783,0.999627741999601,0.974387690141065,0.999298596113124,0.002,0.008,0.02,0.008,0.002,2.0,0.2,4.0,0.08,2.0,10,5,8,4,10
fad.fad_2.Light,48.8335485532641,0,0,0,57.3889225769031,-0.149504874277965,0,0,0,-0.303206099417734,0.985782624935499,0,0,0,0.99667085494645,0.008,0,0,0,0.008,0.2,0,0,0,0.2,5,0,0,0,5
g6p.g6p_2.Light,1.28101457062877,1.41494821813436,1.31366961234908,1.05290949606217,1.15568900261869,0.0399061901651882,0.217324064662856,0.181766478164368,-1.47584165995185,0.0399608463741663,0.991497643851159,0.999337306717343,0.999811396937108,0.999594922535785,0.999165996925278,0.04,0.4,0.4,2.0,0.04,4.0,8.0,8.0,200.0,8.0,7,5,3,4,8
urate.urate_1.Light,0,0.202820106057365,0.364086959653552,0,0,0,-0.00157390447202638,0.0057465486283096,0,0,0,0.991207427252434,0.83055624330057,0,0,0,0.016,0.016,0,0,0,0.8,0.16,0,0,0,6,4,0,0
hxan.hxan_1.Light,1.12100758866115,1.40225157760869,2.31823140546536,1.19571203853695,1.37203218081733,0.000612786604924378,0.000960459255875168,-0.000129036569759135,0.00696505896628257,0.00162876759121812,0.998756096844063,0.990340374914437,0.999590243299804,0.968432730931835,0.999358022760258,0.0002,0.0004,0.0008,0.004,0.0008,0.08,0.08,0.02,0.4,0.2,9,8,5,7,8
ctp.ctp_2.Light,12.058340649477,0,0,5.58268480462769,12.8805778279963,-0.334515678213334,0,0,0.000746558613714095,-0.729639374116958,0.996165878280716,0,0,0.999764837853789,0.996194626533154,0.04,0,0,0.001,0.04,2.0,0,0,0.1,2.0,6,0,0,4,6
f1p.f1p_2.Light,2.4932270701194,0,0,0,2.85796277324303,0.0783103332836717,0,0,0,-0.0633503137661585,0.993538883597328,0,0,0,0.99412891401913,0.08,0,0,0,0.08,2.0,0,0,0,2.0,5,0,0,0,5
datp.datp_1.Light,15.8107358279051,0,0,0,17.1099401847285,0.559796099075305,0,0,0,0.64697309054699,0.996275268604474,0,0,0,0.999026606459776,0.008,0,0,0,0.0008,2.0,0,0,0,2.0,8,0,0,0,8
ditp.ditp_2.Light,1.44655140038484,44.4825402129989,83.0996920679577,24.2443918148368,2.27796251582592,1.36585926087609,17.9984807738942,12.4545961507109,34.6293502144409,0.800290848704572,0.984899121552153,0.976991558951209,0.998961350265796,0.995957509381374,0.993540288492739,0.2,0.08,0.02,0.08,0.2,4.0,4.0,4.0,8.0,8.0,5,5,5,4,6
lac-L.lac-L_1.Light,0.348270252231492,0.395648462013728,0.483034050649369,0.470387368519348,0.376779804371622,0.732079189943013,0.533477764932465,0.0668411628107506,-0.00244399316009818,0.455448609232891,0.998404630041804,0.998363595963502,0.998341014234435,0.99543394173262,0.998922931056356,1.0,2.0,0.2,2.0,1.0,40.0,40.0,20.0,40.0,40.0,6,5,6,5,6
dump.dump_2.Light,0.501694984041044,23.1899431875635,21.3035546117852,7.71311916931988,0.414430646900461,0.00236985598017214,0.00156554587969857,-0.0404885345366985,-0.00319949189068465,-0.000387153736808482,0.986180432257378,0.998910459084585,0.981026002547822,0.999977412061114,0.989275147672111,0.008,0.0008,0.002,0.002,0.008,0.4,0.08,0.08,4.0,0.8,6,7,7,6,7
oaa.oaa_1.Light,0.833672691039342,1.87440233619842,2.07637328426454,57.9861898869206,1.5138843635585,1.22458772341545,0.130269654890818,0.0424160189842314,3.52434003027353,2.73160697192084,0.999722019783385,0.998473323411806,0.99596484307345,0.999773522585,0.999892997814258,1.0,0.2,0.04,0.1,1.0,40.0,4.0,10.0,2.0,40.0,5,5,5,3,4
dctp.dctp_1.Light,14.5694366437818,0,0,0,18.959223640531,0.0393160419991382,0,0,0,1.26551793387683,0.992753418902323,0,0,0,0.992106969349892,0.01,0,0,0,0.04,1.0,0,0,0,2.0,7,0,0,0,6
his-L.his-L_1.Light,10.5328933398065,10.721878623553,12.40825870909,15.2558200264212,11.6729041163431,0.0538665405601236,-0.0101787822473158,0.0396788296194985,-0.160700317323489,-0.464314478367202,0.999780314501635,0.999886002134223,0.999877922614206,0.994174484899674,0.999807248673402,0.05,0.2,0.2,0.2,0.05,5.0,20.0,10.0,2.0,10.0,7,6,6,4,8
r5p.r5p_1.Light,10.6714924353487,12.6135305437904,18.2969627413007,10.7693790395417,6.80124679760406,0.0287295905370078,0.0945621500522508,0.0662233324729264,0.345273909035568,-0.0285924932933989,0.992213341321186,0.996029467860999,0.999159959389195,0.992448239306568,0.997839952586893,0.005,0.01,0.01,0.01,0.01,1.0,1.0,1.0,5.0,2.0,8,7,4,8,8
35cgmp.35cgmp_1.Light,9.99868680122781,13.4512514817635,17.0683231891267,13.734105597793,19.6732805584643,-0.00205466001047154,0.00282516957956833,-0.00382161144980842,0.00106841458771431,0.00896160660437804,0.996470042774169,0.990690100645117,0.998401581980644,0.995775203736509,0.990118180611671,0.0004,0.001,0.002,0.001,0.0004,0.2,0.1,2.0,0.1,0.4,8,7,10,7,10
tyr-L.tyr-L_2.Light,1.43480923366235,0,0,0,1.0598254995052,0.0524767448188041,0,0,0,0.0487686831925152,0.998534146826875,0,0,0,0.997754035384912,0.01,0,0,0,0.01,10.0,0,0,0,10.0,10,0,0,0,10
glyc3p.glyc3p_2.Light,0.509395773555358,0,0,0,0.542031401273375,0.0201727786574527,0,0,0,0.019831379749574,0.998896146692074,0,0,0,0.999880550731207,0.02,0,0,0,0.02,2.0,0,0,0,2.0,7,0,0,0,7
gthrd.gthrd_1.Light,0.0376870655367581,0.0465113389986608,0.0436325085235427,0.0505225866310806,0.04232395929468,0.00216209460703606,4.00276433105708e-05,0.000688557681045159,-0.0153328407240974,-0.00123913034494725,0.997760787464882,0.997648732412957,0.999908367672151,0.999207015155757,0.999797918826716,0.04,0.04,0.04,0.1,0.04,10.0,2.0,4.0,40.0,10.0,8,6,4,5,8
dutp.dutp_2.Light,0.339624690293555,0.519225104542554,0.215635172484583,0.296705081790712,0.224996928441928,-0.437609456139375,0.0770461466638286,-0.00501915926453321,-0.00597040559151745,-0.0848935378141693,0.988056040309173,0.996478037707374,0.999979822006086,0.995151060232924,0.994772352764629,1.0,1.0,0.1,0.1,1.0,10.0,10.0,10.0,2.0,10.0,4,4,4,3,4
23dpg.23dpg_1.Light,15.3951885621805,11.363794000738,9.47370471817671,8.16822983168032,12.5691294889486,-0.0353678976256755,-0.0645444185085998,0.180865176671941,0.132955003505199,0.429393017273596,0.999460787732025,0.999803774988822,0.999948313516404,0.994309897004567,0.994016867274206,0.05,0.025,0.025,0.01,0.05,5.0,2.5,5.0,1.0,5.0,6,7,7,7,7
pep.pep_2.Light,0.592900183653346,0,0,0,0.796366139242499,0.00900698759444534,0,0,0,-0.0105444139443361,0.99398409572929,0,0,0,0.997226056426966,0.008,0,0,0,0.008,2.0,0,0,0,2.0,8,0,0,0,8
nadh.nadh_2.Light,5.90143689324309,28.7884913296832,0,12.0215070762984,3.10595951075759,0.0962989425645182,0.0677981607329986,0,0.0341783569473184,-0.00663768787497239,0.869168722988919,0.995705162539338,0,0.999795898605748,0.976557633692492,0.008,0.008,0,0.004,0.008,0.4,0.4,0,4.0,0.4,6,6,0,8,6
nadph.nadph_2.Light,2603.82865675941,1877.92764162703,0,2817.77309031874,1674.00695378682,-30.1841796763956,-2.7537703956361,0,-5.77394822238969,-6.51816018049308,0.993408031524318,0.9995437238443,0,0.995591277858131,0.990875966615841,0.02,0.004,0,0.002,0.02,0.8,0.2,0,0.4,0.8,5,6,0,7,5
5oxpro.5oxpro_2.Light,10.2857153531569,0,0,0,13.3317535243468,2.49613124969213,0,0,0,0.934469255395944,0.995263020853023,0,0,0,0.998989611259709,0.16,0,0,0,0.16,4.0,0,0,0,4.0,5,0,0,0,5
amp.amp_1.Light,0.33951413642922,0.347803885441914,0.363445197867237,0.384601214382033,0.323513256203473,0.000846302564335023,0.00196351409075047,-0.000773713130065004,-0.0281637603362045,-0.000414470954557915,0.996961806045062,0.999780126430266,0.99956809065229,0.996798542312175,0.999782500340049,0.002,0.008,0.008,0.2,0.002,0.8,4.0,8.0,8.0,2.0,9,9,10,6,10
btn.btn_1.Light,64.4601605331681,107.170584093077,0,118.376969949142,76.6081354483849,-0.00821808770835149,0.781234359287274,0,-1.75264191677047,-0.0659794397890499,0.99797361450877,0.999708046522432,0,0.999595042898695,0.999116444565259,0.01,0.05,0,0.02,0.02,1.0,2.0,0,5.0,1.0,6,6,0,8,4
gtp.gtp_2.Light,1.61271886569995,4.51016795149922,5.95646432405314,4.61239588747635,1.53532187614644,1.12237554840585,0.107670594084617,-0.0329423400398123,0.0134597179891118,2.16489552445872,0.989604166103511,0.997986044940938,0.99971531593731,0.998376350490424,0.953014272533636,0.8,0.08,0.02,0.02,0.8,8.0,4.0,2.0,4.0,8.0,4,6,5,8,4
damp.damp_1.Light,7.66203940907523,0,0,0,7.88835790764919,0.0130273331063947,0,0,0,0.0144142019049007,0.99839520885857,0,0,0,0.996835966778285,0.0008,0,0,0,0.0008,1.6,0,0,0,0.8,11,0,0,0,9
pyr.pyr_2.Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prpp.prpp_1.Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g3p.g3p_1.Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gam6p.gam6p_2.Light,3.46635573728196,0,0,0,3.29816418616383,0.191845857264097,0,0,0,-0.11642598845367,0.998721748466029,0,0,0,0.997099838757503,0.08,0,0,0,0.08,8.0,0,0,0,8.0,7,0,0,0,7
oxa.oxa_1.Light,2.35576797046841,1.22591567910678,1.34764259785192,0.688162170715193,1.52984530332721,-7.1612805247572,4.71010068231714,3.49839134631173,2.30599926389341,11.5877185326118,0.921741201195667,0.999719024038456,0.999944998460288,0.961152256642655,0.974520950633308,2.0,2.0,1.0,2.0,4.0,40.0,200.0,100.0,200.0,40.0,5,7,4,7,3
tyr-L.tyr-L_1.Light,2.2951144354837,2.24507368836619,2.6963463686757,2.71900114377567,2.16056046968452,0.00853564910699963,0.0776134222876402,0.0178078232857443,0.339135526313382,0.00711655069014046,0.999695158879158,0.997746323682527,0.999948475654211,0.999872509821324,0.999984210673608,0.002,0.04,0.04,0.1,0.002,4.0,4.0,2.0,10.0,4.0,11,7,6,4,11
camp.camp_2.Light,13.7303747595852,0,0,0,7.01241407103054,0.0106476027853932,0,0,0,0.00792883454047595,0.991096164723066,0,0,0,0.99938536733961,0.0008,0,0,0,0.0008,0.4,0,0,0,0.4,9,0,0,0,5
nadph.nadph_1.Light,1083.96225929269,698.886101303118,354.308802112571,871.554323223816,640.279731886424,-1.28235950020543,-1.26193668431536,0.108958271878334,0.0477517085809998,0.213974876487872,0.989624216106498,0.99846450037736,0.999986704908465,0.995434401559399,0.999945317325342,0.0008,0.004,0.0008,0.0008,0.0008,2.0,0.2,2.0,0.08,2.0,10,6,6,7,8
imp.imp_2.Light,11.1953289384405,0,0,0,12.5350494457991,0.757719265174641,0,0,0,-1.12455085208417,0.993509642138766,0,0,0,0.999920031638568,0.1,0,0,0,0.1,5.0,0,0,0,10.0,6,0,0,0,7
atp.atp_2.Light,0.370509929639251,0.443941595828242,0.546770022763649,0.714841762066881,7.01402700226248,0.0626518219677322,0.0910585189613117,0.00383319037842231,0.0311499773789452,0.936952363278076,0.958958634127799,0.996725577866352,0.998093398270508,0.972233724329021,0.989381983204595,0.04,0.2,0.008,0.02,0.2,4.0,2.0,0.2,0.8,4.0,7,4,5,6,5
pep.pep_1.Light,4.51403959710228,3.76122783262652,4.26004303555832,4.38287589282908,4.73700638420833,0.0257891400671882,0.00802429125319978,0.00558214804073905,-0.00031201906117521,0.0387526526667762,0.999287480613978,0.999137124116773,0.996956368371801,0.958252425492633,0.999629317988147,0.002,0.008,0.008,0.008,0.002,4.0,0.8,0.8,0.8,4.0,11,7,4,7,10
thym.thym_1.Light,24.6230534797574,19.4375078833516,24.8164476724778,24.7413613400291,25.2931669097758,0.00842419745545215,0.0365473003343292,-0.00542809348251924,0.0110947678085079,0.0225126311643165,0.996665571271319,0.999579561407427,0.99746906889691,0.994672224791463,0.999458264880745,0.002,0.004,0.004,0.004,0.002,1.0,1.0,1.0,0.04,1.0,9,8,8,4,9
35cgmp.35cgmp_2.Light,5.53585487603538,0,0,0,13.1465086484668,0.00691645792445114,0,0,0,-0.0170462249655241,0.985627655284066,0,0,0,0.999099774436112,0.004,0,0,0,0.004,0.2,0,0,0,0.2,6,0,0,0,6
acon-C.acon-C_2.Light,43.5788151060681,0,0,0,41.0875438058272,1.18258475813658,0,0,0,0.559410801950583,0.99851326582495,0,0,0,0.999254805758671,0.02,0,0,0,0.02,2.0,0,0,0,2.0,6,0,0,0,6
ditp.ditp_1.Light,4.83513886522099,0,0,0,6.4296239848126,4.1550729894048,0,0,0,3.5509078504275,0.997972799211689,0,0,0,0.983180210382637,0.04,0,0,0,0.2,4.0,0,0,0,8.0,7,0,0,0,6
dtdpglu.dtdpglu_2.Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ura.ura_1.Light,0.564243703179948,0.392289096460671,0.56022160152163,0.417141181022435,0.539363705788878,0.00213535815766587,0.0149761071645455,-0.00635132447369859,0.0123853268467337,0.00543748758754778,0.999822411965584,0.999371804810439,0.996504831727266,0.996684691952762,0.999791306239042,0.002,0.08,0.08,0.08,0.002,4.0,4.0,0.8,2.0,4.0,10,6,4,5,11
asn-L.asn-L_2.Light,0.203626009903194,0,0,0,0.200100722993522,-0.0104490237835198,0,0,0,-0.0181427485058855,0.999937199905355,0,0,0,0.999595186583082,0.04,0,0,0,0.04,20.0,0,0,0,20.0,9,0,0,0,9
g3p.g3p_2.Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
icit.icit_1.Light,65.32943939124,0,0,0,70.6860033873214,-3.13578251808303,0,0,0,-2.20839898590903,0.998837179336564,0,0,0,0.99399639930216,0.04,0,0,0,0.04,4.0,0,0,0,2.0,6,0,0,0,6
ribflv.ribflv_1.Light,270.325583944361,174.072724056816,175.72452533132,181.098126572926,265.185265722,0.332037844658866,-0.710917678123433,-0.405263760164722,-0.565911118382696,0.743323233466211,0.994152385472593,0.998930499348712,0.984778280177315,0.999860928951807,0.946485276393823,0.002,0.008,0.008,0.02,0.002,0.8,2.0,0.8,8.0,0.8,8,8,7,9,8
dutp.dutp_1.Light,0.7601957486276,0,0,0,0.751874979085816,-0.00873938913697184,0,0,0,-0.107684816879296,0.994185150064979,0,0,0,0.999443614474684,0.04,0,0,0,0.4,10.0,0,0,0,10.0,7,0,0,0,5
dump.dump_1.Light,0.775502369062901,0,0,0,0.58339963865735,0.00157598122792072,0,0,0,0.00105389523817151,0.995614304188032,0,0,0,0.997172162094118,0.002,0,0,0,0.002,0.2,0,0,0,0.8,7,0,0,0,9
adp.adp_2.Light,2.23512981938104,0,0,0,2.87854339863377,0.0432243355631285,0,0,0,-0.0566286189403146,0.998540075226785,0,0,0,0.997425962617906,0.04,0,0,0,0.04,2.0,0,0,0,2.0,6,0,0,0,6
lac-L.lac-L_2.Light,0.0462305738195965,0,0,0,0.0509896843484248,0.19958785210252,0,0,0,0.111241864933378,0.997883385805922,0,0,0,0.998901049952237,2.0,0,0,0,2.0,200.0,0,0,0,200.0,7,0,0,0,7
dttp.dttp_2.Light,7.10764468900243,0.661009303487831,5.32552718540685,8.01963953761828,7.1568518171555,0.118532287603364,0.566395519104931,0.0207518188049426,0.026311287130036,0.0341518007735503,0.930526777810317,0.98451885791975,0.999999739178656,0.999884459372726,0.994743777958758,0.002,0.02,0.002,0.002,0.002,0.2,0.8,0.04,0.04,2.0,7,6,3,3,10
ins.ins_2.Light,2.52855510441426,0,0,0,2.50188371805998,0.0152472596799926,0,0,0,8.02249252152307e-05,0.999599383272273,0,0,0,0.999447239144918,0.002,0,0,0,0.002,2.0,0,0,0,2.0,10,0,0,0,10
dhap.dhap_2.Light,2.41044189456359,0,0,0,2.3909200444273,0.00601177337201535,0,0,0,-0.0229212468963768,0.999964104902189,0,0,0,0.999947125388968,0.02,0,0,0,0.02,5.0,0,0,0,5.0,8,0,0,0,8
fol.fol_2.Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nadp.nadp_2.Light,1.02765737881142,0,0,0,1.04951026248876,0.00657478842305745,0,0,0,-0.00619510268950675,0.998380218311428,0,0,0,0.999724689487517,0.02,0,0,0,0.02,2.0,0,0,0,2.0,6,0,0,0,6
