,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area
Component_Name,slope,slope,slope,slope,slope,intercept,intercept,intercept,intercept,intercept,correlation,correlation,correlation,correlation,correlation,lloq,lloq,lloq,lloq,lloq,uloq,uloq,uloq,uloq,uloq,points,points,points,points,points
dgmp.dgmp_2.Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f6p.f6p_1.Light,1.58432460299766,13.6726093679323,8.7086642935815,8.00082974170046,1.3807908275618,-0.0303420116750765,0.37472889689022,-0.0245323987472483,3.47628777659161,-0.273776547936935,0.993227457320303,0.994691965579891,0.99995350523855,0.982970136652712,0.990703052673757,0.08,0.02,0.04,0.2,0.08,20.0,4.0,4.0,8.0,8.0,8,7,4,6,7
phpyr.phpyr_1.Light,14.4072983212464,5.37888308930783,6.00543313818653,5.88703146867119,14.1212030606077,0.0308744318223642,0.0946848940840755,0.0647268428325297,0.102742591327595,0.0802614305780682,0.999256053786007,0.999501490526579,0.999315224504214,0.99232424831223,0.996160320004856,0.0008,0.008,0.008,0.0008,0.0008,0.08,4.0,2.0,4.0,0.08,6,9,8,12,7
f6p.f6p_2.Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ump.ump_1.Light,0.469146575558162,4.94328554406839,0.445384060941591,0.389119435970999,0.468282037909328,0.00211491035602184,0.00830810039881542,0.00611077152518287,0.0025227439371303,0.000882330320693075,0.999855002723317,0.977398084495497,0.99905902200809,0.995226306815489,0.999905449730543,0.004,0.0016,0.016,0.008,0.004,4.0,0.08,1.6,1.6,4.0,10,6,4,8,10
gsn.gsn_1.Light,29.7795494231104,22.7700908827439,29.414883568956,30.8071774508055,29.4305111655469,-0.0533300255124524,-0.00411729226711346,-0.00943827963792356,-0.0113165131349195,-0.0480185678612888,0.998091084835957,0.98673549532711,0.992402559305367,0.956955344988325,0.997646998343159,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,0.1,1.0,10,10,10,7,10
dtmp.dtmp_1.Light,10.4101106017457,17.7010785162228,18.7163519037262,8.83785880400121,10.6807637243247,0.000580173204270439,0.0385338615544856,-0.0534951821337146,0.106350046537728,0.0213327651440193,0.991511961758874,0.987912210457982,0.995639367199701,0.997732299624918,0.997330169846318,0.0008,0.004,0.004,0.02,0.0008,0.8,0.4,0.4,2.0,0.8,10,7,6,7,10
s7p.s7p_1.Light,11.3386211407312,15.2846126441744,14.7553384676487,14.9185848588162,15.1335434863097,0.530882089258128,-0.249053430385593,0.207352668823117,-0.163604130425335,0.0870157562901627,0.99971602101178,0.998908908540028,0.999411814001429,0.998846646476819,0.996203534408354,0.1,0.04,0.02,0.02,0.1,4.0,2.0,2.0,2.0,2.0,5,6,4,4,5
s7p.s7p_2.Light,12.8719687963455,0,0,0,16.3937072238669,0.913714193955039,0,0,0,0.208060081121833,0.999844636467813,0,0,0,0.996481663476007,0.1,0,0,0,0.1,4.0,0,0,0,2.0,6,0,0,0,5
phe-L.phe-L_1.Light,5.78036866651981,5.36874173091093,6.20030240084684,5.04259953140534,5.7201617222858,0.012282384271912,0.0835494523132128,0.00175972509244049,0.0328150709525399,0.0194903673702755,0.999485590636939,0.999730434780723,0.99974040955588,0.999708699833146,0.997352155391084,0.002,0.08,0.08,0.08,0.002,2.0,2.0,2.0,8.0,0.8,10,5,5,7,9
ump.ump_2.Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpyr.phpyr_2.Light,5.03009729879126,0,0,0,94.6214898450655,3.7809792560329,0,0,0,2.02322897282914,0.013688256208067,0,0,0,0.731226271836517,0.002,0,0,0,0.002,0.08,0,0,0,0.08,6,0,0,0,6
