% header=SampleName	SampleID	Comments	AcqMethod	ProcMethod	RackCode	PlateCode	VialPos	SmplInjVol	DilutFact	WghtToVol	Type	RackPos	PlatePos	SetName	OutputFile
141002_11_OxicEvo04pgiEvo03EPEcoli13CGlcM9_Broth-5-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	48	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141002_11_OxicEvo04pgiEvo03EPEcoli13CGlcM9_Broth-6-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	49	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141104_11_OxicEvo04pgiEvo04EPEcoli13CGlcM9_Filtrate-1-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141013_11_OxicEvo04pgiEvo04EPEcoli13CGlcM9_Broth-1-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	51	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141007_11_OxicEvo04pgiEvo04EPEcoli13CGlcM9_Broth-2-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	1	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141007_11_OxicEvo04pgiEvo04EPEcoli13CGlcM9_Broth-3-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	2	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141104_11_OxicEvo04pgiEvo04EPEcoli13CGlcM9_Filtrate-4-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141013_11_OxicEvo04pgiEvo04EPEcoli13CGlcM9_Broth-4-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	4	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141007_11_OxicEvo04pgiEvo04EPEcoli13CGlcM9_Broth-5-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	5	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141007_11_OxicEvo04pgiEvo04EPEcoli13CGlcM9_Broth-6-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	6	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141104_11_OxicEvo04pgiEvo05EPEcoli13CGlcM9_Filtrate-1-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141007_11_OxicEvo04pgiEvo05EPEcoli13CGlcM9_Broth-1-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	8	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141007_11_OxicEvo04pgiEvo05EPEcoli13CGlcM9_Broth-2-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	9	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141007_11_OxicEvo04pgiEvo05EPEcoli13CGlcM9_Broth-3-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	10	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141104_11_OxicEvo04pgiEvo05EPEcoli13CGlcM9_Filtrate-4-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141007_11_OxicEvo04pgiEvo05EPEcoli13CGlcM9_Broth-4-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	12	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141007_11_OxicEvo04pgiEvo05EPEcoli13CGlcM9_Broth-5-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	13	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141007_11_OxicEvo04pgiEvo05EPEcoli13CGlcM9_Broth-6-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	14	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141104_11_OxicEvo04pgiEvo06EPEcoli13CGlcM9_Filtrate-1-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141008_11_OxicEvo04pgiEvo06EPEcoli13CGlcM9_Broth-1-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	16	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141008_11_OxicEvo04pgiEvo06EPEcoli13CGlcM9_Broth-2-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	17	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141013_11_OxicEvo04pgiEvo06EPEcoli13CGlcM9_Broth-3-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	18	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
