,ControlFermentorGEN_Broth-1,ControlFermentorGEN_Broth-2,ControlFermentorGEN_Broth-3,ControlFermentorGEN_Broth-4,ControlFermentor_25uL_Broth-1,ControlFermentor_25uL_Broth-2,ControlFermentor_25uL_Broth-3,ControlFermentor_25uL_Broth-4,ControlFermentor_25uL_Broth-5,ControlFermentor_25uL_Broth-6,ControlFermentor_Broth-1,ControlFermentor_Broth-2,ControlFermentor_Broth-3,ControlFermentor_Broth-4
23dpg,0.00271870642044995,0.00272412242695005,0.00295802419101998,0.00271887382440002,0.169101731601732,0.169101731601732,0.169101731601732,0.169101731601732,0.169101731601732,0.169101731601732,0.0845508658008658,0.0845508658008658,0.0845508658008658,0.0845508658008658
2mcit,0.901244222132018,1.07258146510001,0.977757970778981,0.942218115529983,168.291161661004,203.884510011003,164.056860795001,159.409232954999,197.164162202003,198.389909632002,230.43193256223,185.84069142316,233.204163758117,213.848887513528
35cgmp,2.70562770562771e-07,2.70562770562771e-07,2.70562770562771e-07,2.70562770562771e-07,4.50382846320005e-05,6.68521374459003e-05,2.81206709956997e-05,8.31267586580003e-05,5.90568181818005e-05,6.77014339827003e-05,7.89402732683983e-05,6.10627705627706e-05,5.81098484848485e-05,8.5430533008658e-05
5oxpro,0.000516944485930992,0.000571867045454988,0.000655740106872003,0.000586170668289995,0.0810836231061003,0.0756770807630004,0.0860822585226991,0.0892887242964994,0.0842460108224982,0.103046328733999,0.112346317031926,0.0945414241071429,0.120227818925866,0.111397291193182
6pgc,0.000667248234577987,0.000753472613636006,0.00075368588879899,0.000722617249728997,0.0808638717531994,0.0979013590367981,0.0949808022186004,0.0844636026786004,0.0908509485931005,0.0886894373647016,0.0782739096996753,0.0803390041260823,0.0867670376758658,0.0957194300595238
AICAr,NA,NA,NA,NA,237.889413689997,250.375770292005,302.092599702004,220.288961851002,244.710921536993,245.785089420999,319.408256696429,325.602059253247,336.419569940476,276.870293222403
Lcystin,2.70562770562771e-05,2.70562770562771e-05,2.70562770562771e-05,2.70562770562771e-05,0.0634164109848001,0.0772067574405012,0.157166546671999,0.0680235361201006,0.0897911375812012,0.131138645833002,0.0769912799648269,0.0642018998241342,0.0739300591856061,0.0717615620941559
Pool_2pg_3pg,0.000872096272998002,0.000995995930735983,0.000809561370400003,0.000816416014610014,0.0823288503788006,0.0915185270562991,0.0907168693182001,0.084148446157998,0.102246936959001,0.0981214729437017,0.125698009334416,0.111574709550866,0.122300128179113,0.152968916193182
accoa,0.0102408638528003,0.0104801461580001,0.0106109680195001,0.0110163780574001,0.00287815422078005,0.000512303977272989,0.00237342097050374,0.00419412012987004,0.000643302083332998,0.00344274688852996,0.00136979430465368,0.000547553503787879,0.00191154761904762,0.000696323660714286
acon-C,0.00120610507305,0.00129196182359002,0.00143599326298999,0.00108793244048,0.180850667749003,0.239718102273002,0.249795228625999,0.260153167884,0.231831128246997,0.204478496483004,0.262841286661256,0.23836533691829,0.235413967329546,0.313714309997294
actp,0.00567675301271997,0.00365009666260994,0.00553139007575995,0.00503121602273008,0.00270562770562771,0.00270562770562771,0.00270562770562771,0.00270562770562771,0.00270562770562771,0.00270562770562771,0.00135281385281385,0.00135281385281385,0.00135281385281385,0.00135281385281385
ade,6.37443317099992e-06,7.85192640693002e-06,6.60862148268013e-06,7.19092532468016e-06,0.00325486309523994,0.00526858671536995,0.00681037648810001,0.00348842600108003,0.00424252773267997,0.00785790083874005,0.00344057345779221,0.00328847328192641,0.00381287006222944,0.00311325960497836
adn,6.76406926406927e-06,6.76406926406927e-06,6.76406926406927e-06,6.76406926406927e-06,0.0295395994318,0.00320420481601994,0.0334022991070996,0.0344639921536999,0.00291714231601995,0.0374003474026001,0.00370674661796537,0.0011502288284632,0.00379716287878788,0.000871636837121212
adp,0.0113057730654999,0.00960416620671008,0.00918872176677003,0.00864927318723007,0.00896375487012986,0.0105692767857002,0.0244668133117001,0.00870734036796981,0.00881407941017008,0.0221049560334996,0.0141257857142857,0.0060989577245671,0.0142789320887446,0.00695157420183983
adpglc,4.77792180735992e-05,3.16550365259997e-05,5.11090719697011e-05,6.48817234848012e-05,0.000292195346320001,0.000495089285714009,0.000843245670996004,0.000264138257576005,0.000220706980518994,0.00121328598485,0.00048609862012987,0.000409868641774892,0.000425029491341992,0.000900788961038961
akg,0.00310391983224992,0.00271201906114997,0.00294663717532004,0.00266255660172998,0.0201143521374001,0.0163702558170997,0.011112344697,0.0199699268128,0.00995294358765988,0.0177713034360995,0.017854473146645,0.0206252349837662,0.0210367332251082,0.0141034339150433
ala-L,0.0301483305464994,0.0617025979843006,0.060727833901501,0.0493880731872006,1.74564330086997,3.31485946428995,3.27545108359995,1.86539765151998,1.63747093344,3.71140176541995,1.54605809456169,1.43497151988636,2.41784689799784,1.23209432156385
amp,0.0411370213339004,0.0401226771915999,0.0440483125540991,0.0452726834551006,0.0903229636092998,0.156679896239001,0.139319974973003,0.0790437186146991,0.165348095914996,0.129772399756003,0.128365465638528,0.0736188412472944,0.111936338474026,0.0781058520021645
arg-L,0.0160738897863002,0.0158380437635,0.0146611551407002,0.0111919405005002,1.25203010307998,1.35858706709998,1.09549094061001,1.42091971319998,1.77339841449998,1.85144049106998,1.44009986066017,1.37720286052489,1.40724730316558,1.22776612351191
asn-L,0.00785269159090984,0.00656599349837993,0.00681438435335011,0.00723262699539992,0.0635466519210009,0.084933673836601,0.127767921537,0.104799597672998,0.115202504600002,0.137725405709002,0.139706787202381,0.103252001555736,0.0813236623376624,0.110146298566017
asp-L,0.739029000270991,0.673690316558007,0.571701743776998,0.874641647727003,31.3643461850996,37.5836428570991,39.6219067911005,36.5229517045007,25.1980289501998,42.0697754329007,28.7698711444805,32.8338224431818,32.3359949269481,31.9792442505411
atp,0.00543957522186003,0.00457155181412005,0.00418773528679995,0.00427422972266996,0.0179527670455002,0.0200232344426003,0.0227069046456804,0.0199595505951998,0.0219141903409,0.0329569669912999,0.0207807601461039,0.0165451528679654,0.0202822978896104,0.0137526218885281
camp,2.11616409632002e-05,2.03750229978001e-05,1.95243465909004e-05,2.04271875000003e-05,0.0052557118506501,0.00729163879869988,0.00892801285173011,0.00560285173159989,0.00716285470778999,0.00656698336038991,0.00782395353084416,0.00640064441287879,0.00713177347132035,0.00688867092803031
chor,0.0238101120670998,0.0284655056683005,0.0169880296671998,0.0212590969291,2.37805453328001,4.88189503922998,3.29178992695003,2.65777852408002,2.83230018397994,3.33238799512995,3.51468482616342,4.02758622429654,3.28470065949675,3.75918029964827
cit,0.00901683204275013,0.00824735860390006,0.00764668781384988,0.00746190666666992,1.27738424255997,1.50380126081997,1.21186308441998,1.49366109848,1.47995317776002,1.25262872009998,1.33114537270022,1.06168118371212,1.56698034564394,0.875312123241342
citr-L,0.000109378354977999,0.000147308942099997,7.55561958873995e-05,0.000180051488094997,0.0320782955897991,0.0254480290854995,0.0215740424783998,0.0234360642586999,0.0267925537066996,0.0210759782196998,0.0365406231737013,0.0286722661661255,0.0334375331439394,0.0392450590503247
cmp,0.00256497686687998,0.00374207071158004,0.00325315358495994,0.00320748871753005,0.0127240450486998,0.0138921677488998,0.0242856958874,0.0109028962391999,0.0165871243235999,0.0187029826839999,0.016835052150974,0.00975772916666667,0.0118754504193723,0.0149305769751082
coa,0.103606620982002,0.0855880952515996,0.0959684253246993,0.0846792283956005,0.0450538003247,0.074519929518401,0.157716725973973,0.123884018804002,0.123743824811001,0.185753665584002,0.0561316935876624,0.0671742918695888,0.0578874712527056,0.0521615431547619
cytd,8.64124729436999e-06,2.01883996212002e-05,1.03066950758001e-05,1.28932941016999e-05,0.00272350135280997,0.000475237012987006,0.00182715625000002,0.00238918357683996,0.000691108436039843,0.00149606168830998,0.000276154017857143,0.00012479099025974,0.000251869994588745,9.61824945887446e-05
dadp,0.000344346195887005,0.000419027907197,0.000393298737825006,0.000375208908279006,0.0135946586851002,0.0147676949405002,0.0127908981323694,0.0149647969425999,0.0149151308170997,0.0143479803841999,0.00751003273809524,0.00697129004329004,0.00716223322510823,0.00689800974025974
damp,0.000575925013527992,0.00055679632981599,0.000693266960226987,0.000465348800054,0.00247818046537001,0.00379126258116991,0.00330403287337999,0.00252727435064996,0.00348435606061005,0.00377289691558005,0.00277862486471862,0.00222507345779221,0.00356251224296537,0.00206798106060606
datp,0.000439901252705991,0.000420475051407006,0.000427935547890001,0.000439638795996008,0.0337650262445993,0.0338934936417993,0.0388176737637949,0.0344556232412998,0.0339529623918005,0.0341281647726998,0.0171811795183983,0.0170121661255411,0.0172125825892857,0.0173341821563853
dcdp,0.000239790150162005,0.000245062382305005,0.000261526262174996,0.000254524943182004,0.0118967564935003,0.012033777868,0.0115183500014885,0.0123143337391999,0.0126114642856998,0.0138409952652001,0.00601414191017316,0.00641498613365801,0.00603350953733766,0.00647506425865801
dcmp,0.000273524797078003,0.000255023556547997,0.000258325560064998,0.000283217248376994,0.000874588609307003,0.00151825838745001,0.00174016950758003,0.00121287784090998,0.00175027259199001,0.00160799810605999,0.00155771624729437,0.00149696814123377,0.00147327475649351,0.00178044629329004
dhap,0.0191667633386995,0.0398397514475,0.0120633326705003,0.0178037924919002,0.00670047537879003,0.0085460400432902,0.00728216301406987,0.00698116571969992,0.00736658901514993,0.00792445468074016,0.00944731006493507,0.00828861424512987,0.00980857366071429,0.00997338203463204
