id,experiment_id,sample_name,sample_id,component_group_name,component_name,calculated_concentration,calculated_concentration_units,used_,comment_
16665,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,damp,damp.damp_1.Light,0.001399381,mM,t,
16666,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,datp,datp.datp_1.Light,0.065637836,mM,t,
16667,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,dcdp,dcdp.dcdp_1.Light,0.020920718,mM,t,
16668,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,dcmp,dcmp.dcmp_1.Light,0.002989043,mM,t,
16669,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,dctp,dctp.dctp_1.Light,0.05418482,mM,t,
16670,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,dgdp,dgdp.dgdp_1.Light,0.007249033,mM,t,
16671,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,dhap,dhap.dhap_1.Light,0.286975934,mM,t,
16672,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,dtdpglu,dtdpglu.dtdpglu_1.Light,0.00023278,mM,t,
16673,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,dtmp,dtmp.dtmp_1.Light,0.00590611,mM,t,
16674,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,dttp,dttp.dttp_1.Light,0.031068474,mM,t,
16675,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,dump,dump.dump_1.Light,0.006330561,mM,t,
16676,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,dutp,dutp.dutp_1.Light,0.002187367,mM,t,
16677,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,fad,fad.fad_1.Light,0.021342125,mM,t,
16678,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,fdp,fdp.fdp_2.Light,1.288572112,mM,t,
16679,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,fum,fum.fum_1.Light,0.525887397,mM,t,
16680,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,g1p,g1p.g1p_1.Light,0.037567188,mM,t,
16681,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,gam6p,gam6p.gam6p_1.Light,0.070708539,mM,t,
16682,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,gdp,gdp.gdp_1.Light,0.098153979,mM,t,
16683,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,gln-L,gln-L.gln-L_1.Light,0.965789679,mM,t,
16684,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,gmp,gmp.gmp_1.Light,0.060047136,mM,t,
16686,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,gthrd,gthrd.gthrd_1.Light,2.110505101,mM,t,
16687,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,gtp,gtp.gtp_1.Light,0.870965534,mM,t,
16688,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,gua,gua.gua_1.Light,0.000854241,mM,t,
16689,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,his-L,his-L.his-L_1.Light,0.034154663,mM,t,
16692,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,imp,imp.imp_1.Light,0.016218479,mM,t,
16693,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,ins,ins.ins_1.Light,0.003676237,mM,t,
16694,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,itp,itp.itp_1.Light,0.00698818,mM,t,
16696,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,met-L,met-L.met-L_1.Light,0.024632647,mM,t,
16697,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,mmal,mmal.mmal_1.Light,0.005679815,mM,t,
17814,ALEWt01,131206_0_OxicEvo09EcoliGlcM9_Filtrate-1,131206_0_OxicEvo09EcoliGlcM9_Filtrate-1,adn,adn.adn_1.Light,0.006974796,mM,f,High % extracellular
16919,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Filtrate-1,131206_0_OxicEvo03EcoliGlcM9_Filtrate-1,damp,damp.damp_1.Light,0.000473057,mM,f,Removed filtrate
17218,ALEWt01,131206_0_OxicEvo04EcoliGlcM9_Filtrate-1,131206_0_OxicEvo04EcoliGlcM9_Filtrate-1,damp,damp.damp_1.Light,0.000565371,mM,f,Removed filtrate
