,OxicEvo03Glc_Broth-1,OxicEvo03Glc_Broth-2,OxicEvo03Glc_Broth-3,OxicEvo03Glc_Broth-4,OxicEvo03Glc_Broth-5,OxicEvo03Glc_Broth-6,OxicEvo04Glc_Broth-1,OxicEvo04Glc_Broth-2,OxicEvo04Glc_Broth-3,OxicEvo04Glc_Broth-4,OxicEvo04Glc_Broth-5,OxicEvo04Glc_Broth-6,OxicEvo08Glc_Broth-1,OxicEvo08Glc_Broth-2,OxicEvo08Glc_Broth-3,OxicEvo08Glc_Broth-4,OxicEvo08Glc_Broth-5,OxicEvo08Glc_Broth-6,OxicEvo09Glc_Broth-1,OxicEvo09Glc_Broth-2,OxicEvo09Glc_Broth-3,OxicEvo09Glc_Broth-4,OxicEvo09Glc_Broth-5,OxicEvo09Glc_Broth-6,OxicWtGlc_Broth-1,OxicWtGlc_Broth-2,OxicWtGlc_Broth-3,OxicWtGlc_Broth-4,OxicWtGlc_Broth-5,OxicWtGlc_Broth-6
23dpg,0.038615634911616,0.0265206806729517,0.0302003605774506,0.0286428467973123,0.0198593343810857,0.017217200809481,0.0328056189138837,0.0291991422733222,0.0278904685353117,0.017051620212077,0.0297784281111526,0.0291286238066442,0.0288899166859368,0.0269781461167233,0.0354096743737464,0.0227398012313913,0.0236779266555748,0.0215312559931727,0.0184053079976087,0.0265157597928509,0.0212530271430773,0.0124905961110439,0.0240229200033301,0.0178787551373053,0.0291017508728682,0.0426973889107121,0.0354668490276717,0.0319613378917053,0.0486961193938976,0.0200054644731713
5oxpro,0.0768948595737164,0.0580492866826156,0.0462140192687747,0.0615057778889936,0.0581191526116427,0.0393554162091934,0.0705358500913303,0.0419539670863334,0.043350686205507,0.049074626766533,0.0481792857697428,0.0450235309975699,0.0534345874242424,0.05467122258578,0.101539228669778,0.0508325429545455,0.0610940694640962,0.0380579029122019,0.0564851182455082,0.0536311224623078,0.0564966530483406,0.0473284168845535,0.0303168260188088,0.055605073502886,0.0670846866298116,0.0659857677383592,0.0507736018769787,0.0720415496519247,0.0528710281550259,0.0424623380257802
6pgc,0.200525683367823,0.123732206968983,0.193494396320546,0.168515629689851,0.120128515182699,0.198798779555065,0.200588313356702,0.210331570835016,0.372858984010735,0.194111589960771,0.206864401366357,0.297769530321119,0.128510913385077,0.187811256590477,0.184643183119493,0.139244939900228,0.152074186669477,0.129327999054509,0.181876131179152,0.236949010235364,0.351051627575639,0.290792181142279,0.410204837970847,0.264458307770444,0.0915575380835381,0.150860793837768,0.0918428329941203,0.0738205730958231,0.103277719650776,0.0767154947798884
AICAr,1015.13944439474,363.433866032035,539.669713782037,542.825452598545,288.442021534427,295.357566951412,384.498634520988,314.722127900665,805.312289438956,185.569097691424,607.381249078196,562.590483777746,465.028851936552,400.864247827367,379.883262778815,121.617816103219,256.12123270533,281.33923696939,331.965863377165,339.797282544535,211.280916420238,283.594711342438,207.618835668136,256.310001647511,497.321238565343,493.366940009583,664.732018561753,396.449679597283,559.476033112873,726.485831881523
Pool_2pg_3pg,0.592396038035543,0.420643959367591,0.506776680290108,0.586712262226939,0.325434235384338,0.586606716247508,0.463243580681617,0.435523867049054,0.43404017149063,0.49947615786187,0.463066959099697,0.456776652804818,0.503401724044311,0.523745948371631,0.496911031214492,0.530065441241281,0.567408217930056,0.427928226023802,0.324655891133278,0.374857044884102,0.367976424188227,0.274551813548805,0.399606358307748,0.357200522582888,0.463819229322306,0.647102615424387,0.361577264179755,0.479808755325582,0.590895392470765,0.321880626063518
accoa,1.67001045150007,1.05534099109978,1.37428424786653,1.77147795424776,1.07992849109978,1.36254917064504,1.08596644468869,1.54276175675933,1.09747589703004,1.13333152506997,1.60760407290019,1.1651589506309,1.45461282614296,1.51521938546969,0.980740205518456,1.4833983155369,1.46344027923222,1.09306138811438,1.39340723287866,1.12298079599798,1.06880487334783,1.4370959522069,1.1920226063428,1.1745443917461,1.64098042707813,1.46529519931849,1.47474186249421,1.62282763223783,1.43817125715294,1.56719625718741
acon-C,0.173396259420631,0.118076855661882,0.1035527945213,0.1381029929149,0.0912619914274322,0.136687882447665,0.102741671023616,0.147347952037498,0.0793659450678331,0.122482635243278,0.129212913726304,0.109357256165209,0.110236133106061,0.0914580921324136,0.0713053867813112,0.0857883825,0.100216653770192,0.127741904021201,0.162676783655135,0.166858750559785,0.112626909000722,0.104418868832127,0.135726088781908,0.162810083603896,0.0635023788902539,0.069699029817997,0.0627822593472034,0.0931414476863227,0.0654317200203252,0.0597231875659581
ade,0.00395509599806598,0.00470414677599113,0.00303098021285789,0.00291669073428831,0.00422738929991458,0.00217386979710617,0.00312958226242447,0.00467656536398805,0.00337311790652235,0.00313678510066604,0.00518705026436165,0.00312735216859919,0.00256830350133051,0.00188056095711403,0.0032840245051904,0.00286681183466385,0.00406183660267469,0.00270658686836588,0.00482093369347218,0.00402750629561065,0.00428437301079203,0.00344687328853788,0.00379608696063529,0.00389049837154239,0.00540234104812495,0.00647776586172745,0.00263877048672234,0.00444299297277692,0.00792847158511985,0.00179823594352922
adn,0.00216647943162192,NA,NA,0.00134882055660229,NA,NA,NA,0.0024364295350768,NA,0.00015779280480865,0.00189154014459665,NA,0.00824215923812179,0.0247965096340067,0.0106011914846364,0.00889336605630361,0.019077233826319,0.0123045568637123,NA,NA,0.00563100487012987,NA,NA,0.00473504933261183,0.00747283036445537,0.001502373313932,NA,0.00846867956592957,NA,NA
adp,0.160743341270277,0.117974267282685,0.136342111472582,0.167014428077468,0.129257610085715,0.132154755576666,0.10624200601351,0.110726676169147,0.103242728121293,0.110919522818887,0.117337119990926,0.0909108127859308,0.139010297831918,0.136202493915517,0.132924155950941,0.129525578589494,0.134218299023995,0.128256997868213,0.0994040728192643,0.127031227086774,0.125541128107449,0.106527102284268,0.123479047657009,0.111735918240927,0.133821990275674,0.121890399134366,0.100226226706134,0.137533499489433,0.121119780947929,0.100191930761614
