experiment_id,model_id,sample_name_abbreviation,time_point,rxn_id,dG_r_units,dG_r_lb_base,dG_r_ub_base,dG_r_lb,dG_r_ub,displacement_lb_base,displacement_lb,displacement_ub_base,displacement_ub,feasible_base,feasible
ALEWt01,iJO1366,OxicEvo09Glc,0,THD2pp,kJ/mol,-6195.325453,-6194.423777,-6195.536479,-6195.437492,2.281569383,2.10228643,3.236659736,2.184558101,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,NTD7,kJ/mol,-47.36081634,-43.88603966,-43.58355384,-43.58084378,1.06E-08,4.57E-08,4.06E-08,4.57E-08,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,ADK3,kJ/mol,8.765828054,9.288556549,9.746970881,9.937990534,29.94820662,43.81454038,36.67841384,47.18353174,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,CYTK2,kJ/mol,12.45032252,12.52239839,12.53970844,12.84522779,125.0046054,129.4138318,128.5479866,145.6925394,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,KDOPS,kJ/mol,8.565430098,8.92502593,7.554947765,8.255512101,20.56844138,15.86498144,42.91421764,29.00095502,FALSE,FALSE
ALEWt01,iJO1366,OxicEvo09Glc,0,H2tpp,kJ/mol,5.93455963,5.93455963,5.93455963,5.93455963,9.988928024,9.988928024,9.988928024,9.988928024,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,PDH,kJ/mol,-44.96742521,-44.57025221,-48.76015729,-45.85052594,2.67E-08,6.13E-09,3.11E-08,1.90E-08,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,SO4tex,kJ/mol,6914.597525,6914.597525,6914.597525,6914.597525,1,1,1,1,FALSE,FALSE
ALEWt01,iJO1366,OxicEvo09Glc,0,MG2tex,kJ/mol,-6914.597525,-6914.597525,-6914.597525,-6914.597525,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,ACCOAL,kJ/mol,14.41042476,14.74390366,15.8914736,16.42600945,267.3333584,474.7844408,304.2417532,584.1506182,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,MNtex,kJ/mol,-6914.597525,-6914.597525,-6914.597525,-6914.597525,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,PItex,kJ/mol,6914.597525,6914.597525,6914.597525,6914.597525,1,1,1,1,FALSE,FALSE
ALEWt01,iJO1366,OxicEvo09Glc,0,FORtex,kJ/mol,3457.298763,3457.298763,3457.298763,3457.298763,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,FBP,kJ/mol,-40.17468292,-39.90342221,-39.89938282,-39.44126232,1.71E-07,1.91E-07,1.90E-07,2.28E-07,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,SUCCtex,kJ/mol,6914.597525,6914.597525,6914.597525,6914.597525,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,SADT2,kJ/mol,-4.109283317,-3.458515696,-2.023561629,-1.970921198,0.203189103,0.456231021,0.261520011,0.465640442,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,PGM,kJ/mol,-4.129953475,-4.129953475,-4.129953475,-4.129953475,0.201566833,0.201566833,0.201566833,0.201566833,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,PHETA1,kJ/mol,16.24614793,16.87970767,14.93821544,15.05659275,544.7935348,328.0541004,696.52747,343.465392,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,RPI,kJ/mol,-0.068006505,0.04569869,-0.385815516,-0.204336749,0.973971191,0.861032665,1.017880349,0.923814775,TRUE,FALSE
