experiment_id,model_id,sample_name_abbreviation,time_point,rxn_id,dG_r_units,dG_r_lb_base,dG_r_ub_base,dG_r_lb,dG_r_ub,displacement_lb_base,displacement_lb,displacement_ub_base,displacement_ub,feasible_base,feasible
ALEWt01,iJO1366,OxicEvo03Glc,0,H2Otpp,kJ/mol,5.93455963,5.93455963,5.93455963,5.93455963,9.988928024,9.988928024,9.988928024,9.988928024,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo03Glc,0,PGMT,kJ/mol,-1.226838483,-0.807745317,0.071549889,0.157954546,0.621400582,1.028136264,0.731066298,1.063171305,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo03Glc,0,PIt2rpp,kJ/mol,3015.98598,3015.98598,3015.98598,3015.98598,3.669488396,3.669488396,3.669488396,3.669488396,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo03Glc,0,PPKr,kJ/mol,-26.4498004,-26.40846024,-25.87575972,-25.63841236,3.51E-05,4.38E-05,3.57E-05,4.81E-05,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo03Glc,0,DURADx,kJ/mol,110.7012292,117.2597781,107.9381584,108.6057527,1.67E+17,7.42E+16,1.48E+21,3.99E+19,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo03Glc,0,ADK1,kJ/mol,-5.752892098,-5.39651615,-5.195822225,-5.155252872,0.107418278,0.133321995,0.123338949,0.13543616,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo03Glc,0,NDPK8,kJ/mol,2.225217313,2.453032416,1.89619668,2.036562712,2.370165818,2.086238459,2.589095867,2.202951195,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo03Glc,0,NDPK2,kJ/mol,-16.01415532,-15.9430138,-16.17163868,-16.08332822,0.002008358,0.001889371,0.002064538,0.001955198,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo03Glc,0,SUCFUMtpp,kJ/mol,13825.23532,13825.30977,13824.24229,13824.40538,0.215322263,0.146500407,0.221629604,0.156065388,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo03Glc,0,MALS,kJ/mol,-57.23934115,-55.7095463,-55.11533069,-53.95598009,2.29E-10,5.22E-10,4.14E-10,8.18E-10,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo03Glc,0,NH4tex,kJ/mol,-3457.298763,-3457.298763,-3457.298763,-3457.298763,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo03Glc,0,AGPR,kJ/mol,45.06176151,45.57297352,43.87530884,43.92302933,38855848.8,24526183.49,47375791.57,24984301.97,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo03Glc,0,FUMtex,kJ/mol,6914.597525,6914.597525,6914.597525,6914.597525,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo03Glc,0,ASAD,kJ/mol,-17.20953124,-16.69831924,-18.39598391,-18.34826343,0.001263315,0.000797417,0.001540323,0.000812311,FALSE,FALSE
