,OxicEvo03Glc_Broth-1,OxicEvo03Glc_Broth-2,OxicEvo03Glc_Broth-3,OxicEvo03Glc_Broth-4,OxicEvo03Glc_Broth-5,OxicEvo03Glc_Broth-6,OxicEvo04Glc_Broth-1,OxicEvo04Glc_Broth-2,OxicEvo04Glc_Broth-3,OxicEvo04Glc_Broth-4,OxicEvo04Glc_Broth-5,OxicEvo04Glc_Broth-6,OxicEvo08Glc_Broth-1,OxicEvo08Glc_Broth-2,OxicEvo08Glc_Broth-3,OxicEvo08Glc_Broth-4,OxicEvo08Glc_Broth-5,OxicEvo08Glc_Broth-6,OxicEvo09Glc_Broth-1,OxicEvo09Glc_Broth-2,OxicEvo09Glc_Broth-3,OxicEvo09Glc_Broth-4,OxicEvo09Glc_Broth-5,OxicEvo09Glc_Broth-6,OxicWtGlc_Broth-1,OxicWtGlc_Broth-2,OxicWtGlc_Broth-3,OxicWtGlc_Broth-4,OxicWtGlc_Broth-5,OxicWtGlc_Broth-6
23dpg,0.0386156349116005,0.0265206806729995,0.0302003605774994,0.0286428467973003,0.0198593343811002,0.0172172008094998,0.0328056189139004,0.0291991422732994,0.0278904685353003,0.0170516202121003,0.0297784281112001,0.0291286238065995,0.0288899166858992,0.0269781461167004,0.0354096743737,0.0227398012314,0.0236779266556003,0.0215312559931997,0.0184053079976002,0.0265157597929004,0.0212530271431,0.0124905961110001,0.0240229200033004,0.0178787551372999,0.0291017508729004,0.0426973889107006,0.0354668490276994,0.0319613378917005,0.0486961193939005,0.0200054644732003
5oxpro,0.076894859573699,0.0580492866826015,0.0462140192688005,0.0615057778890015,0.0581191526116011,0.0393554162091997,0.0705358500912987,0.0419539670863002,0.0433506862054998,0.0490746267664993,0.0481792857696992,0.0450235309975991,0.0534345874241994,0.0546712225858011,0.101539228670002,0.0508325429545006,0.0610940694640991,0.0380579029122003,0.0564851182454992,0.0536311224622993,0.0564966530482995,0.0473284168846011,0.0303168260188002,0.0556050735029012,0.0670846866297991,0.0659857677383985,0.0507736018769993,0.0720415496518996,0.0528710281550012,0.0424623380257998
6pgc,0.200525683367999,0.123732206968998,0.193494396321,0.168515629690004,0.120128515182999,0.198798779555003,0.200588313357002,0.210331570834997,0.372858984010994,0.194111589961002,0.206864401366003,0.297769530321,0.128510913385,0.187811256590002,0.184643183118996,0.139244939899999,0.152074186669,0.129327999054997,0.181876131178998,0.236949010235003,0.351051627575998,0.290792181142,0.410204837970994,0.264458307770006,0.0915575380835016,0.150860793838004,0.0918428329941,0.0738205730958011,0.103277719651001,0.0767154947798997
AICAr,1015.13944438999,363.433866031996,539.669713781988,542.825452598989,288.442021534,295.357566950998,384.498634520995,314.722127901001,805.312289439016,185.569097691002,607.381249078005,562.590483777996,465.028851936992,400.864247826994,379.883262778998,121.617816102998,256.121232704994,281.339236969005,331.965863376995,339.797282545007,211.280916419995,283.594711342005,207.618835667999,256.310001648002,497.321238565011,493.366940009993,664.732018561999,396.449679596994,559.476033113007,726.485831881992
Pool_2pg_3pg,0.592396038035989,0.420643959368005,0.506776680289992,0.586712262227013,0.325434235384002,0.586606716248003,0.463243580681993,0.435523867049011,0.434040171491005,0.499476157861991,0.463066959099993,0.456776652804993,0.503401724044007,0.523745948371994,0.496911031213994,0.530065441240997,0.567408217930001,0.427928226023995,0.324655891132998,0.374857044883997,0.367976424187992,0.274551813549005,0.399606358308005,0.357200522583009,0.463819229321996,0.647102615424004,0.361577264180008,0.479808755326007,0.590895392470998,0.321880626064001
accoa,1.67001045150003,1.05534099110001,1.37428424787002,1.77147795425002,1.07992849109998,1.36254917065002,1.08596644469001,1.54276175676,1.09747589703,1.13333152507001,1.60760407289997,1.16515895063001,1.45461282613998,1.51521938546997,0.980740205518009,1.48339831553996,1.46344027923002,1.09306138810999,1.39340723288001,1.12298079599999,1.06880487335001,1.43709595221001,1.19202260633999,1.17454439175001,1.64098042707998,1.46529519932003,1.47474186248998,1.62282763223999,1.43817125715001,1.56719625719001
acon-C,0.173396259420998,0.118076855661998,0.103552794520998,0.138102992914999,0.0912619914274014,0.136687882448001,0.102741671024002,0.147347952036997,0.0793659450678007,0.122482635243002,0.129212913725997,0.109357256164999,0.110236133106,0.0914580921323991,0.0713053867812994,0.085788382499999,0.100216653770001,0.127741904020997,0.162676783655001,0.166858750560001,0.112626909000998,0.104418868831999,0.135726088781997,0.162810083604,0.0635023788902989,0.0696990298179985,0.0627822593472005,0.093141447686302,0.0654317200202997,0.059723187566
ade,0.00395509599806995,0.00470414677598992,0.00303098021286005,0.00291669073429001,0.00422738929990993,0.00217386979711003,0.00312958226241999,0.0046765653639901,0.00337311790651996,0.00313678510066995,0.00518705026436004,0.00312735216860005,0.00256830350132997,0.00188056095710998,0.00328402450519005,0.00286681183465998,0.00406183660266993,0.00270658686837006,0.00482093369346999,0.00402750629561008,0.00428437301079002,0.00344687328853999,0.00379608696063996,0.00389049837154009,0.00540234104811996,0.00647776586172993,0.00263877048671994,0.00444299297277999,0.00792847158512,0.00179823594353001
adn,0.00216647943162003,0.000958082912533181,0.0015314087995581,0.00134882055659998,0.00134485141341985,0.00126655883454516,0.000688670234620898,0.00243642953508,0.000540394637799151,0.000157792804808998,0.00189154014460002,0.000385151242262475,0.00824215923811989,0.0247965096340002,0.0106011914846,0.00889336605630022,0.0190772338263002,0.0123045568637002,0.00485872429451908,0.00562565017133202,0.00563100487013,0.00448046991780545,0.00582187927454563,0.00473504933261008,0.00747283036445984,0.00150237331393003,0.000732987998031224,0.00846867956593009,0.00221625779282795,0.000762848878518158
adp,0.160743341270003,0.117974267283002,0.136342111472999,0.167014428077001,0.129257610086,0.132154755577002,0.106242006014,0.110726676168998,0.103242728121002,0.110919522819002,0.117337119991003,0.0909108127859021,0.139010297832,0.136202493916001,0.132924155951002,0.129525578588999,0.134218299024,0.128256997867997,0.0994040728192982,0.127031227087002,0.125541128107002,0.106527102284002,0.123479047657,0.111735918240999,0.133821990276002,0.121890399134002,0.100226226705999,0.137533499488998,0.121119780948003,0.100191930761999
