experiment_id,model_id,sample_name_abbreviation,time_point,rxn_id,dG_r_units,dG_r_lb_base,dG_r_lb,dG_r_ub_base,dG_r_ub,displacement_lb_base,displacement_lb,displacement_ub_base,displacement_ub,feasible_base,feasible
rpomut02,iJO1366,OxicRph-pyrE82,0,NTD11,kJ/mol,-43.5086735374693,-36.6648909664022,-41.7382466482364,-35.2801861876887,4.70023965642982e-08,6.67995184583788e-07,9.33902139236701e-08,1.14285217470982e-06,True,True
rpomut02,iJO1366,OxicRph-pyrE82,0,P5CD,kJ/mol,-536.191766409418,-526.762159920611,-527.547666282582,-520.045233453835,4.63809587657488e-50,1.79682748822671e-48,3.49435609748219e-47,6.41139633729103e-46,True,True
rpomut02,iJO1366,OxicRph-pyrE82,0,ACtex,kJ/mol,3457.2987625,3457.2987625,3457.2987625,3457.2987625,1.0,1.0,1.0,1.0,True,True
rpomut02,iJO1366,OxicRph-pyrE82,0,GTHOr,kJ/mol,-14.5457462909455,-13.6851639282527,-13.8454430679151,-12.9380030452886,0.00354940477510052,0.00495561731695419,0.00465696527445171,0.00662120691521853,True,True
rpomut02,iJO1366,OxicRph-pyrE82,0,D_DASH_LACtex,kJ/mol,3457.2987625,3457.2987625,3457.2987625,3457.2987625,1.0,1.0,1.0,1.0,True,True
rpomut02,iJO1366,OxicRph-pyrE82,0,NADPPPS,kJ/mol,-32.58390709298,-33.516846886142,-32.572831750687,-32.9643728183233,3.25167124340533e-06,2.26452808414173e-06,3.26566759969737e-06,2.80560991793054e-06,True,True
rpomut02,iJO1366,OxicRph-pyrE82,0,3HPPPNH,kJ/mol,-336.883097157635,-343.327588570159,-328.847010243503,-337.234637648194,4.29638950745556e-34,1.66123348640221e-35,5.02107587689926e-34,4.12471020444378e-35,True,True
rpomut02,iJO1366,OxicRph-pyrE82,0,FE2tex,kJ/mol,-6914.597525,-6914.597525,-6914.597525,-6914.597525,1.0,1.0,1.0,1.0,True,True
rpomut02,iJO1366,OxicRph-pyrE82,0,DMPPS,kJ/mol,1731.68037649062,1725.2358850781,1738.588460665,1730.20083326031,2.54573902603902e+48,9.84330426828903e+46,2.97513733108793e+48,2.44401391455137e+47,True,True
rpomut02,iJO1366,OxicRph-pyrE82,0,FE3tex,kJ/mol,-10371.8962875,-10371.8962875,-10371.8962875,-10371.8962875,1.0,1.0,1.0,1.0,True,True
rpomut02,iJO1366,OxicRph-pyrE82,0,THD2pp,kJ/mol,-6186.02050987333,-6194.33439688043,-6185.53956213732,-6191.73209491285,84.2178321558448,3.35081690860646,101.486184521444,9.19262024689997,True,True
rpomut02,iJO1366,OxicRph-pyrE82,0,AMPN,kJ/mol,-74.2812979335494,-62.745830757451,-71.913918640091,-61.9061027287015,3.08524086949185e-13,2.70478042742464e-11,7.72700537915287e-13,3.74594925020824e-11,True,True
rpomut02,iJO1366,OxicRph-pyrE82,0,GTHPi,kJ/mol,-254.109225156786,-254.609457840987,-252.526051867977,-254.119540603681,8.30008957678667e-35,6.83646941741299e-35,1.53364998166528e-34,8.26695200897497e-35,True,True
rpomut02,iJO1366,OxicRph-pyrE82,0,LCADi,kJ/mol,-1008.73993448119,-992.571626028146,-1001.71335770511,-986.291514660932,5.23268335412513e-51,2.76596327351875e-48,2.10534398493155e-48,8.33149147207399e-46,True,True
rpomut02,iJO1366,OxicRph-pyrE82,0,DHFS,kJ/mol,360.602110748633,357.949900331398,360.853029170222,359.806941108648,9.96471670884881e+41,5.0060148269873e+41,1.40018849565593e+42,6.64169943252733e+41,False,False
rpomut02,iJO1366,OxicRph-pyrE82,0,ADK3,kJ/mol,8.31118378909639,12.0346642920972,10.9337481841831,13.4404464114925,25.1071880015394,106.394561623269,69.4223583972156,183.521130042764,True,True
rpomut02,iJO1366,OxicRph-pyrE82,0,M1PD,kJ/mol,-12.2877256651553,-3.35044330591718,-3.93051508977016,3.15817088362022,0.000323072991966498,0.0103406632777969,5.74338093993939,89.7570195003151,True,True
