sample_name_abbreviation,time_point,met_id,fragment_formula,C_pos,scan_type,theoretical,,,,,,,,,,,,,,measured,,,,,,,,,,,,,,measured_cv,,,,,,,,,,,,,,abs_difference,,,,,,,,,,,,,
,,,,,,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13
OxicWtGlc,0,akg,C2HO3-,"[True, True, False, False, False]",EPI,1,0.023,0.006,,,,,,,,,,,,1,0.013,0,,,,,,,,,,,,0,23.387,0,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,amp,C10H13N5O7P-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.131,0.022,0.002,0,0,0,0,0,0,,,,,1,0.15,0.015,0,0,0,0,0,0,0,0,,,,0,8.645,33.271,0,0,0,0,0,0,0,0,,,,0,-0.02,0.008,0.002,0,0,0,0,0,0,,,,
OxicWtGlc,0,amp,C5H8O7P-,"[True, True, True, True, True, False, False, False, False, False]",EPI,1,0.058,0.016,0.001,0,0,,,,,,,,,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,amp,C5H4N5-,"[False, False, False, False, False, True, True, True, True, True]",EPI,1,0.073,0.002,0,0,0,,,,,,,,,1,0.13,0.025,0.01,0,0,,,,,,,,,0,11.022,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,asp-L,C4H6NO4-,"[True, True, True, True]",EPI,1,0.049,0.009,0,0,,,,,,,,,,1,0.048,0.008,0,0,,,,,,,,,,0,12.387,0,0,0,,,,,,,,,,0,0.002,0.002,0,0,,,,,,,,,
OxicWtGlc,0,asp-L,C4H6NO2-,"[True, True, True, True]",EPI,1,0.048,0.005,0,0,,,,,,,,,,1,0.049,0,0,0,,,,,,,,,,0,10.364,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,asp-L,C4H3O4-,"[True, True, True, True]",EPI,1,0.045,0.009,0,0,,,,,,,,,,1,0.047,0,0,0,,,,,,,,,,0,11.663,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,asp-L,C3H6NO2-,"[True, True, True, False]",EPI,1,0.038,0.005,0,,,,,,,,,,,1,0.047,0,0,,,,,,,,,,,0,12.48,0,0,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,asp-L,C3H3O2-,"[False, True, True, True]",EPI,1,0.034,0.004,0,,,,,,,,,,,1,0.19,0,0,,,,,,,,,,,0,30.051,0,0,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,atp,C10H15N5O13P3-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.133,0.035,0.004,0.001,0,0,0,0,0,,,,,1,0.147,0.028,0,0,0,0,0,0,0,0,,,,0,11.383,27.892,14.773,0,0,0,0,0,0,0,,,,0,-0.013,0.007,0.004,0.001,0,0,0,0,0,,,,
OxicWtGlc,0,atp,C5H4N5-,"[False, False, False, False, False, True, True, True, True, True]",EPI,1,0.073,0.002,0,0,0,,,,,,,,,0.925,0.506,0.011,0,0,0,,,,,,,,,18.188,67.94,64.94,0,0,0,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,atp,C10H14N5O10P2-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.132,0.029,0.003,0,0,0,0,0,0,,,,,1,0.145,0.023,0,0,0,0,0,0,0,0,,,,0,11.144,29.76,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
OxicWtGlc,0,atp,C10H12N5O9P2-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.131,0.027,0.003,0,0,0,0,0,0,,,,,1,0.151,0.026,0,0,0,0,0,0,0,0,,,,0,15.881,19.085,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
OxicWtGlc,0,atp,C10H11N5O6P-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.13,0.02,0.002,0,0,0,0,0,,,,,,1,0.286,0.05,0,0,0,0,0.329,0,1,0,,,,0,111.814,96.208,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
OxicWtGlc,0,dhap,C3H6O6P-,"[True, True, True]",EPI,1,0.035,0.013,0,,,,,,,,,,,1,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0.035,0.013,0,,,,,,,,,,
OxicWtGlc,0,fad,C27H32N9O15P2-,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",EPI,1,0.335,0.085,0.016,0.003,0,0,0,0,0,0,,,,1,0.634,0.184,0,0,0,0,0,0,0,0,0,0,0,0,14.245,26.067,0,0,0,0,0,0,0,0,0,0,0,0,-0.299,-0.099,0.016,0.003,0,0,0,0,0,0,,,
OxicWtGlc,0,fad,C17H18N4O8P-,None,EPI,1,0.204,0.036,0.005,0,0,0,0,0,0,,,,,1,0.521,0.12,0,0,0,0,0,0,0,0,0.012,0,0,0,10.928,22.622,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
OxicWtGlc,0,fad,C10H13N5O7P-,None,EPI,1,0.131,0.022,0.002,0,0,0,0,0,0,,,,,1,0.308,0.068,0,0,0,0,0,0,0,0,,,,0,35.019,36.198,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
OxicWtGlc,0,fdp,C6H13O12P2-,"[True, True, True, True, True, True]",EPI,1,0.071,0.027,0.002,0,0,0,,,,,,,,1,0.078,0.023,0.002,0,0,0,,,,,,,,0,14.275,26.418,46.307,10.254,0,0,,,,,,,,0,-0.007,0.003,0,0,0,0,,,,,,,
OxicWtGlc,0,fdp,C6H9O6-,"[True, True, True, True, True, True]",EPI,1,0.068,0.014,0.001,0,0,0,,,,,,,,1,0,0.048,0.029,0.005,0.014,0.065,,,,,,,,0,0,82.333,0,0,95.418,46.556,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,fdp,C6H8O7P-,"[True, True, True, True, True, True]",EPI,1,0.068,0.016,0.001,0,0,0,,,,,,,,1,0.13,0,0,0.254,0,0,,,,,,,,0,143.84,0,0,147.36,0,0,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,fdp,C6H10O8P-,"[True, True, True, True, True, True]",EPI,1,0.069,0.018,0.001,0,0,0,,,,,,,,1,0.08,0.018,0.009,0,0,0,,,,,,,,0,17.388,38.64,62.544,0,0,0,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,fdp,C4H8O6P-,"[False, False, True, True, True, True]",EPI,1,0.046,0.013,0.001,0,,,,,,,,,,1,0.028,0,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
