sample_name_abbreviation,time_point,met_id,fragment_formula,C_pos,scan_type,theoretical,,,,,,,,,,,,,,measured,,,,,,,,,,,,,,measured_cv,,,,,,,,,,,,,,abs_difference,,,,,,,,,,,,,
,,,,,,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13
OxicWtGlc,0,ser-L,C2H3O-,"[False, True, True]",EPI,1,0.022,0.002,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,succ,C4H5O4-,"[True, True, True, True]",EPI,1,0.045,0.009,0,0,,,,,,,,,,1,0.018,0,0,0,,,,,,,,,,0,2.703,0,0,0,,,,,,,,,,0,0.027,0.009,0,0,,,,,,,,,
OxicWtGlc,0,thr-L,C4H8NO3-,"[True, True, True, True]",EPI,1,0.049,0.007,0,0,,,,,,,,,,1,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0.049,0.007,0,0,,,,,,,,,
OxicWtGlc,0,thr-L,C4H5O3-,"[True, True, True, True]",EPI,1,0.045,0.007,0,0,,,,,,,,,,1,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,thr-L,C2H4NO2-,"[True, True, False, False]",EPI,1,0.027,0.004,,,,,,,,,,,,1,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,ump,C9H12N2O9P-,"[True, True, True, True, True, True, True, True, True]",EPI,1,0.11,0.024,0.002,0,0,0,0,0,0,,,,,1,0.136,0.048,0,0,0,0,0,0,0,,,,,0,7.565,3.811,0,0,0,0,0,0,0,,,,,0,-0.026,-0.024,0.002,0,0,0,0,0,0,,,,
OxicWtGlc,0,ump,C9H9N2O6-,"[True, True, True, True, True, True, True, True, True]",EPI,1,0.108,0.018,0.001,0,0,0,0,0,,,,,,1,0.124,0.048,0,0,0,0,0,0,0,,,,,0,6.898,3.811,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,ump,C4H3N2O2-,"[False, False, False, False, False, True, True, True, True]",EPI,1,0.052,0.005,0,0,,,,,,,,,,1,0.112,0,0,0.089,,,,,,,,,,0,0.631,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,23dpg,C3H7O10P2-,"[True, True, True]",MRM,1,0.037,0.021,0.001,,,,,,,,,,,1,0.027,0,0,,,,,,,,,,,0,34.458,0,0,,,,,,,,,,,0,0.01,0.021,0.001,,,,,,,,,,
OxicWtGlc,0,6pgc,C6H12O10P-,"[True, True, True, True, True, True]",MRM,1,0.07,0.023,0.001,0,0,0,,,,,,,,1,0.072,0,0,0,0,0,,,,,,,,0,15.868,0,0,0,0,0,,,,,,,,0,-0.002,0.023,0.001,0,0,0,,,,,,,
OxicWtGlc,0,accoa,C23H37N7O17P3S-,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",MRM,1,0.293,0.122,0.027,0.006,0.001,0,0,0,0,0,0,0,0,1,0.403,0.152,0.032,0.007,0.001,0,0,0,0,0,0,0,0,0,2.911,3.175,5.703,6.579,17.228,0,0,0,0,0,0,0,0,0,-0.11,-0.031,-0.005,-0.001,0,0,0,0,0,0,0,0,0
OxicWtGlc,0,acon-C,C6H5O6-,"[True, True, True, True, True, True]",MRM,1,0.068,0.014,0.001,0,0,0,,,,,,,,1,0.067,0.016,0.001,0,0,0,,,,,,,,0,4.524,26.484,40.35,25.449,0,0,,,,,,,,0,0.001,-0.002,0,0,0,0,,,,,,,
OxicWtGlc,0,acon-C,C5H5O4-,"[True, True, True, True, True, False]",MRM,1,0.056,0.01,0,0,0,,,,,,,,,1,0.055,0.015,0.001,0,0,,,,,,,,,0,4.618,25.921,35.369,0,0,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,akg,C5H5O5-,"[True, True, True, True, True]",MRM,1,0.057,0.012,0.001,0,0,,,,,,,,,1,0.055,0,0,0,0,,,,,,,,,0,11.045,0,0,0,0,,,,,,,,,0,0.002,0.012,0.001,0,0,,,,,,,,
OxicWtGlc,0,akg,C4H5O3-,"[False, True, True, True, True]",MRM,1,0.045,0.007,0,0,,,,,,,,,,1,0.044,0,0,0,,,,,,,,,,0,13.332,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,amp,C10H13N5O7P-,"[True, True, True, True, True, True, True, True, True, True]",MRM,1,0.131,0.022,0.002,0,0,0,0,0,0,,,,,1,0.144,0.013,0.001,0,0,0,0,0,0,0,,,,0,4.886,16.768,16.039,0,0,0,0,0,0,0,,,,0,-0.013,0.009,0.001,0,0,0,0,0,0,,,,
OxicWtGlc,0,asp-L,C4H6NO4-,"[True, True, True, True]",MRM,1,0.049,0.009,0,0,,,,,,,,,,1,0.048,0.005,0,0,,,,,,,,,,0,12.387,31.615,0,0,,,,,,,,,,0,0.002,0.004,0,0,,,,,,,,,
OxicWtGlc,0,asp-L,C3H6NO2-,"[True, True, True, False]",MRM,1,0.038,0.005,0,,,,,,,,,,,1,0.035,0.005,0,,,,,,,,,,,0,15.781,31.468,0,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,atp,C10H15N5O13P3-,"[True, True, True, True, True, True, True, True, True, True]",MRM,1,0.133,0.035,0.004,0.001,0,0,0,0,0,,,,,1,0.147,0.025,0.003,0.001,0,0,0,0,0,0,,,,0,11.383,20.336,8.512,20.034,37.622,0,0,0,0,0,,,,0,-0.013,0.01,0.001,0,0,0,0,0,0,,,,
OxicWtGlc,0,dhap,C3H6O6P-,"[True, True, True]",MRM,1,0.035,0.013,0,,,,,,,,,,,1,0.043,0,0,,,,,,,,,,,0,16.997,0,0,,,,,,,,,,,0,-0.008,0.013,0,,,,,,,,,,
OxicWtGlc,0,fad,C27H32N9O15P2-,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",MRM,1,0.335,0.085,0.016,0.003,0,0,0,0,0,0,,,,1,0.644,0.183,0.034,0,0,0,0,0,0,0,0,0,0,0,13.277,22.865,41.147,0,0,0,0,0,0,0,0,0,0,0,-0.309,-0.098,-0.018,0.003,0,0,0,0,0,0,,,
OxicWtGlc,0,fdp,C6H13O12P2-,"[True, True, True, True, True, True]",MRM,1,0.071,0.027,0.002,0,0,0,,,,,,,,1,0.076,0.021,0.001,0,0,0,,,,,,,,0,12.314,17.132,18.351,0,0,0,,,,,,,,0,-0.005,0.006,0,0,0,0,,,,,,,
OxicWtGlc,0,g1p,C6H12O9P-,"[True, True, True, True, True, True]",MRM,1,0.07,0.021,0.001,0,0,0,,,,,,,,1,0.079,0,0,0,0,0,,,,,,,,0,11.416,0,0,0,0,0,,,,,,,,0,-0.009,0.021,0.001,0,0,0,,,,,,,
OxicWtGlc,0,g6p,C6H12O9P-,"[True, True, True, True, True, True]",MRM,1,0.07,0.021,0.001,0,0,0,,,,,,,,1,0.073,0,0,0,0,0,,,,,,,,0,3.853,0,0,0,0,0,,,,,,,,0,-0.003,0.021,0.001,0,0,0,,,,,,,
OxicWtGlc,0,glu-L,C5H8NO4-,"[True, True, True, True, True]",MRM,1,0.06,0.01,0.001,0,0,,,,,,,,,1,0.068,0.009,0,0,0,,,,,,,,,0,3.05,4.735,0,0,0,,,,,,,,,0,-0.007,0.001,0.001,0,0,,,,,,,,
OxicWtGlc,0,glu-L,C5H6NO3-,"[True, True, True, True, True]",MRM,1,0.06,0.008,0,0,0,,,,,,,,,1,0.068,0.009,0,0,0,,,,,,,,,0,3.05,4.735,0,0,0,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,glx,CHO2-,"[True, False]",MRM,1,0.012,,,,,,,,,,,,,1,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,glyc3p,C3H8O6P-,"[True, True, True]",MRM,1,0.036,0.013,0,,,,,,,,,,,1,0.046,0.016,0,,,,,,,,,,,0,9.312,41.043,0,,,,,,,,,,,0,-0.01,-0.003,0,,,,,,,,,,
OxicWtGlc,0,glyclt,C2H3O3-,"[True, True]",MRM,1,0.023,0.006,,,,,,,,,,,,1,0.027,0,,,,,,,,,,,,0,34.997,0,,,,,,,,,,,,0,-0.004,0.006,,,,,,,,,,,
OxicWtGlc,0,glyclt,CH3O2-,"[True, False]",MRM,1,0.012,,,,,,,,,,,,,1,0.016,,,,,,,,,,,,,0,30.06,,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,gtp,C10H15N5O14P3-,"[True, True, True, True, True, True, True, True, True, True]",MRM,1,0.134,0.037,0.004,0.001,0,0,0,0,0,,,,,1,0.162,0,0,0,0,0,0,0,0,0,,,,0,3.719,0,0,0,0,0,0,0,0,0,,,,0,-0.028,0.037,0.004,0.001,0,0,0,0,0,,,,
OxicWtGlc,0,icit,C6H7O7-,"[True, True, True, True, True, True]",MRM,1,0.068,0.016,0.001,0,0,0,,,,,,,,1,0.081,0.009,0.001,0,0,0,,,,,,,,0,15.404,30.701,41.29,48.337,0,0,,,,,,,,0,-0.013,0.008,0.001,0,0,0,,,,,,,
OxicWtGlc,0,icit,C5H3O3-,"[True, True, True, True, True, False]",MRM,1,0.056,0.007,0,0,0,,,,,,,,,1,0.065,0.008,0,0,0,,,,,,,,,0,15.043,29.104,36.984,0,0,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,mal-L,C4H5O5-,"[True, True, True, True]",MRM,1,0.046,0.011,0,0,,,,,,,,,,1,0.048,0.01,0,0,,,,,,,,,,0,8.537,14.857,13.452,0,,,,,,,,,,0,-0.003,0.001,0,0,,,,,,,,,
OxicWtGlc,0,mal-L,C4H3O4-,"[True, True, True, True]",MRM,1,0.045,0.009,0,0,,,,,,,,,,1,0.048,0.01,0,0,,,,,,,,,,0,8.537,14.857,13.452,0,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,met-L,C5H10NO2S-,"[True, True, True, True, True]",MRM,1,0.068,0.051,0.003,0,0,,,,,,,,,1,0.06,0.011,0,0,0,,,,,,,,,0,28.498,64.416,0,0,0,,,,,,,,,0,0.008,0.04,0.003,0,0,,,,,,,,
OxicWtGlc,0,met-L,CH3S-,"[False, False, False, False, True]",MRM,1,0.019,,,,,,,,,,,,,1,0.031,,,,,,,,,,,,,0,29.262,,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,pep,C3H4O6P-,"[True, True, True]",MRM,1,0.035,0.013,0,,,,,,,,,,,1,0.036,0.008,0,,,,,,,,,,,0,12.639,41.152,0,,,,,,,,,,,0,-0.001,0.005,0,,,,,,,,,,
OxicWtGlc,0,Pool_2pg_3pg,C3H6O7P-,"[True, True, True]",MRM,1,0.036,0.015,0.001,,,,,,,,,,,1,0.033,0.005,0,,,,,,,,,,,0,12.764,16.186,0,,,,,,,,,,,0,0.003,0.01,0.001,,,,,,,,,,
OxicWtGlc,0,prpp,C5H12O14P3-,"[True, True, True, True, True]",MRM,1,0.061,0.03,0.002,0,0,,,,,,,,,1,0.069,0.019,0,0,0,,,,,,,,,0,10.149,14.076,0,0,0,,,,,,,,,0,-0.008,0.011,0.002,0,0,,,,,,,,
OxicWtGlc,0,pyr,C3H3O3-,"[True, True, True]",MRM,1,0.034,0.007,0,,,,,,,,,,,1,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0.034,0.007,0,,,,,,,,,,
OxicWtGlc,0,ru5p-D,C5H10O8P-,"[True, True, True, True, True]",MRM,1,0.058,0.018,0.001,0,0,,,,,,,,,1,0.058,0,0,0,0,,,,,,,,,0,3.186,0,0,0,0,,,,,,,,,0,0,0.018,0.001,0,0,,,,,,,,
OxicWtGlc,0,s7p,C7H14O10P-,"[True, True, True, True, True, True, True]",MRM,1,0.081,0.023,0.002,0,0,0,0,,,,,,,1,0.1,0.041,0,0,0,0,0,,,,,,,0,19.77,20.48,0,0,0,0,0,,,,,,,0,-0.019,-0.017,0.002,0,0,0,0,,,,,,
OxicWtGlc,0,ser-L,C2H4NO2-,"[True, True, False]",MRM,1,0.027,0.004,,,,,,,,,,,,1,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,skm,C7H9O5-,"[True, True, True, True, True, True, True]",MRM,1,0.079,0.013,0.001,0,0,0,0,,,,,,,1,0.075,0,0,0,0,0,0,,,,,,,0,41.855,0,0,0,0,0,0,,,,,,,0,0.003,0.013,0.001,0,0,0,0,,,,,,
OxicWtGlc,0,skm,C6H5O-,"[False, True, True, True, True, True, True]",MRM,1,0.066,0.004,0,0,0,0,,,,,,,,1,0.037,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,succ,C4H5O4-,"[True, True, True, True]",MRM,1,0.045,0.009,0,0,,,,,,,,,,1,0.053,0,0,0,,,,,,,,,,0,11.877,0,0,0,,,,,,,,,,0,-0.008,0.009,0,0,,,,,,,,,
OxicWtGlc,0,succ,C4H3O3-,"[True, True, True, True]",MRM,1,0.045,0.007,0,0,,,,,,,,,,1,0.053,0,0,0,,,,,,,,,,0,11.877,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,thr-L,C4H8NO3-,"[True, True, True, True]",MRM,1,0.049,0.007,0,0,,,,,,,,,,1,0.018,0,0,0,,,,,,,,,,0,3.763,0,0,0,,,,,,,,,,0,0.031,0.007,0,0,,,,,,,,,
OxicWtGlc,0,thr-L,C2H4NO2-,"[True, True, False, False]",MRM,1,0.027,0.004,,,,,,,,,,,,1,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,ump,C9H12N2O9P-,"[True, True, True, True, True, True, True, True, True]",MRM,1,0.11,0.024,0.002,0,0,0,0,0,0,,,,,1,0.132,0.044,0,0,0,0,0,0,0,,,,,0,10.041,12.099,0,0,0,0,0,0,0,,,,,0,-0.022,-0.02,0.002,0,0,0,0,0,0,,,,
ERQC,0,acon-C,C6H5O6-,"[True, True, True, True, True, True]",EPI,1,0.068,0.014,0.001,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,1,0.068,0.014,0.001,0,0,0,,,,,,,
ERQC,0,acon-C,C6HO4-,"[True, True, True, True, True, True]",EPI,1,0.067,0.01,0.001,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
ERQC,0,acon-C,C6H3O5-,"[True, True, True, True, True, True]",EPI,1,0.067,0.012,0.001,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
ERQC,0,akg,C5H5O5-,"[True, True, True, True, True]",EPI,1,0.057,0.012,0.001,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,1,0.057,0.012,0.001,0,0,,,,,,,,
ERQC,0,akg,C4H5O3-,"[False, True, True, True, True]",EPI,1,0.045,0.007,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,akg,C3H3O3-,"[True, True, True, False, False]",EPI,1,0.034,0.007,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,akg,C2HO3-,"[True, True, False, False, False]",EPI,1,0.023,0.006,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,amp,C10H13N5O7P-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.131,0.022,0.002,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,1,0.131,0.022,0.002,0,0,0,0,0,0,,,,
ERQC,0,amp,C5H8O7P-,"[True, True, True, True, True, False, False, False, False, False]",EPI,1,0.058,0.016,0.001,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,amp,C5H4N5-,"[False, False, False, False, False, True, True, True, True, True]",EPI,1,0.073,0.002,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,atp,C10H15N5O13P3-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.133,0.035,0.004,0.001,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,1,0.133,0.035,0.004,0.001,0,0,0,0,0,,,,
ERQC,0,atp,C5H4N5-,"[False, False, False, False, False, True, True, True, True, True]",EPI,1,0.073,0.002,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,atp,C10H14N5O10P2-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.132,0.029,0.003,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
ERQC,0,atp,C10H12N5O9P2-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.131,0.027,0.003,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
ERQC,0,atp,C10H11N5O6P-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.13,0.02,0.002,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
ERQC,0,fdp,C6H13O12P2-,"[True, True, True, True, True, True]",EPI,1,0.071,0.027,0.002,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,1,0.071,0.027,0.002,0,0,0,,,,,,,
ERQC,0,fdp,C6H9O6-,"[True, True, True, True, True, True]",EPI,1,0.068,0.014,0.001,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
ERQC,0,fdp,C6H8O7P-,"[True, True, True, True, True, True]",EPI,1,0.068,0.016,0.001,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
ERQC,0,fdp,C6H10O8P-,"[True, True, True, True, True, True]",EPI,1,0.069,0.018,0.001,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
ERQC,0,fdp,C4H8O6P-,"[False, False, True, True, True, True]",EPI,1,0.046,0.013,0.001,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,fdp,C4H7O4-,"[False, True, True, True, True, False]",EPI,1,0.046,0.009,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,g6p,C6H12O9P-,"[True, True, True, True, True, True]",EPI,1,0.07,0.021,0.001,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,1,0.07,0.021,0.001,0,0,0,,,,,,,
ERQC,0,g6p,C4H8O7P-,"[False, False, True, True, True, True]",EPI,1,0.047,0.015,0.001,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,g6p,C3H6O6P-,"[False, False, False, True, True, True]",EPI,1,0.035,0.013,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,g6p,C2H4O5P-,"[False, False, False, False, True, True]",EPI,1,0.024,0.01,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,glu-L,C5H8NO4-,"[True, True, True, True, True]",EPI,1,0.06,0.01,0.001,0,0,,,,,,,,,1,0.025,0,0,0,0,,,,,,,,,0,81.809,0,0,0,0,,,,,,,,,0,0.035,0.01,0.001,0,0,,,,,,,,
ERQC,0,glu-L,C5H6NO3-,"[True, True, True, True, True]",EPI,1,0.06,0.008,0,0,0,,,,,,,,,1,0.036,0,0,0,0,,,,,,,,,0,0.073,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,glu-L,C4H8NO2-,"[True, True, True, True, False]",EPI,1,0.049,0.005,0,0,,,,,,,,,,1,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,glu-L,C3H6NO2-,"[True, True, True, False, False]",EPI,1,0.038,0.005,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,glx,C2HO3-,"[True, True]",EPI,1,0.023,0.006,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,1,0.023,0.006,,,,,,,,,,,
ERQC,0,glx,CHO2-,"[True, False]",EPI,1,0.012,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,glyc3p,C3H8O6P-,"[True, True, True]",EPI,1,0.036,0.013,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.036,0.013,0,,,,,,,,,,
ERQC,0,glyc3p,C3H4O2P,"[True, True, True]",EPI,1,0.034,0.005,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,gtp,C10H15N5O14P3-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.134,0.037,0.004,0.001,0,0,0,0,0,,,,,1,0.029,0,0,0,0,0,0,0,0,0,,,,0,58.44,0,0,0,0,0,0,0,0,0,,,,0,0.105,0.037,0.004,0.001,0,0,0,0,0,,,,
ERQC,0,gtp,C5H4N5O-,"[False, False, False, False, False, True, True, True, True, True]",EPI,1,0.073,0.004,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,gtp,C10H14N5O11P2-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.132,0.031,0.003,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
ERQC,0,gtp,C10H12N5O10P2-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.132,0.029,0.003,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
ERQC,0,gtp,C10H11N5O7P-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.131,0.022,0.002,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
ERQC,0,icit,C6H7O7-,"[True, True, True, True, True, True]",EPI,1,0.068,0.016,0.001,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,1,0.068,0.016,0.001,0,0,0,,,,,,,
ERQC,0,icit,C6H5O6-,"[True, True, True, True, True, True]",EPI,1,0.068,0.014,0.001,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
ERQC,0,icit,C5H3O3-,"[True, True, True, True, True, False]",EPI,1,0.056,0.007,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,icit,C3H5O2-,"[False, False, True, True, True, False]",EPI,1,0.034,0.005,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,mal-L,C4H5O5-,"[True, True, True, True]",EPI,1,0.046,0.011,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,1,0.046,0.011,0,0,,,,,,,,,
ERQC,0,mal-L,C4H3O4-,"[True, True, True, True]",EPI,1,0.045,0.009,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,mal-L,C3H303-,"[False, True, True, True]",EPI,1,0.067,0.002,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,mal-L,C2H3O3-,"[True, True, False, False]",EPI,1,0.023,0.006,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,Pool_2pg_3pg,C3H6O7P-,"[True, True, True]",EPI,1,0.036,0.015,0.001,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.036,0.015,0.001,,,,,,,,,,
ERQC,0,Pool_2pg_3pg,C2H6O5P-,"[False, True, True]",EPI,1,0.024,0.01,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,pyr,C3H3O3-,"[True, True, True]",EPI,1,0.034,0.007,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.034,0.007,0,,,,,,,,,,
ERQC,0,pyr,C2H3O,"[False, True, True]",EPI,1,0.022,0.002,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ERQC,0,s7p,C7H14O10P-,"[True, True, True, True, True, True, True]",EPI,1,0.081,0.023,0.002,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,0.081,0.023,0.002,0,0,0,0,,,,,,
ERQC,0,s7p,C7H9O5-,"[True, True, True, True, True, True, True]",EPI,1,0.079,0.013,0.001,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
ERQC,0,s7p,C7H11O6-,"[True, True, True, True, True, True, True]",EPI,1,0.079,0.015,0.001,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
ERQC,0,s7p,C5H9O4-,"[False, False, True, True, True, True, True]",EPI,1,0.057,0.01,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
