mapping_id,rxn_id,rxn_description,used_,reactants_elements_tracked,products_elements_tracked,comments_,reactants_trackedids,reactants_mapping,products_trackedids,products_mapping
central02,ALATA_L_reverse,,TRUE,C,C,individual,1*glu_DASH_L_c+1*pyr_c,abcde+fgh,1*akg_c+1*ala_DASH_L_c,abcde+fgh
central02,ALDD2x,,TRUE,C,C,individual,1*acald_c,ab,1*ac_c,ab
central02,ARGSL,,TRUE,C,C,individual,1*argsuc_c,abcdefghij,1*arg_DASH_L_c+0.5*fum_c+0.5*fum_c,abcdef+jghi+ihgj
central02,ARGSL_reverse,,TRUE,C,C,individual,1*arg_DASH_L_c+0.5*fum_c+0.5*fum_c,abcdef+jghi+ihgj,1*argsuc_c,abcdefghij
central02,ARGSS,,TRUE,C,C,individual,1*asp_DASH_L_c+1*citr_DASH_L_c,abcd+efghij,1*argsuc_c,efghijbcda
central02,ASAD,,TRUE,C,C,individual,1*aspsa_c,abcd,1*4pasp_c,abcd
central02,ASAD_reverse,,TRUE,C,C,individual,1*4pasp_c,abcd,1*aspsa_c,abcd
central02,ASNN,,TRUE,C,C,individual,1*asn_DASH_L_c,abcd,1*asp_DASH_L_c,abcd
central02,ASNS1,,TRUE,C,C,individual,1*asp_DASH_L_c+1*gln_DASH_L_c,abcd+efghi,1*asn_DASH_L_c+1*glu_DASH_L_c,abcd+efghi
central02,ASNS2,,TRUE,C,C,individual,1*asp_DASH_L_c,abcd,1*asn_DASH_L_c,abcd
central02,ASPK,,TRUE,C,C,individual,1*asp_DASH_L_c,abcd,1*4pasp_c,abcd
central02,ASPK_reverse,,TRUE,C,C,individual,1*4pasp_c,abcd,1*asp_DASH_L_c,abcd
central02,ASPTA,,TRUE,C,C,individual,1*akg_c+1*asp_DASH_L_c,abcde+fghi,1*glu_DASH_L_c+1*oaa_c,abcde+fghi
central02,ASPTA_reverse,,TRUE,C,C,individual,1*glu_DASH_L_c+1*oaa_c,abcde+fghi,1*akg_c+1*asp_DASH_L_c,abcde+fghi
central02,ATPS4rpp,,TRUE,C,C,modified,1*adp_c,abcdefghij,1*atp_c,abcdefghij
central02,ATPS4rpp_Full,,FALSE,C,C,modified,1*adp_c,abcdefghij,1*atp_c,abcdefghij
central02,CBPS,,TRUE,C,C,individual,1*gln_DASH_L_c+1*hco3_c,abcde+f,1*cbp_c+1*glu_DASH_L_c,f+abcde
central02,CHORM,,TRUE,C,C,individual,1*chor_c,abcdefghij,1*pphn_c,ihjbcdefga
central02,CHORS,,TRUE,C,C,individual,1*3psme_c,abcdefghij,1*chor_c,abgfedchij
central02,CO2tex,,TRUE,C,C,individual,1*co2_e,a,1*co2_p,a
central02,CO2tpp,,TRUE,C,C,individual,1*co2_p,a,1*co2_c,a
