rxn_id_old,rxn_id,rxn_description,include,notes,ctrack,mapping
COMBO25,e4p_and_pep_to_3dhq,"[DDPA,DHQS]",TRUE,combo,1 xe4p_c 1 xpep_c > 1 x3dhq_c,#abcd #efg > #efdcbag
COMBO26,aspsa_to_sl2a6o,"[DHDPS,DHDPRy,THDPS]",TRUE,combo,1 xaspsa_c 1 xpyr_c 1 xsuccoa_c > 1 xsl2a6o_c,#abcd #efg #hijk > #abcdgfehijk
COMBO34,glu_DASH_L_to_glu5sa,"[GLU5K,G5SD]",TRUE,combo,1 xglu_DASH_L_c > 1 xglu5sa_c,#abcde > #abcde
COMBO36,g1p_to_glycogen,"[GLGC,GLCS1]",TRUE,combo,1 xg1p_c > 1 xglycogen_c,#abcdef > #abcdef
COMBO37,thre_DASH_L_to_gly,"[THRD,GLYAT]",TRUE,combo,1 xthr_DASH_L_c > 1 xaccoa_c 1 xgly_c,#abcd > #cd #ab
COMBO38,dhap_to_lac_DASH_D,"[MGSA,LGTHL,GLYOX]",TRUE,combo,1 xdhap_c > 1 xlac_DASH_D_c,#abc > #cba
COMBO41,hom_DASH_L_to_thr_DASH_L,"[HSK,THRS]",TRUE,combo,1 xhom_DASH_L_c > 1 xthr_DASH_L_c,#abcd > #abcd
COMBO47,3pg_to_ser_DASH_L,"[PGCD,PSERT,PSP_L]",TRUE,combo,1 x3pg_c 1 xglu_DASH_L_c > 1 xakg_c 1 xser_DASH_L_c,#abc #defgh > #defgh #abc
HISSYN,prpp_to_his_DASH_L,"[ATPPRT,PRATPP,PRAMPC,PRMICI,IG3PS,IGPDH,HSTPT,HISTP,HISTD]",TRUE,combo,1 xatp_c 1 xgln_DASH_L_c 1 xprpp_c > 1 xaicar_c 1 xakg_c 1 xhis_DASH_L_c ,#123456789a #bcdef #ghijk > #12345789a #bcdef #kjihg6
UMPSYN1,UMPSYN_aerobic,"[ASPCT,DHORTS,DHORD2,ORPT,OMPDC]",TRUE,combo,1 xcbp_c 1 xprpp_c 1 xasp_DASH_L_c > 1 xump_c 1 xco2_c   ,#a #bcdef #ghij > #bcdefahij #g
UMPSYN1,ASPCT,,TRUE,added UMPSYN_aerobic,1 xcbp_c 1 xasp_DASH_L_c > 1 xcbasp_c,#a #bcde > #cdeab
UMPSYN1,DHORTS,,TRUE,added UMPSYN_aerobic,1 xcbasp_c > 1 xdhorS_c,#abcde > #abcde
UMPSYN1,DHORD2,,TRUE,added UMPSYN_aerobic,1 xdhorS_c > 1 xorot,#abcde > #abcde
