rxn_id_old,rxn_id,rxn_description,include,notes,ctrack,mapping
ASPTA,ASPTA,,TRUE,individual,1 xakg_c 1 xasp_DASH_L_c > 1 xglu_DASH_L_c 1 xoaa_c,#abcde #fghi > #abcde #fghi
CBPS,CBPS,,TRUE,individual,1 xgln_DASH_L_c 1 xhco3_c > 1 xcbp_c 1 xglu_DASH_L_c,#abcde #f > #f #abcde
CHORM,CHORM,,TRUE,individual,1 xchor_c > 1 xpphn_c,#abcdefghij > #ihjbcdefga
CHORS,CHORS,,TRUE,individual,1 x3psme_c > 1 xchor_c,#abcdefghij > #abgfedchij
CO2t,CO2tex,,TRUE,individual,1 xco2_e > 1 xco2_p,#a > #a
CO2t_reverse,CO2tex_reverse,,TRUE,individual,1 xco2_p > 1 xco2_e,#a > #a
CO2t,CO2tpp,,TRUE,individual,1 xco2_p > 1 xco2_c,#a > #a
CO2t_reverse,CO2tpp_reverse,,TRUE,individual,1 xco2_c > 1 xco2_p,#a > #a
CS,CS,,TRUE,individual,1 xaccoa_c 1 xoaa_c > 1 xcit_c,#ab #cdef > #fedbac
CYSDS,CYSDS,,TRUE,individual,1 xcys_DASH_L_c > 1 xpyr_c,#abc > #abc
CYSS,CYSS,,TRUE,individual,1 xacser_c > 1 xac_c 1 xcys_DASH_L_c,#abcde > #de #abc
DLACt2,D_DASH_LACt2pp,,TRUE,individual,1 xlac_DASH_D_p > 1 xlac_DASH_D_c,#abc > #abc
DLACt2,D_DASH_LACtex,,TRUE,individual,1 xlac_DASH_D_e > 1 xlac_DASH_D_p,#abc > #abc
DAPDC,DAPDC,,TRUE,individual,1 x26dap_DASH_M_c > 1 xco2_c 1 xlys_DASH_L_c,"#abcdefg > #g #abcdef,#gfedcba > #g #abcdef"
DAPE,DAPE,,TRUE,individual,1 x26dap_DASH_LL_c > 1 x26dap_DASH_M_c,"#abcdefg > #abcdefg,#gfedcba > #abcdefg,#abcdefg > #gfedcba,#gfedcba > #gfedcba"
DHAD1,DHAD1,,TRUE,individual,1 x23dhmb_c > 1 x3mob_c,#abcde > #abcde
DHAPT,DHAPT,,TRUE,individual,1 xdha_c 1 xpep_c > 1 xdhap_c 1 xpyr_c,"#abc #def > #abc #def,#cba #def > #abc #def"
DHQD,DHQTi,,TRUE,individual,1 x3dhq_c > 1 x3dhsk_c,#abcdefg > #abcdefg
EDA,EDA,,TRUE,individual,1 x2ddg6p_c > 1 xg3p_c 1 xpyr_c,#abcdef > #def #abc
EDD,EDD,,TRUE,individual,1 x6pgc_c > 1 x2ddg6p_c,#abcdef > #abcdef
ENO,ENO,,TRUE,individual,1 x2pg_c > 1 xpep_c,#abc > #abc
ETOHt2r,ETOHtex,,TRUE,individual,1 xetoh_e > 1 xetoh_p,#ab > #ab
ETOHt2r,ETOHtrpp,,TRUE,individual,1 xetoh_p > 1 xetoh_c,#ab > #ab
F6PA,F6PA,,TRUE,individual,1 xf6p_c > 1 xdha_c 1 xg3p_c,"#abcdef > #abc #def,#abcdef > #cba #def"
FBA,FBA,,TRUE,individual,1 xfdp_c > 1 xdhap_c 1 xg3p_c,#abcdef > #abc #def
FBP,FBP,,TRUE,individual,1 xfdp_c > 1 xf6p_c,#abcdef > #abcdef
FDH2,FDH2,,TRUE,individual,1 xfor_c > 1 xco2_c,#a > #a
FDH3,FDH3,,TRUE,individual,1 xfor_c > 1 xco2_c,#a > #a
,Htex,,TRUE,individual,    ,
FHL,FHL,,TRUE,individual,1 xfor_c > 1 xco2_c,#a > #a
FORt,FORt2pp,,TRUE,individual,1 xfor_p > 1 xfor_c,#a > #a
FORt,FORtex,,TRUE,individual,1 xfor_e > 1 xfor_p,#a > #a
FRD2,FRD2,,TRUE,individual,1 xfum_c > 1 xsucc_c,"#abcd > #dcba,#dcba > #dcba,#abcd > #abcd,#dcba > #abcd"
FRD3,FRD3,,TRUE,individual,1 xfum_c > 1 xsucc_c,"#abcd > #dcba,#dcba > #dcba,#abcd > #abcd,#dcba > #abcd"
FTHFD,FTHFD,,TRUE,individual,1 x10fthf_c > 1 xfor_c,#a > #a
rFUM,FUM,,TRUE,individual,1 xfum_c > 1 xmal_DASH_L_c,"#abcd > #abcd,#dcba > #abcd"
FUMt22,FUMt2_2pp,,TRUE,individual,1 xfum_p > 1 xfum_c,"#abcd > #abcd,#dcba > #abcd,#abcd > #dcba,#dcba > #dcba"
FUMt23,FUMt2_3pp,,TRUE,individual,1 xfum_p > 1 xfum_c,"#abcd > #abcd,#dcba > #abcd,#abcd > #dcba,#dcba > #dcba"
,FUMtex,,TRUE,individual,1 xfum_e > 1 xfum_p,#abcd > #abcd
G1PP,G1PPpp,,TRUE,individual,1 xg1p_c > 1 xglc_DASH_D_c,#abcdef > #abcdef
G3PD2,G3PD2,,TRUE,individual,1 xglyc3p_c > 1 xdhap_c,#abc > #abc
G3PD5,G3PD5,,TRUE,individual,1 xglyc3p_c > 1 xdhap_c,#abc > #abc
G3PD6,G3PD6,,TRUE,individual,1 xglyc3p_c > 1 xdhap_c,#abc > #abc
G3PD7,G3PD7,,TRUE,individual,1 xglyc3p_c > 1 xdhap_c,#abc > #abc
G5SADs,G5SADs,,TRUE,individual,1 xglu5sa_c > 1 x1pyr5c_c,#abcde > #abcde
G6PDH2r,G6PDH2r,,TRUE,individual,1 xg6p_c > 1 x6pgl_c,#abcdef > #abcdef
GAPD,GAPD,,TRUE,individual,1 xg3p_c > 1 x13dpg_c,#abc > #abc
GHMT2,GHMT2r,,TRUE,individual,1 xser_DASH_L_c > 1 xgly_c 1 xmlthf_c,#abc > #ab #c
GLCP,GLCP_Full,,TRUE,individual,1 xglycogen_c > 1 xg1p_c,#abcdef > #abcdef
GLCP,GLCP,,TRUE,individual,,
GLCpts,GLCptspp,,TRUE,individual,1 xglc_DASH_D_e 1 xpep_c > 1 xg6p_c 1 xpyr_c,#abcdef #ghi > #abcdef #ghi
GLNS,GLNS,,TRUE,individual,1 xglu_DASH_L_c > 1 xgln_DASH_L_c,#abcde > #abcde
GLUDC,GLUDC,,TRUE,individual,1 xglu_DASH_L_c > 1 x4abut_c 1 xco2_c,#abcde > #edcb #a
GLUDy,GLUDy,,TRUE,individual,1 xglu_DASH_L_c > 1 xakg_c,#abcde > #abcde
GLUN,GLUN,,TRUE,individual,1 xgln_DASH_L_c > 1 xglu_DASH_L_c,#abcde > #abcde
GLUSy,GLUSy,,TRUE,individual,1 xakg_c 1 xgln_DASH_L_c > 2 xglu_DASH_L_c,"#abcde #fghij > #fghij,#abcde #fghij > #abcde"
GLXCL,GLXCL,,TRUE,individual,1 xglx_c 1 xglx_c > 1 x2h3oppan_c 1 xco2_c,#ab #cd > #abd #c
GLYCDx,GLYCDx,,TRUE,individual,1 xglyc_c > 1 xdha_c,"#abc > #abc,#abc > #cba,#cba > #abc,#cba > #cba"
GLYCK,GLYCK,,TRUE,individual,1 xglyc_DASH_R_c > 1 x3pg_c,#abc > #abc
GLYCL,GLYCL,,TRUE,individual,1 xgly_c > 1 xco2_c 1 xmlthf_c,#ab > #a #b
GLYCLTDx,GLYCLTDx,,TRUE,individual,1 xglx_c > 1 xglyclt_c,#ab > #ab
GLYCLTDy,GLYCLTDy,,TRUE,individual,1 xglx_c > 1 xglyclt_c,#ab > #ab
GLYCTO2,GLYCTO2,,TRUE,individual,1 xglyclt_c > 1 xglx_c,#ab > #ab
GLYCTO3,GLYCTO3,,TRUE,individual,1 xglyclt_c > 1 xglx_c,#ab > #ab
GLYCTO4,GLYCTO4,,TRUE,individual,1 xglyclt_c > 1 xglx_c,#ab > #ab
GLYCt,GLYCtex,,TRUE,individual,1 xglyc_e > 1 xglyc_p,"#abc > #abc,#abc > #cba,#cba > #abc,#cba > #cba"
GLYCt,GLYCtpp,,TRUE,individual,1 xglyc_p > 1 xglyc_c,"#abc > #abc,#abc > #cba,#cba > #abc,#cba > #cba"
GLYK,GLYK,,TRUE,individual,1 xglyc_c > 1 xglyc3p_c,"#abc > #abc,#cba > #abc"
GND,GND,,TRUE,individual,1 x6pgc_c > 1 xco2_c 1 xru5p_DASH_D_c,#abcdef > #a #bcdef
HCO3E,HCO3E,,TRUE,individual,1 xco2_c > 1 xhco3_c,#a > #a
HEX1,HEX1,,TRUE,individual,1 xglc_DASH_D_c > 1 xg6p_c,#abcdef > #abcdef
HSDy,HSDy,,TRUE,individual,1 xhom_DASH_L_c > 1 xaspsa_c,#abcd > #abcd
ICDHyr,ICDHyr,,TRUE,individual,1 xicit_c > 1 xakg_c 1 xco2_c,#abcdef > #abcde #f
ICL,ICL,,TRUE,individual,1 xicit_c > 1 xglx_c 1 xsucc_c,"#abcdef > #ab #fcde,#abcdef > #ab #edcf"
ILETA,ILETA,,TRUE,individual,1 xakg_c 1 xile_DASH_L_c > 1 x3mop_c 1 xglu_DASH_L_c,#abcde #fghijk > #fghijk #abcde
IPMD,IPMD,,TRUE,individual,1 x3c2hmp_c > 1 x3c4mop_c,#abcdefg > #abcdefg
IPPMIa,IPPMIa,,TRUE,individual,1 x3c2hmp_c > 1 x2ippm_c,#abcdefg > #abcdefg
IPPMIb,IPPMIb,,TRUE,individual,1 x2ippm_c > 1 x3c3hmp_c,#abcdefg > #abcdefg
IPPS,IPPS,,TRUE,individual,1 x3mob_c 1 xaccoa_c > 1 x3c3hmp_c,#abcde #fg > #fgbcdae
LLACD2,L_DASH_LACD2,,TRUE,individual,1 xlac_DASH_L_c > 1 xpyr_c,#abc > #abc
LLACD3,L_DASH_LACD3,,TRUE,individual,1 xlac_DASH_L_c > 1 xpyr_c,#abc > #abc
LLACt2r,L_DASH_LACt2rpp,,TRUE,individual,1 xlac_DASH_L_p > 1 xlac_DASH_L_c,#abc > #abc
LLACt2r,L_DASH_LACtex,,TRUE,individual,1 xlac_DASH_L_e > 1 xlac_DASH_L_p,#abc > #abc
LDHD,LDH_D,,TRUE,individual,1 xlac_DASH_D_c > 1 xpyr_c,#abc > #abc
LDHD2,LDH_D2,,TRUE,individual,1 xlac_DASH_D_c > 1 xpyr_c,#abc > #abc
LEUTAi,LEUTAi,,TRUE,individual,1 x4mop_c 1 xglu_DASH_L_c > 1 xakg_c 1 xleu_DASH_L_c,#abcdef #ghijk > #ghijk #abcdef
MALS,MALS,,TRUE,individual,1 xaccoa_c 1 xglx_c > 1 xmal_DASH_L_c,#ab #cd > #cdba
MDH,MDH,,TRUE,individual,1 xmal_DASH_L_c > 1 xoaa_c,#abcd > #abcd
MDH2,MDH2,,TRUE,individual,1 xmal_DASH_L_c > 1 xoaa_c,#abcd > #abcd
MDH3,MDH3,,TRUE,individual,1 xmal_DASH_L_c > 1 xoaa_c,#abcd > #abcd
ME1,ME1,,TRUE,individual,1 xmal_DASH_L_c > 1 xco2_c 1 xpyr_c,#abcd > #d #abc
ME2,ME2,,TRUE,individual,1 xmal_DASH_L_c > 1 xco2_c 1 xpyr_c,#abcd > #d #abc
MTHFC,MTHFC,,TRUE,individual,1 xmethf_c > 1 x10fthf_c,#a > #a
MTHFD,MTHFD,,TRUE,individual,1 xmlthf_c > 1 xmethf_c,#a > #a
MTHFR2,MTHFR2,,TRUE,individual,1 xmlthf_c > 1 x5mthf_c,#a > #a
NACODA,NACODA,,TRUE,individual,1 xacg5sa_c > 1 xac_c 1 xglu5sa_c,#abcdefg > #fg #abcde
OCBT,OCBT,,TRUE,individual,1 xcbp_c 1 xorn_c > 1 xcitr_DASH_L_c,#a #bcdef > #bcdefa
OMCDC,OMCDC,,TRUE,individual,1 x3c4mop_c > 1 x4mop_c 1 xco2_c,#abcdefg > #abcdeg #f
ORNDC,ORNDC,,TRUE,individual,1 xorn_c > 1 xco2_c 1 xptrc_c,"#abcde > #a #bcde,#abcde > #a #edcb"
P5CD,P5CD,,TRUE,individual,1 x1pyr5c_c > 1 xglu_DASH_L_c,#abcde > #abcde
P5CR,P5CR,,TRUE,individual,1 x1pyr5c_c > 1 xpro_DASH_L_c,#abcde > #abcde
PDH,PDH,,TRUE,individual,1 xpyr_c > 1 xaccoa_c 1 xco2_c,#abc > #bc #a
PFK,PFK,,TRUE,individual,1 xf6p_c > 1 xfdp_c,#abcdef > #abcdef
PFL,PFL,,TRUE,individual,1 xpyr_c > 1 xaccoa_c 1 xfor_c,#abc > #bc #a
PGI,PGI,,TRUE,individual,1 xg6p_c > 1 xf6p_c,#abcdef > #abcdef
PGK,PGK,,TRUE,individual,1 x3pg_c > 1 x13dpg_c,#abc > #abc
PGL,PGL,,TRUE,individual,1 x6pgl_c > 1 x6pgc_c,#abcdef > #abcdef
PGM,PGM,,TRUE,individual,1 x2pg_c > 1 x3pg_c,#abc > #abc
PGMT,PGMT,,TRUE,individual,1 xg1p_c > 1 xg6p_c,#abcdef > #abcdef
PHETA1,PHETA1,,TRUE,individual,1 xakg_c 1 xphe_DASH_L_c > 1 xglu_DASH_L_c 1 xphpyr_c,"#abcde #fghijklmn > #abcde #fghijklmn,#abcde #fghinmlkj > #abcde #fghijklmn,#abcde #fghijklmn > #abcde #fghinmlkj,#abcde #fghinmlkj > #abcde #fghinmlkj"
POX,POX,,TRUE,individual,1 xpyr_c > 1 xac_c 1 xco2_c,#abc > #bc #a
PPC,PPC,,TRUE,individual,1 xco2_c 1 xpep_c > 1 xoaa_c,#a #bcd > #bcda
PPCK,PPCK,,TRUE,individual,1 xoaa_c > 1 xco2_c 1 xpep_c,#abcd > #d #abc
PPND,PPND,,TRUE,individual,1 xpphn_c > 1 x34hpp_c 1 xco2_c,"#abcdefghij > #abcdefghi #j,#abcdefghij > #abcdihgfe #j"
PPNDH,PPNDH,,TRUE,individual,1 xpphn_c > 1 xco2_c 1 xphpyr_c,"#abcdefghij > #j #abcdefghi,#abcdefghij > #j #abcdihgfe"
PPS,PPS,,TRUE,individual,1 xpyr_c > 1 xpep_c,#abc > #abc
PROD2,PROD2,,TRUE,individual,1 xpro_DASH_L_c > 1 x1pyr5c_c,#abcde > #abcde
PRPPS,PRPPS,,TRUE,individual,1 xr5p_c > 1 xprpp_c,#abcde > #abcde
PSCVT,PSCVT,,TRUE,individual,1 xpep_c 1 xskm5p_c > 1 x3psme_c,#abc #defghij > #defghijbac
PTAr,PTAr,,TRUE,individual,1 xaccoa_c > 1 xactp_c,#ab > #ab
PYK,PYK,,TRUE,individual,1 xpep_c > 1 xpyr_c,#abc > #abc
PYRt2r,PYRt2rpp,,TRUE,individual,1 xpyr_p > 1 xpyr_c,#abc > #abc
PYRt2r_reverse,PYRt2rpp_reverse,,TRUE,individual,1 xpyr_c > 1 xpyr_p,#abc > #abc
PYRt2r,PYRtex,,TRUE,individual,1 xpyr_p > 1 xpyr_e,#abc > #abc
PYRt2r_reverse,PYRtex_reverse,,TRUE,individual,1 xpyr_e > 1 xpyr_p,#abc > #abc
RPE,RPE,,TRUE,individual,1 xru5p_DASH_D_c > 1 xxu5p_DASH_D_c,#abcde > #abcde
RPI,RPI,,TRUE,individual,1 xr5p_c > 1 xru5p_DASH_D_c,#abcde > #abcde
SDPDS,SDPDS,,TRUE,individual,1 xsl26da_c > 1 x26dap_DASH_LL_c 1 xsucc_c,"#abcdefghijk > #abcdefg #hijk,#abcdefghijk > #gfedcba #hijk,#abcdefghijk > #abcdefg #kjih,#abcdefghijk > #gfedcba #kjih"
SDPTA,SDPTA,,TRUE,individual,1 xakg_c 1 xsl26da_c > 1 xglu_DASH_L_c 1 xsl2a6o_c,#abcde #fghijklmnop > #abcde #fghijklmnop
SERAT,SERAT,,TRUE,individual,1 xaccoa_c 1 xser_DASH_L_c > 1 xacser_c,#ab #cde > #cdeab
SERDL,SERD_L,,TRUE,individual,1 xser_DASH_L_c > 1 xpyr_c,#abc > #abc
SHK3Dr,SHK3Dr,,TRUE,individual,1 x3dhsk_c > 1 xskm_c,#abcdefg > #abcdefg
SHKK,SHKK,,TRUE,individual,1 xskm_c > 1 xskm5p_c,#abcdefg > #abcdefg
SSALx,SSALx,,TRUE,individual,1 xsucsal_c > 1 xsucc_c,"#abcd > #abcd,#abcd > #dcba"
SSALy,SSALy,,TRUE,individual,1 xsucsal_c > 1 xsucc_c,"#abcd > #abcd,#abcd > #dcba"
SUCCabc,SUCASPtpp,,TRUE,individual,1 xsucc_c 1 xasp_DASH_L_p > 1 xsucc_p 1 xasp_DASH_L_c,"#abcd #efgh > #abcd #efgh,#dcba #efgh > #abcd #efgh,#abcd #efgh > #dcba #efgh,#dcba #efgh > #dcba #efgh"
SUCCt22,SUCCt2_2pp,,TRUE,individual,1 xsucc_p > 1 xsucc_c,"#abcd > #abcd,#dcba > #abcd,#abcd > #dcba,#dcba > #dcba"
SUCCt23,SUCCt2_3pp,,TRUE,individual,1 xsucc_p > 1 xsucc_c,"#abcd > #abcd,#dcba > #abcd,#abcd > #dcba,#dcba > #dcba"
SUCCt2b,SUCCt3pp,,TRUE,individual,1 xsucc_c > 1 xsucc_p,"#abcd > #abcd,#abcd > #dcba,#dcba > #abcd,#dcba > #dcba"
,SUCDi,,TRUE,individual,1 xsucc_c > 1 xfum_c,"#abcd > #dcba,#abcd > #abcd,#dcba > #dcba,#dcba > #abcd"
SUCFUMt,SUCFUMtpp,,TRUE,individual,1 xfum_p 1 xsucc_c > 1 xfum_c 1 xsucc_p,"#abcd #efgh > #abcd #efgh,#dcba #efgh > #abcd #efgh,#abcd #efgh > #dcba #efgh,#dcba #efgh > #dcba #efgh"
SUCFUMt,SUCCtex,,TRUE,individual,1 xsucc_e > 1 xsucc_p,#abcd > #abcd
SUCOAS,SUCOAS,,TRUE,individual,1 xsucc_c > 1 xsuccoa_c,"#abcd > #abcd,#dcba > #abcd"
TALA,TALA,,TRUE,individual,1 xg3p_c 1 xs7p_c > 1 xe4p_c 1 xf6p_c,#abc #defghij > #ghij #defabc
TESTAKGDH,AKGDH,,TRUE,individual,1 xakg_c > 1 xco2_c 1 xsuccoa_c,#abcde > #a #bcde
THRAr,THRAi,,TRUE,individual,1 xthr_DASH_L_c > 1 xacald_c 1 xgly_c,#abcd > #cd #ab
THRDL,THRD_L,,TRUE,individual,1 xthr_DASH_L_c > 1 x2obut_c,#abcd > #abcd
TKT1,TKT1,,TRUE,individual,1 xr5p_c 1 xxu5p_DASH_D_c > 1 xg3p_c 1 xs7p_c,#abcde #fghij > #hij #fgabcde
TKT2,TKT2,,TRUE,individual,1 xe4p_c 1 xxu5p_DASH_D_c > 1 xf6p_c 1 xg3p_c,#abcd #efghi > #efabcd #ghi
TPI,TPI,,TRUE,individual,1 xdhap_c > 1 xg3p_c,#abc > #cba
TRPAS2,TRPAS2,,TRUE,individual,1 xtrp_DASH_L_c > 1 xindole_c 1 xpyr_c,#abcdefghijk > #kdefghij #abc
TRPS1,TRPS1,,TRUE,individual,1 x3ig3p_c 1 xser_DASH_L_c > 1 xg3p_c 1 xtrp_DASH_L_c,#abcdefghijk #lmn > #cba #lmndefghijk
TRPS2,TRPS2,,TRUE,individual,1 xindole_c 1 xser_DASH_L_c > 1 xtrp_DASH_L_c,#abcdefgh #ijk > #ijkbcdefgha
TRPS3,TRPS3,,TRUE,individual,1 x3ig3p_c > 1 xg3p_c 1 xindole_c,#abcdefghijk > #cba #kdefghij
TRSAR,TRSARr,,TRUE,individual,1 x2h3oppan_c > 1 xglyc_DASH_R_c,#abc > #abc
TYRTA,TYRTA,,TRUE,individual,1 xakg_c 1 xtyr_DASH_L_c > 1 x34hpp_c 1 xglu_DASH_L_c,"#abcde #fghijklmn > #fghijklmn #abcde,#abcde #fghijklmn > #fghinmlkj #abcde,#abcde #fghinmlkj > #fghijklmn #abcde,#abcde #fghinmlkj > #fghinmlkj #abcde"
VALTA,VALTA,,TRUE,individual,1 xakg_c 1 xval_DASH_L_c > 1 x3mob_c 1 xglu_DASH_L_c,#abcde #fghij > #fghij #abcde
G3PP,G3PT,,TRUE,individual,1 xglyc3p_c > 1 xglyc_c,"#def > #def,#fed > #def"
ACKr_r,ACKr_reverse,,TRUE,individual,1 xactp_c > 1 xac_c,#ab > #ab
rACONT_r,ACONTa_reverse,,TRUE,individual,1 xacon_DASH_C_c > 1 xcit_c,#abcdef > #abcdef
rACONT_r,ACONTb_reverse,,TRUE,individual,1 xicit_c > 1 xacon_DASH_C_c ,#abcdef > #abcdef
ACOTA_r,ACOTA_reverse,,TRUE,individual,1 xacg5sa_c 1 xglu_DASH_L_c > 1 xacorn_c 1 xakg_c,#abcdefg #hijkl > #abcdefg #hijkl
ACt2r_r,ACt2rpp_reverse,,TRUE,individual,1 xac_c > 1 xac_p,#ab > #ab
ACt2r_r,Actex_reverse,,TRUE,individual,1 xac_p > 1 xac_e,#ab > #ab
AGPR_r,AGPR_reverse,,TRUE,individual,1 xacg5p_c > 1 xacg5sa_c,#abcdefg > #abcdefg
ALAR_r,ALAR_reverse,,TRUE,individual,1 xala_DASH_D_c > 1 xala_DASH_L_c,#abc > #abc
ALATAL_r,ALATA_L_reverse,,TRUE,individual,1 xglu_DASH_L_c 1 xpyr_c > 1 xakg_c 1 xala_DASH_L_c,#abcde #fgh > #abcde #fgh
ARGSL_r,ARGSL_reverse,,TRUE,individual,1 xarg_DASH_L_c 1 xfum_c > 1 xargsuc_c,"#abcdef #jghi > #abcdefghij,#abcdef #ihgj > #abcdefghij"
ASAD_r,ASAD_reverse,,TRUE,individual,1 x4pasp_c > 1 xaspsa_c,#abcd > #abcd
ASPK_r,ASPK_reverse,,TRUE,individual,1 x4pasp_c > 1 xasp_DASH_L_c,#abcd > #abcd
ASPTA_r,ASPTA_reverse,,TRUE,individual,1 xglu_DASH_L_c 1 xoaa_c > 1 xakg_c 1 xasp_DASH_L_c,#abcde #fghi > #abcde #fghi
DLACt2_r,D_DASH_LACt2pp_reverse,,TRUE,individual,1 xlac_DASH_D_c > 1 xlac_DASH_D_p,#abc > #abc
DLACt2_r,D_DASH_LACtex_reverse,,TRUE,individual,1 xlac_DASH_D_p > 1 xlac_DASH_D_e,#abc > #abc
DAPE_r,DAPE_reverse,,TRUE,individual,1 x26dap_DASH_M_c > 1 x26dap_DASH_LL_c,"#abcdefg > #abcdefg,#abcdefg > #gfedcba,#gfedcba > #abcdefg,#gfedcba > #gfedcba"
DHQD_r,DHQTi_reverse,,TRUE,individual,1 x3dhsk_c > 1 x3dhq_c,#abcdefg > #abcdefg
ENO_r,ENO_reverse,,TRUE,individual,1 xpep_c > 1 x2pg_c,#abc > #abc
ETOHt2r_r,ETOHtex_reverse,,TRUE,individual,1 xetoh_p > 1 xetoh_e,#ab > #ab
ETOHt2r_r,ETOHtrpp_reverse,,TRUE,individual,1 xetoh_c > 1 xetoh_p,#ab > #ab
F6PA_r,F6PA_reverse,,TRUE,individual,1 xdha_c 1 xg3p_c > 1 xf6p_c,"#abc #def > #abcdef,#cba #def > #abcdef"
FBA_r,FBA_reverse,,TRUE,individual,1 xdhap_c 1 xg3p_c > 1 xfdp_c,#abc #def > #abcdef
FORt_r,FORt2pp_reverse,,TRUE,individual,1 xfor_c > 1 xfor_p,#a > #a
FORt_r,FORtex_reverse,,TRUE,individual,1 xfor_p > 1 xfor_e,#a > #a
rFUM_r,FUM_reverse,,TRUE,individual,1 xmal_DASH_L_c > 1 xfum_c,"#abcd > #abcd,#abcd > #dcba"
G3PD2_r,G3PD2_reverse,,TRUE,individual,1 xdhap_c > 1 xglyc3p_c,#abc > #abc
G6PDH2r_r,G6PDH2r_reverse,,TRUE,individual,1 x6pgl_c > 1 xg6p_c,#abcdef > #abcdef
GAPD_r,GAPD_reverse,,TRUE,individual,1 x13dpg_c > 1 xg3p_c,#abc > #abc
GLUDy_r,GLUDy_reverse,,TRUE,individual,1 xakg_c > 1 xglu_DASH_L_c,#abcde > #abcde
GLYCt_r,GLYCtex_reverse,,TRUE,individual,1 xglyc_p > 1 xglyc_e,"#abc > #abc,#cba > #abc,#abc > #cba,#cba > #cba"
GLYCt_r,GLYCtpp_reverse,,TRUE,individual,1 xglyc_c > 1 xglyc_p,"#abc > #abc,#cba > #abc,#abc > #cba,#cba > #cba"
HCO3E_r,HCO3E_reverse,,TRUE,individual,1 xhco3_c > 1 xco2_c,#a > #a
HSDy_r,HSDy_reverse,,TRUE,individual,1 xaspsa_c > 1 xhom_DASH_L_c,#abcd > #abcd
ICDHyr_r,ICDHyr_reverse,,TRUE,individual,1 xakg_c 1 xco2_c > 1 xicit_c,#abcde #f > #abcdef
ILETA_r,ILETA_reverse,,TRUE,individual,1 x3mop_c 1 xglu_DASH_L_c > 1 xakg_c 1 xile_DASH_L_c,#fghijk #abcde > #abcde #fghijk
IPPMIa_r,IPPMIa_reverse,,TRUE,individual,1 x2ippm_c > 1 x3c2hmp_c,#abcdefg > #abcdefg
IPPMIb_r,IPPMIb_reverse,,TRUE,individual,1 x3c3hmp_c > 1 x2ippm_c,#abcdefg > #abcdefg
LLACt2r_r,L_DASH_LACt2rpp_reverse,,TRUE,individual,1 xlac_DASH_L_c > 1 xlac_DASH_L_p,#abc > #abc
LLACt2r_r,L_DASH_LACtex_reverse,,TRUE,individual,1 xlac_DASH_L_p > 1 xlac_DASH_L_e,#abc > #abc
LDHD_r,LDH_D_reverse,,TRUE,individual,1 xpyr_c > 1 xlac_DASH_D_c,#abc > #abc
MDH_r,MDH_reverse,,TRUE,individual,1 xoaa_c > 1 xmal_DASH_L_c,#abcd > #abcd
MTHFC_r,MTHFC_reverse,,TRUE,individual,1 x10fthf_c > 1 xmethf_c,#a > #a
MTHFD_r,MTHFD_reverse,,TRUE,individual,1 xmethf_c > 1 xmlthf_c,#a > #a
OCBT_r,OCBT_reverse,,TRUE,individual,1 xcitr_DASH_L_c > 1 xcbp_c 1 xorn_c,#bcdefa > #a #bcdef
PGI_r,PGI_reverse,,TRUE,individual,1 xf6p_c > 1 xg6p_c,#abcdef > #abcdef
PGK_r,PGK_reverse,,TRUE,individual,1 x13dpg_c > 1 x3pg_c,#abc > #abc
PGM_r,PGM_reverse,,TRUE,individual,1 x3pg_c > 1 x2pg_c,#abc > #abc
PGMT_r,PGMT_reverse,,TRUE,individual,1 xg6p_c > 1 xg1p_c,#abcdef > #abcdef
PHETA1_r,PHETA1_reverse,,TRUE,individual,1 xglu_DASH_L_c 1 xphpyr_c > 1 xakg_c 1 xphe_DASH_L_c,"#abcde #fghijklmn > #abcde #fghijklmn,#abcde #fghijklmn > #abcde #fghinmlkj,#abcde #fghinmlkj > #abcde #fghijklmn,#abcde #fghinmlkj > #abcde #fghinmlkj"
PRPPS_r,PRPPS_reverse,,TRUE,individual,1 xprpp_c > 1 xr5p_c,#abcde > #abcde
PSCVT_r,PSCVT_reverse,,TRUE,individual,1 x3psme_c > 1 xpep_c 1 xskm5p_c,#defghijbac > #abc #defghij
PTAr_r,PTAr_reverse,,TRUE,individual,1 xactp_c > 1 xaccoa_c,#ab > #ab
RPE_r,RPE_reverse,,TRUE,individual,1 xxu5p_DASH_D_c > 1 xru5p_DASH_D_c,#abcde > #abcde
RPI_r,RPI_reverse,,TRUE,individual,1 xru5p_DASH_D_c > 1 xr5p_c,#abcde > #abcde
SDPTA_r,SDPTA_reverse,,TRUE,individual,1 xglu_DASH_L_c 1 xsl2a6o_c > 1 xakg_c 1 xsl26da_c,#abcde #fghijklmnop > #abcde #fghijklmnop
SERAT_r,SERAT_reverse,,TRUE,individual,1 xacser_c > 1 xaccoa_c 1 xser_DASH_L_c,#cdeab > #ab #cde
SHK3Dr_r,SHK3Dr_reverse,,TRUE,individual,1 xskm_c > 1 x3dhsk_c,#abcdefg > #abcdefg
SUCFUMt_r,SUCFUMtpp_reverse,,TRUE,individual,1 xfum_c 1 xsucc_p > 1 xfum_p 1 xsucc_c,"#abcd #efgh > #abcd #efgh,#abcd #efgh > #dcba #efgh,#dcba #efgh > #abcd #efgh,#dcba #efgh > #dcba #efgh"
