"q1_mass","q3_mass","ms3_mass","met_name","dp","ep","ce","cxp","af","quantifier","ms_mode","ion_intensity_rank","ion_abundance","precursor_formula","product_ion_reference","product_formula","production_ion_notes","met_id","external_reference","q1_mass_units","q3_mass_units","ms3_mass_units","threshold_units","dp_units","ep_units","ce_units","cxp_units","af_units","ms_group","threshold","dwell_weight","component_name","ms_include","ms_is","precursor_fragment","product_fragment","precursor_exactmass","product_exactmass","ms_methodtype"
135,92,,"Hypoxanthine",-62,-6,-22,-4,,1,"-",1,,"C5H3N4O-","","C4H2N3+","?","hxan","","Da","Da","Da","count","volts","volts","volts","volts","volts","hxan",5000,1,"",t,t,"","",135.0306857,,"tuning"
133,115,,"L-Malate",-55,-4,-15,-5.4,,1,"-",1,,"C4H5O5-","Bajad 2006","C4H3O4-","Loss of H2O","mal-L","","Da","Da","Da","count","volts","volts","volts","volts","volts","mal-L",800000,1,"",t,t,"{t,t,t,t}","{t,t,t,t}",133.0136983,,"tuning"
131,85,,"L-Ornithine",-61.8,-10,-17.4,-7.9,,1,"-",1,,"C5H11N2O2-","","C4H9N2-","","orn","","Da","Da","Da","count","volts","volts","volts","volts","volts","orn",5000,1,"",t,t,"","",131.0820526,,"tuning"
169,97,,"Dihydroxyacetone phosphate",-36,-11,-15,-5.8,,1,"-",,,"C3H6O6P-","","H2O4P-","","dhap","","Da","Da","Da","count","volts","volts","volts","volts","volts","dhap",5000,1,"",t,t,"","",168.9901994,,"tuning"
332,119,,"dAMP",40.1,10,69.1,13.6,,,"+",,51000,"C10H15N5O6P+","","","","damp","","Da","Da","Da","count","volts","volts","volts","volts","volts","damp",5000,1,"",f,f,"","",332.0759948,,"tuning"
259,79,,"alpha-D-Galactose 1-phosphate",-117.6,-10,-73,-10,,,"-",,4000000,"C6H12O9P-","","O3P-","","gal1p","","Da","Da","Da","count","volts","volts","volts","volts","volts","gal1p",5000,1,"",f,f,"","",259.0218935,,"tuning"
259,97,,"alpha-D-Galactose 1-phosphate",-65.35,-10,-22.95,-5.22,,,"-",,2500000,"C6H12O9P-","","H2O4P-","","gal1p","","Da","Da","Da","count","volts","volts","volts","volts","volts","gal1p",5000,1,"",f,f,"","",259.0218935,,"tuning"
259,241,,"alpha-D-Galactose 1-phosphate",-75.95,-10,-18.46,-8.16,,,"-",,980000,"C6H12O9P-","Beuscher 2010","C6H10O8P-","","gal1p","","Da","Da","Da","count","volts","volts","volts","volts","volts","gal1p",5000,1,"",f,f,"","",259.0218935,,"tuning"
182,91,,"L-Tyrosine",49.9,10,37,11.1,,,"+",,280000,"","","","","tyr-L","","Da","Da","Da","count","volts","volts","volts","volts","volts","tyr-L",5000,1,"",f,f,"","",,,"tuning"
117,41,,"(R)-3-Hydroxypentanoic acid",-38.5,-10,-36.9,-4.9,,,"-",3,99000,"C5H9O3-","","C2HO-","Could also be C3H5-","R-3hpt","","Da","Da","Da","count","volts","volts","volts","volts","volts","R-3hpt",5000,1,"",f,f,"","",,,"tuning"
117,59,,"(R)-3-Hydroxypentanoic acid",-42.1,-10,-14.3,-7,,,"-",1,1100000,"C5H9O3-","","C2H3O2-","Could also be C3H7O-","R-3hpt","","Da","Da","Da","count","volts","volts","volts","volts","volts","R-3hpt",5000,1,"",f,f,"","",,,"tuning"
117,100,,"(R)-3-Hydroxypentanoic acid",-106.3,-10,-30.9,-9.1,,,"-",2,240000,"C5H9O3-","","C5H8O2-","","R-3hpt","","Da","Da","Da","count","volts","volts","volts","volts","volts","R-3hpt",5000,1,"",f,f,"","",,,"tuning"
346,152,,"3',5'-Cyclic GMP",66.7,3,26,7.8,,,"+",1,170000,"C10H13N5O7P+","","","","35cgmp","","Da","Da","Da","count","volts","volts","volts","volts","volts","35cgmp",5000,1,"",f,f,"","",,,"tuning"
117,87,,"2-Ethyl-3-hydroxypropionic acid",-39.5,-10,-14.1,-5,,,"-",1,680000,"C5H9O3-","","C3H3O3-","Loss of C2H5","2e3hp","HMDB00396","Da","Da","Da","count","volts","volts","volts","volts","volts","2e3hp",5000,1,"",f,f,"","",,,"tuning"
193,175,,"Isocitrate",38.1,10,7.3,12.2,,,"+",,110000,"C6H9O7+","","","","icit","","Da","Da","Da","count","volts","volts","volts","volts","volts","icit",5000,1,"",f,f,"","",193.0348276,,"tuning"
259,139,79,"alpha-D-Galactose 1-phosphate",-62.16,-10,-22.54,-8.94,0.23,,"-",,810000,"C6H12O9P-","","C2H4O5P-","","gal1p","","Da","Da","Da","count","volts","volts","volts","volts","volts","gal1p",5000,1,"",f,f,"","",259.0218935,,"tuning"
349,303,,"IMP",42.6,10,11.3,18.3,,,"+",,31000,"C10H14N4O8P+","","","","imp","","Da","Da","Da","count","volts","volts","volts","volts","volts","imp",5000,1,"",f,f,"","",349.054925,,"tuning"
162,144,,"L-2-Aminoadipate",60,10,12.3,12.9,,,"+",,99000,"C6H12NO4+","","","","L2aadp","","Da","Da","Da","count","volts","volts","volts","volts","volts","L2aadp",5000,1,"",f,f,"","",162.0766329,,"tuning"
91,45,,"D-Lactate",108.2,10,24.7,22,,,"+",,60000,"C3H7O3+","","","","lac-D","","Da","Da","Da","count","volts","volts","volts","volts","volts","lac-D",5000,1,"",f,f,"","",91.03951909,,"tuning"
91,73,,"D-Lactate",110.5,10,10.1,7,,,"+",,240000,"C3H7O3+","","","","lac-D","","Da","Da","Da","count","volts","volts","volts","volts","volts","lac-D",5000,1,"",f,f,"","",91.03951909,,"tuning"
241,223,,"L-Cystine",48.5,10,11.6,14.6,,,"+",,88000,"C6H13N2O4S2+","","","","Lcystin","","Da","Da","Da","count","volts","volts","volts","volts","volts","Lcystin",5000,1,"",f,f,"","",241.0316733,,"tuning"
135,107,,"L-Leucine",134.6,10,15,5.3,,,"+",,720000,"C6H14NO2+","","","","leu-L","","Da","Da","Da","count","volts","volts","volts","volts","volts","leu-L",5000,1,"",f,f,"","",132.1024537,,"tuning"
259,97,,"D-Mannose 6-phosphate",-81.8,-10,-23.2,-11.18,,,"-",,3800000,"C6H12O9P-","","H2O4P-","","man6p","","Da","Da","Da","count","volts","volts","volts","volts","volts","man6p",5000,1,"",f,f,"","",259.0218935,,"tuning"
259,139,,"D-Mannose 6-phosphate",-54.2,-10,-24.4,-6.75,,,"-",,420000,"C6H12O9P-","","C2H4O5P-","","man6p","","Da","Da","Da","count","volts","volts","volts","volts","volts","man6p",5000,1,"",f,f,"","",259.0218935,,"tuning"
259,169,,"D-Mannose 6-phosphate",-54.1,-10,-18.6,-8.96,,,"-",,490000,"C6H12O9P-","","C3H6O6P-","","man6p","","Da","Da","Da","count","volts","volts","volts","volts","volts","man6p",5000,1,"",f,f,"","",259.0218935,,"tuning"
259,199,,"D-Mannose 6-phosphate",-81.9,-10,-18.11,-13.3,,,"-",,750000,"C6H12O9P-","","C4H8O7P-","","man6p","","Da","Da","Da","count","volts","volts","volts","volts","volts","man6p",5000,1,"",f,f,"","",259.0218935,,"tuning"
259,223,,"D-Mannose 6-phosphate",-56.62,-10,-16.68,-15.65,,,"-",,95000,"C6H12O9P-","","","","man6p","","Da","Da","Da","count","volts","volts","volts","volts","volts","man6p",5000,1,"",f,f,"","",259.0218935,,"tuning"
0,0,,"Malonate",0,0,0,0,,,"-",,,"","","","","malon","","Da","Da","Da","count","volts","volts","volts","volts","volts","malon",5000,1,"",f,f,"","",,,"tuning"
163,82,,"5-Hydroxy-L-lysine",41.56,10,21.2,10,,,"+",,370000,"","","","","5hlys","","Da","Da","Da","count","volts","volts","volts","volts","volts","5hlys",5000,1,"",f,f,"","",,,"tuning"
163,55,,"5-Hydroxy-L-lysine",35.8,10,33.7,8.68,,,"+",,150000,"","","","","5hlys","","Da","Da","Da","count","volts","volts","volts","volts","volts","5hlys",5000,1,"",f,f,"","",,,"tuning"
163,128,,"5-Hydroxy-L-lysine",33.85,10,14.6,15.2,,,"+",1,510000,"","","","","5hlys","","Da","Da","Da","count","volts","volts","volts","volts","volts","5hlys",5000,1,"",f,f,"","",,,"tuning"
121,103,,"5,6-dihydrouracil",68,12,6,9,,,"+",1,,"","","","","56dura","","Da","Da","Da","count","volts","volts","volts","volts","volts","56dura",5000,1,"",f,f,"","",,,"tuning"
163,145,,"5-Hydroxy-L-lysine",20.6,10,9.4,7.2,,,"+",,310000,"","","","","5hlys","","Da","Da","Da","count","volts","volts","volts","volts","volts","5hlys",5000,1,"",f,f,"","",,,"tuning"
259,241,,"D-Mannose 6-phosphate",-51.89,-10,-16.1,-6.83,,,"-",,40000,"C6H12O9P-","","","","man6p","","Da","Da","Da","count","volts","volts","volts","volts","volts","man6p",5000,1,"",f,f,"","",259.0218935,,"tuning"
121,85,,"5,6-dihydrouracil",114.5,7,13,13,,,"+",2,,"","","","","56dura","","Da","Da","Da","count","volts","volts","volts","volts","volts","56dura",5000,1,"",f,f,"","",,,"tuning"
161,93,,"5-Hydroxy-L-lysine",-18.2,-10,-14.2,-9.8,,,"-",1,120000,"","","","","5hlys","","Da","Da","Da","count","volts","volts","volts","volts","volts","5hlys",5000,1,"",f,f,"","",,,"tuning"
150,61,,"L-Methionine",28.3,10,27.7,10.1,,,"+",,240000,"C5H12NO2S+","","","","met-L","","Da","Da","Da","count","volts","volts","volts","volts","volts","met-L",5000,1,"",f,f,"","",150.0588743,,"tuning"
150,133,,"L-Methionine",32,10,11.7,9.1,,,"+",,390000,"C5H12NO2S+","","","","met-L","","Da","Da","Da","count","volts","volts","volts","volts","volts","met-L",5000,1,"",f,f,"","",150.0588743,,"tuning"
116,75,,"L-Proline",28,10,13.6,9,,,"+",,66000,"C5H10NO2+","","","","pro-L","","Da","Da","Da","count","volts","volts","volts","volts","volts","pro-L",5000,1,"",f,f,"","",116.0711536,,"tuning"
120,74,,"L-Threonine",30.3,10,13.4,9,,,"+",,200000,"C4H10NO3+","","","","thr-L","","Da","Da","Da","count","volts","volts","volts","volts","volts","thr-L",5000,1,"",f,f,"","",120.0660682,,"tuning"
161,35,,"5-Hydroxy-L-lysine",-13,-10,-34.8,-7.6,,,"-",2,22000,"","","","","5hlys","","Da","Da","Da","count","volts","volts","volts","volts","volts","5hlys",5000,1,"",f,f,"","",,,"tuning"
161,115,,"5-Hydroxy-L-lysine",-33,-10,-16.9,-10.5,,,"-",3,17000,"","","","","5hlys","","Da","Da","Da","count","volts","volts","volts","volts","volts","5hlys",5000,1,"",f,f,"","",,,"tuning"
103,35,,"4-Aminobutanoate",-36.1,-10,-19.9,-3.8,,,"-",1,220000,"C4H9NO2","","","","4abut","","Da","Da","Da","count","volts","volts","volts","volts","volts","4abut",5000,1,"",f,f,"","",,,"tuning"
117,100,,"2-Ethyl-3-hydroxypropionic acid",-117.9,-10,-29,-8.8,,,"-",2,180000,"C5H9O3-","","C5H8O2-","Loss of OH","2e3hp","HMDB00397","Da","Da","Da","count","volts","volts","volts","volts","volts","2e3hp",5000,1,"",f,f,"","",,,"tuning"
117,71,,"2-methyl-3-hydroxybutyric acid",-59.6,-10,-17.7,-8.4,,,"-",2,250000,"C5H9O3-","","C3H3O2-","Could also be C4H7O","2m3hb","","Da","Da","Da","count","volts","volts","volts","volts","volts","2m3hb",5000,1,"",f,f,"","",,,"tuning"
117,100,,"2-methyl-3-hydroxybutyric acid",-101.8,-10,-27,-5,,,"-",3,140000,"C5H9O3-","","C5H8O2-","Loss of OH","2m3hb","","Da","Da","Da","count","volts","volts","volts","volts","volts","2m3hb",5000,1,"",f,f,"","",,,"tuning"
117,73,,"2-methyl-3-hydroxybutyric acid",-32,-10,-14.2,-8.2,,,"-",1,460000,"C5H9O3-","","C3H5O2-","Could also be C4H9O-","2m3hb","","Da","Da","Da","count","volts","volts","volts","volts","volts","2m3hb",5000,1,"",f,f,"","",,,"tuning"
199,79,,"D-Erythrose 4-phosphate",-149.63,-10,-44.8,-7.19,,,"-",,170000,"C4H8O7P-","","O3P-","","e4p","","Da","Da","Da","count","volts","volts","volts","volts","volts","e4p",5000,1,"",f,f,"","",199.0007641,,"tuning"
199,97,,"D-Erythrose 4-phosphate",-40.1,-10,-14.34,-8.12,,,"-",,120000,"C4H8O7P-","","H2O4P-","","e4p","","Da","Da","Da","count","volts","volts","volts","volts","volts","e4p",5000,1,"",f,f,"","",199.0007641,,"tuning"
147,106,,"L-Glutamine",29,10,14.6,5.2,,,"+",,130000,"C5H11N2O3+","","","","gln-L","","Da","Da","Da","count","volts","volts","volts","volts","volts","gln-L",5000,1,"",f,f,"","",147.0769672,,"tuning"
156,93,,"L-Histidine",36,10,30,12,,,"+",,320000,"C6H10N3O2+","","","","his-L","","Da","Da","Da","count","volts","volts","volts","volts","volts","his-L",5000,1,"",f,f,"","",156.0773016,,"tuning"
131,87,,"(R)-2-Ethylmalate",-20,-10,-14,-9,,,"-",1,,"C5H7O4-","","C4H7O2-","Could also be C3H3O3-","G_R2emal","","Da","Da","Da","count","volts","volts","volts","volts","volts","G_R2emal",5000,1,"",f,f,"","",,,"tuning"
131,69,,"(R)-2-Ethylmalate",-24,-10,-14,-9,,,"-",2,,"C5H7O4-","","C4H5O","Could also be C3HO2-","G_R2emal","","Da","Da","Da","count","volts","volts","volts","volts","volts","G_R2emal",5000,1,"",f,f,"","",,,"tuning"
258.944,127.1,,"5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide",110,10,15,8,,,"+",1,,"","","","","aicar","","Da","Da","Da","count","volts","volts","volts","volts","volts","aicar",5000,1,"",f,f,"","",,,"tuning"
103,45,,"2-Hydroxybutyrate",-50,-4,-20,-4.8,,,"-",2,47000,"C4H7O3-","","","","2hb","","Da","Da","Da","count","volts","volts","volts","volts","volts","2hb",5000,1,"",f,f,"","",,,"tuning"
133,73,,"(R)-2-Ethylmalate",47,10,19,12,,,"+",1,,"","","","","G_R2emal","","Da","Da","Da","count","volts","volts","volts","volts","volts","G_R2emal",5000,1,"",f,f,"","",,,"tuning"
129,0,,"Mevalonolactone",0,0,0,0,,,"-",,,"","","","","mevl","HMDB06024","Da","Da","Da","count","volts","volts","volts","volts","volts","mevl",5000,1,"",f,f,"","",,,"tuning"
146,0,,"O-Acetyl-L-serine",0,0,0,0,,,"-",,,"","","","","acser","","Da","Da","Da","count","volts","volts","volts","volts","volts","acser",5000,1,"",f,f,"","",,,"tuning"
103,57,,"2-Hydroxybutyrate",-67.9,-6,-17,-9.6,,,"-",1,98000,"C4H7O3-","","","","2hb","","Da","Da","Da","count","volts","volts","volts","volts","volts","2hb",5000,1,"",f,f,"","",,,"tuning"
115,71,,"2-methyl-acetoacetate",-24.2,-10,-13.3,-8.9,,,"-",1,87000,"C5H7O3-","","","","2maa","","Da","Da","Da","count","volts","volts","volts","volts","volts","2maa",5000,1,"",f,f,"","",,,"tuning"
151,107,,"2-Hydroxyphenylacetate",-39.7,-10,-19.5,-7.8,,,"-",1,3800000,"C8H7O3-","","","","2hyoxplac","C05852","Da","Da","Da","count","volts","volts","volts","volts","volts","2hyoxplac",5000,1,"",f,f,"","",,,"tuning"
115,98,,"2-methyl-acetoacetate",-108,-10,-31,-5.2,,,"-",2,12000,"C5H7O3-","","","","2maa","","Da","Da","Da","count","volts","volts","volts","volts","volts","2maa",5000,1,"",f,f,"","",,,"tuning"
117,71,,"2-Hydroxy-3-methylbutyric acid",-44.3,-10,-17,-8.8,,,"-",1,1500000,"C5H9O3-","","C4H7O-","","2h3mb","HMDB00407","Da","Da","Da","count","volts","volts","volts","volts","volts","2h3mb",5000,1,"",f,f,"","",117.0551692,,"tuning"
117,41,,"Pool_3h3mb_R-3hpt",-30,-10,-38,-5,,,"-",,,"C5H9O3-","","C2HO-","Could also be C3H5-","Pool_3h3mb_R-3hpt","","Da","Da","Da","count","volts","volts","volts","volts","volts","Pool_3h3mb_R-3hpt",5000,1,"",f,f,"","",,,"tuning"
117,59,,"Pool_3h3mb_R-3hpt",-30,-10,-14.5,-7,,,"-",,,"C5H9O3-","","C2H3O2-","Could also be C3H7O-","Pool_3h3mb_R-3hpt","","Da","Da","Da","count","volts","volts","volts","volts","volts","Pool_3h3mb_R-3hpt",5000,1,"",f,f,"","",,,"tuning"
131,73,,"2-methylbutanedioic acid",-66,-13,-15,-13,,,"-",2,180000,"C5H7O4-","","CH5O2-","","2mbed","HMDB01844","Da","Da","Da","count","volts","volts","volts","volts","volts","2mbed",5000,1,"",f,f,"","",,,"tuning"
191,111,,"Pool_cit_icit",-47.7,-10,-19.1,-6.8,,,"-",,,"C6H7O7-","Bajad 2006 / Luo 2007 / Beuscher 2010","C5H3O3-","","Pool_cit_icit","","Da","Da","Da","count","volts","volts","volts","volts","volts","Pool_cit_icit",5000,1,"",f,f,"{t,t,t,t,t,t}","",,,"tuning"
131,87,,"2-methylbutanedioic acid",-40,-10,-16.7,-11.4,,,"-",1,900000,"C5H7O4-","","C4H7O2-","","2mbed","HMDB01844","Da","Da","Da","count","volts","volts","volts","volts","volts","2mbed",5000,1,"",f,f,"","",,,"tuning"
117,100,,"3-hydroxy-3-methylbutanoic acid",-93.9,-10,-30.8,-9,,,"-",2,200000,"C5H9O3-","","C5H8O2-","","3h3mb","HMDB00754","Da","Da","Da","count","volts","volts","volts","volts","volts","3h3mb",5000,1,"",f,f,"","",,,"tuning"
117,41,,"3-hydroxy-3-methylbutanoic acid",-30,-10,-38,-5.4,,,"-",3,200000,"C5H9O3-","","C2HO-","Could also be C3H5-","3h3mb","HMDB00754","Da","Da","Da","count","volts","volts","volts","volts","volts","3h3mb",5000,1,"",f,f,"","",,,"tuning"
103,45,,"4-Aminobutanoate",-25.9,-10,-21.8,-5.2,,,"-",2,180000,"C4H9NO2","","","","4abut","","Da","Da","Da","count","volts","volts","volts","volts","volts","4abut",5000,1,"",f,f,"","",,,"tuning"
133,115,,"(R)-2-Ethylmalate",173,10,19,12,,,"+",2,,"","","","","G_R2emal","","Da","Da","Da","count","volts","volts","volts","volts","volts","G_R2emal",5000,1,"",f,f,"","",,,"tuning"
102.9,59,,"(R)-3-Hydroxybutanoate",-40,-4,-12,-9,,,"-",1,,"","","","","bhb","","Da","Da","Da","count","volts","volts","volts","volts","volts","bhb",5000,1,"",f,f,"","",,,"tuning"
119,96,,"5,6-dihydrouracil",-194,-7,-28,-11,,,"-",1,,"","","","","56dura","","Da","Da","Da","count","volts","volts","volts","volts","volts","56dura",5000,1,"",f,f,"","",,,"tuning"
258.944,110,,"5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide",40,10,27,16,,,"+",2,,"","","","","aicar","","Da","Da","Da","count","volts","volts","volts","volts","volts","aicar",5000,1,"",f,f,"","",,,"tuning"
259,169,,"Hexose-phosphate-pool_g6p_man6p_f6p_f1p",-52.1,-10,-16.1,-10.4,,,"-",,,"C6H12O9P-","","C3H6O6P-","","Hexose-phosphate-pool_g6p_man6p_f6p_f1p","","Da","Da","Da","count","volts","volts","volts","volts","volts","Hexose-phosphate-pool_g6p_man6p_f6p_f1p",5000,1,"",f,f,"","",,,"tuning"
105,64,,"3-Hydroxy-2-methylpropanoate",10,10,15,8,,,"+",1,,"C4H9O3+","","","","3hmp","","Da","Da","Da","count","volts","volts","volts","volts","volts","3hmp",5000,1,"",f,f,"","",,,"tuning"
128.9,102,,"5,6-Dihydrothymine",108,7,10,5.1,,,"+",1,,"","","","","56dthm","","Da","Da","Da","count","volts","volts","volts","volts","volts","56dthm",5000,1,"",f,f,"","",,,"tuning"
128.9,88,,"5,6-Dihydrothymine",10,5.5,10.25,13,,,"+",2,,"","","","","56dthm","","Da","Da","Da","count","volts","volts","volts","volts","volts","56dthm",5000,1,"",f,f,"","",,,"tuning"
117,159,,"L-Citrulline",118,9,11.2,7.5,,,"+",2,,"C6H14N3O3+","","","","citr-L","","Da","Da","Da","count","volts","volts","volts","volts","volts","citr-L",5000,1,"",f,f,"","",176.1035163,,"tuning"
117,59,,"3-hydroxy-3-methylbutanoic acid",-29.5,-10,-14.9,-7.3,,,"-",1,1700000,"C5H9O3-","","C2H3O2-","Could also be C3H7O-","3h3mb","HMDB00754","Da","Da","Da","count","volts","volts","volts","volts","volts","3h3mb",5000,1,"",f,f,"","",,,"tuning"
156,112,,"3-Methylbut-2-enoyl-CoA",-54.3,-10,-16.8,-14.6,,,"-",2,19000,"","","","","3mb2coa","","Da","Da","Da","count","volts","volts","volts","volts","volts","3mb2coa",5000,1,"",f,f,"","",,,"tuning"
156,74,,"3-Methylbut-2-enoyl-CoA",-60,-8.1,-16,-8.7,,,"-",1,970000,"","","","","3mb2coa","","Da","Da","Da","count","volts","volts","volts","volts","volts","3mb2coa",5000,1,"",f,f,"","",,,"tuning"
158,74,,"2-Methylbutyrylglycine",-56.3,-11.7,-18,-12.1,,,"-",1,130000,"C7H12NO3-","","","","2mbutgly","HMDB00339","Da","Da","Da","count","volts","volts","volts","volts","volts","2mbutgly",5000,1,"",f,f,"","",,,"tuning"
158,114,,"2-Methylbutyrylglycine",-54,-8.3,-16.8,-14,,,"-",2,117000,"C7H12NO3-","","","","2mbutgly","HMDB00339","Da","Da","Da","count","volts","volts","volts","volts","volts","2mbutgly",5000,1,"",f,f,"","",,,"tuning"
131.908,73.1,,"Creatine",18,10,13,12,,,"+",1,,"","","","","creat","","Da","Da","Da","count","volts","volts","volts","volts","volts","creat",5000,1,"",f,f,"","",,,"tuning"
131.908,91.1,,"Creatine",20,10,5,10,,,"+",2,,"","","","","creat","","Da","Da","Da","count","volts","volts","volts","volts","volts","creat",5000,1,"",f,f,"","",,,"tuning"
129.927,62,,"Creatine",-25,-10,-24,-7,,,"-",2,,"","","","","creat","","Da","Da","Da","count","volts","volts","volts","volts","volts","creat",5000,1,"",f,f,"","",,,"tuning"
129.927,88,,"Creatine",-25,-10,-16,-11,,,"-",1,,"","","","","creat","","Da","Da","Da","count","volts","volts","volts","volts","volts","creat",5000,1,"",f,f,"","",,,"tuning"
113.885,44,,"Creatinine",50,10,21,10,,,"+",1,,"","","","","crtn","","Da","Da","Da","count","volts","volts","volts","volts","volts","crtn",5000,1,"",f,f,"","",,,"tuning"
113.885,73,,"Creatinine",30,10,13,10,,,"+",2,,"","","","","crtn","","Da","Da","Da","count","volts","volts","volts","volts","volts","crtn",5000,1,"",f,f,"","",,,"tuning"
111.796,63.8,,"Creatinine",-200,-10,-60,-9,,,"-",2,,"","","","","crtn","","Da","Da","Da","count","volts","volts","volts","volts","volts","crtn",5000,1,"",f,f,"","",,,"tuning"
111.796,79.9,,"Creatinine",-200,-10,-20,-9,,,"-",1,,"","","","","crtn","","Da","Da","Da","count","volts","volts","volts","volts","volts","crtn",5000,1,"",f,f,"","",,,"tuning"
145.098,101,,"2-Oxoglutarate",-24,-12,-13.8,-5.93,,1,"-",2,,"C5H5O5-","Bajad 2006","C4H5O3-","","akg","","Da","Da","Da","count","volts","volts","volts","volts","volts","akg",140000,1,"",t,t,"{t,t,t,t,t}","{f,t,t,t,t}",145.0136983,,"tuning"
117,136,,"L-Citrulline",12.4,8,9,7,,,"+",1,,"C6H14N3O3+","","","","citr-L","","Da","Da","Da","count","volts","volts","volts","volts","volts","citr-L",5000,1,"",f,f,"","",176.1035163,,"tuning"
179,59,,"D-Fructose",-36.2,-10,-23.1,-5.8,,,"-",1,340000,"","Beuscher 2010","","","fru","","Da","Da","Da","count","volts","volts","volts","volts","volts","fru",5000,1,"",f,f,"","",,,"tuning"
140,63,,"Ethanolamine phosphate",-38,-10,-80.1,-5.2,,,"-",2,11000,"","","","","ethamp","","Da","Da","Da","count","volts","volts","volts","volts","volts","ethamp",5000,1,"",f,f,"","",,,"tuning"
173.108,85,,"cis-Aconitate",-16,-10,-16.8,-7.1,,,"-",1,800000,"C6H5O6-","Luo 2007","C4H5O2-","Loss of 2 H2O","acon-C","","Da","Da","Da","count","volts","volts","volts","volts","volts","acon-C",5000,1,"",f,f,"","",173.0086129,,"tuning"
265,97,,"3-Phospho-D-glyceroyl phosphate",-66.4,-10,-38.68,-6.29,,,"-",,620000,"C3H7O10P2-","","H2O4P-","","23dpg","","Da","Da","Da","count","volts","volts","volts","volts","volts","23dpg",5000,1,"",f,f,"{t,t,t}","{f,f,f}",264.9514445,,"tuning"
179,135,91,"D-Fructose",-39.9,-10,-16.9,-9,0.3,,"-",5,98000,"","","","","fru","","Da","Da","Da","count","volts","volts","volts","volts","volts","fru",5000,1,"",f,f,"","",,,"tuning"
117,100,,"2-Hydroxy-3-methylbutyric acid",-107.8,-10,-28.7,-11.7,,,"-",2,190000,"C5H9O3-","","","","2h3mb","HMDB00407","Da","Da","Da","count","volts","volts","volts","volts","volts","2h3mb",5000,1,"",f,f,"","",117.0551692,,"tuning"
131,45,,"2-Hydroxy-3-methylpentanoic acid",-49.9,-10,-18.1,-4.5,,,"-",2,110000,"C6H11O3-","","CHO2","","2h3mv","HMDB00317","Da","Da","Da","count","volts","volts","volts","volts","volts","2h3mv",5000,1,"",f,f,"","",131.0708192,,"tuning"
131,69,,"2-Hydroxy-3-methylpentanoic acid",-57.9,-10,-26.3,-10.8,,,"-",3,95000,"C6H11O3-","","","","2h3mv","HMDB00317","Da","Da","Da","count","volts","volts","volts","volts","volts","2h3mv",5000,1,"",f,f,"","",131.0708192,,"tuning"
131,85,,"2-Hydroxy-3-methylpentanoic acid",-50.1,-10,-17.8,-11.9,,,"-",1,2400000,"C6H11O3-","","C5H9O-","","2h3mv","HMDB00317","Da","Da","Da","count","volts","volts","volts","volts","volts","2h3mv",5000,1,"",f,f,"","",131.0708192,,"tuning"
131,69,,"Hydroxyisocaproic acid",-65.5,-10,-28.3,-9.1,,,"-",2,620000,"C6H11O3-","","C5H9-","Could also be C4H5O- or C3HO2-","2hic","HMDB00746","Da","Da","Da","count","volts","volts","volts","volts","volts","2hic",5000,1,"",f,f,"","",131.0708192,,"tuning"
101,57,,"2-Oxobutanoate",-10.5,-10,-11.9,-7.4,,,"-",3,17000,"C4H5O3-","","C3H5O-","","2obut","","Da","Da","Da","count","volts","volts","volts","volts","volts","2obut",5000,1,"",f,f,"","",101.023869,,"tuning"
101,73,,"2-Oxobutanoate",-32.1,-10,-10.44,-9.8,,,"-",2,28000,"C4H5O3-","","C2HO3-","","2obut","","Da","Da","Da","count","volts","volts","volts","volts","volts","2obut",5000,1,"",f,f,"","",101.023869,,"tuning"
265,167,,"3-Phospho-D-glyceroyl phosphate",-48.2,-10,-18.32,-11.23,,1,"-",,2500000,"C3H7O10P2-","","C3H4O6P-","","23dpg","","Da","Da","Da","count","volts","volts","volts","volts","volts","23dpg",5000,1,"",t,t,"{t,t,t}","{t,t,t}",264.9514445,,"tuning"
179.157,107,,"3-(4-Hydroxyphenyl)pyruvate",-29.7,-10,-12.3,-12.9,,,"-",1,230000,"C9H7O4-","","C7H7O-","","34hpp","","Da","Da","Da","count","volts","volts","volts","volts","volts","34hpp",5000,1,"",f,f,"","",179.0344337,,"tuning"
179.157,121,,"3-(4-Hydroxyphenyl)pyruvate",-30.5,-10,-13.6,-7.9,,,"-",2,86000,"C9H7O4-","","C8H9O","","34hpp","","Da","Da","Da","count","volts","volts","volts","volts","volts","34hpp",5000,1,"",f,f,"","",179.0344337,,"tuning"
179,71,,"D-Fructose",-39.9,-10,-20.3,-6.9,,,"-",3,140000,"","","","","fru","","Da","Da","Da","count","volts","volts","volts","volts","volts","fru",5000,1,"",f,f,"","",,,"tuning"
179,89,,"D-Fructose",-37.4,-10,-12.9,-6.7,,,"-",2,400000,"","","","","fru","","Da","Da","Da","count","volts","volts","volts","volts","volts","fru",5000,1,"",f,f,"","",,,"tuning"
