id,experiment_id,sample_name,sample_name_abbreviation,sample_type,time_point,replicate_number,met_id,precursor_formula,precursor_mass,product_formula,product_mass,intensity,intensity_units,intensity_corrected,intensity_corrected_units,intensity_normalized,intensity_normalized_units,intensity_theoretical,abs_devFromTheoretical,scan_type,used_,comment_
19619,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,211,0,cps,0,cps,,normMax,8.76E-05,,EPI,f,
22387,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,211,0,cps,0,cps,,normMax,8.76E-05,,EPI,f,
25120,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,211,0,cps,0,cps,0,normMax,8.76E-05,,EPI,f,
27853,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,211,0,cps,0,cps,,normMax,8.76E-05,,EPI,f,
30621,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,211,0,cps,0,cps,,normMax,8.76E-05,,EPI,f,
33354,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,211,0,cps,0,cps,,normMax,8.76E-05,,EPI,f,
19620,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,212,0,cps,0,cps,,normMax,4.64E-06,,EPI,f,
22388,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,212,0,cps,0,cps,,normMax,4.64E-06,,EPI,f,
25121,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,212,0,cps,0,cps,0,normMax,4.64E-06,,EPI,f,
27854,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,212,0,cps,0,cps,,normMax,4.64E-06,,EPI,f,
30622,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,212,0,cps,0,cps,,normMax,4.64E-06,,EPI,f,
33355,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,212,0,cps,0,cps,,normMax,4.64E-06,,EPI,f,
19621,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,213,0,cps,0,cps,,normMax,2.98E-07,,EPI,f,
22389,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,213,0,cps,0,cps,,normMax,2.98E-07,,EPI,f,
25122,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,213,0,cps,0,cps,0,normMax,2.98E-07,,EPI,f,
27855,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,213,0,cps,0,cps,,normMax,2.98E-07,,EPI,f,
