exp_type_id,id,metabolomics_sample_name,metabolomics_experimentor_id,extraction_method_id,acquisition_method_id,quantitation_method_id,metabolomics_is_id
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-7-100x,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-8-100x,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-9-100x,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10-100x,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-11-100x,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-12-100x,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140415_Null_OxicWTEcoliGlcM9_Broth-12-100x,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-7-10x,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-8-10x,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-9-10x,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10-10x,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-11-10x,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-12-10x,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140415_Null_OxicWTEcoliGlcM9_Broth-12-10x,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-7,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-8,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-9,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140415_Null_OxicWTEcoliGlcM9_Broth-9,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-11,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-12,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
5,WTEColi12C02,140415_Null_OxicWTEcoliGlcM9_Broth-12,2,Aqueous acetonitrile filtration,140415_McCloskey2013_13CFlux,,
