"experiment_id","sample_name_abbreviation","time_point","component_group_name","component_name","n_replicates_broth","calculated_concentration_broth_average","calculated_concentration_broth_cv","n_replicates_filtrate","calculated_concentration_filtrate_average","calculated_concentration_filtrate_cv","n_replicates","calculated_concentration_average","calculated_concentration_cv","calculated_concentration_units","extracellular_percent","used_","id"
"genomatica01","ControlFermentor","0","dump","dump.dump_1.Light",4,0.000270101782332251,51.9963614537177,0,0,0,4,0.000270101782332251,51.9963614537177,"mM",0,t,2247
"genomatica01","ControlFermentor","0","f6p","f6p.f6p_1.Light",4,0.0280565035004059,10.3382558642413,0,0,0,4,0.0280565035004059,10.3382558642413,"mM",0,t,2248
"genomatica01","ControlFermentor","0","fad","fad.fad_1.Light",4,0.0025774650974026,19.1108048826911,0,0,0,4,0.0025774650974026,19.1108048826911,"mM",0,t,2249
"genomatica01","ControlFermentor","0","fol","fol.fol_1.Light",4,0.000651513257575758,23.7795265485999,0,0,0,4,0.000651513257575758,23.7795265485999,"mM",0,t,2250
"genomatica01","ControlFermentor","0","fum","fum.fum_1.Light",4,0.00575598669169372,45.8001992040899,0,0,0,4,0.00575598669169372,45.8001992040899,"mM",0,t,2251
"genomatica01","ControlFermentor","0","g1p","g1p.g1p_1.Light",4,0.00414112888933983,32.0980664027769,0,0,0,4,0.00414112888933983,32.0980664027769,"mM",0,t,2252
"genomatica01","ControlFermentor","0","g3p","g3p.g3p_1.Light",4,1310.71068959686,11.2381651002002,0,0,0,4,1310.71068959686,11.2381651002002,"height_ratio",0,t,2253
"genomatica01","ControlFermentor","0","g6p","g6p.g6p_1.Light",4,0.0448143601866883,9.34370578500493,0,0,0,4,0.0448143601866883,9.34370578500493,"mM",0,t,2254
"genomatica01","ControlFermentor","0","gam6p","gam6p.gam6p_1.Light",4,0.0183794074337121,14.2061443029377,0,0,0,4,0.0183794074337121,14.2061443029377,"mM",0,t,2255
"genomatica01","ControlFermentor","0","gdp","gdp.gdp_1.Light",4,0.0820836278916397,0.537468162025124,0,0,0,4,0.0820836278916397,0.537468162025124,"mM",0,t,2256
"genomatica01","ControlFermentor","0","gln-L","gln-L.gln-L_1.Light",4,0.12554863578869,16.6022982839843,0,0,0,4,0.12554863578869,16.6022982839843,"mM",0,t,2257
"genomatica01","ControlFermentor","0","glu-L","glu-L.glu-L_1.Light",4,16.2279570752165,10.0002296578766,0,0,0,4,16.2279570752165,10.0002296578766,"mM",0,t,2258
"genomatica01","ControlFermentor","0","glutacon","glutacon.glutacon_1.Light",4,16.2580053385417,15.5953454463709,0,0,0,4,16.2580053385417,15.5953454463709,"mM",0,t,2259
"genomatica01","ControlFermentor","0","glx","glx.glx_1.Light",4,9.3926630461986,15.7579391030846,0,0,0,4,9.3926630461986,15.7579391030846,"mM",0,t,2260
"genomatica01","ControlFermentor","0","glyc3p","glyc3p.glyc3p_1.Light",4,0.150697182410038,13.4698732225584,0,0,0,4,0.150697182410038,13.4698732225584,"mM",0,t,2261
"genomatica01","ControlFermentor","0","glyclt","glyclt.glyclt_1.Light",4,0.337344000355114,16.1528113345817,0,0,0,4,0.337344000355114,16.1528113345817,"mM",0,t,2262
"genomatica01","ControlFermentor","0","gmp","gmp.gmp_1.Light",4,40.5976149722673,19.729506014555,0,0,0,4,40.5976149722673,19.729506014555,"height_ratio",0,t,2263
"genomatica01","ControlFermentor","0","gsn","gsn.gsn_1.Light",4,0.000823600395698052,25.4013987350435,0,0,0,4,0.000823600395698052,25.4013987350435,"mM",0,t,2264
"genomatica01","ControlFermentor","0","gthox","gthox.gthox_1.Light",4,1.03505604910714,12.0182649215158,0,0,0,4,1.03505604910714,12.0182649215158,"mM",0,t,2265
"genomatica01","ControlFermentor","0","gthrd","gthrd.gthrd_1.Light",4,2.42800305262446,12.3342193362788,0,0,0,4,2.42800305262446,12.3342193362788,"mM",0,t,2266
"genomatica01","ControlFermentor","0","gua","gua.gua_1.Light",4,0.00419558138866342,26.9403004854076,0,0,0,4,0.00419558138866342,26.9403004854076,"mM",0,t,2267
"genomatica01","ControlFermentor","0","hxan","hxan.hxan_1.Light",4,0.000522849279626624,21.8594308711305,0,0,0,4,0.000522849279626624,21.8594308711305,"mM",0,t,2268
"genomatica01","ControlFermentor","0","icit","icit.icit_2.Light",4,0.17486499122362,12.8162986381806,0,0,0,4,0.17486499122362,12.8162986381806,"mM",0,t,2269
"genomatica01","ControlFermentor","0","imp","imp.imp_1.Light",4,0.0239532538047889,30.422645712921,0,0,0,4,0.0239532538047889,30.422645712921,"mM",0,t,2270
"genomatica01","ControlFermentor","0","ins","ins.ins_1.Light",4,0.000248319230248918,16.8252978960299,0,0,0,4,0.000248319230248918,16.8252978960299,"mM",0,t,2271
"genomatica01","ControlFermentor","0","lac-L","lac-L.lac-L_1.Light",4,0.150131038301543,6.62127198954185,0,0,0,4,0.150131038301543,6.62127198954185,"mM",0,t,2272
"genomatica01","ControlFermentor","0","Lcystin","Lcystin.Lcystin_1.Light",4,0.0717212002671808,6.58401816901768,0,0,0,4,0.0717212002671808,6.58401816901768,"mM",0,t,2273
"genomatica01","ControlFermentor","0","mal-L","mal-L.mal-L_1.Light",4,0.0158145976900703,23.4892514703786,0,0,0,4,0.0158145976900703,23.4892514703786,"mM",0,t,2274
"genomatica01","ControlFermentor","0","met-L","met-L.met-L_1.Light",4,0.00202907711038961,20.1935735199523,0,0,0,4,0.00202907711038961,20.1935735199523,"mM",0,t,2275
"genomatica01","ControlFermentor","0","mmal","mmal.mmal_1.Light",4,0.00301972877773269,13.2738939964404,0,0,0,4,0.00301972877773269,13.2738939964404,"mM",0,t,2276
"genomatica01","ControlFermentor","0","nad","nad.nad_1.Light",4,0.191453391521239,9.69531242806841,0,0,0,4,0.191453391521239,9.69531242806841,"mM",0,t,2277
"genomatica01","ControlFermentor","0","nadh","nadh.nadh_1.Light",4,0.000168330898268398,24.9935113523168,0,0,0,4,0.000168330898268398,24.9935113523168,"mM",0,t,2278
"genomatica01","ControlFermentor","0","nadp","nadp.nadp_1.Light",4,0.00433825801542208,7.19805897522559,0,0,0,4,0.00433825801542208,7.19805897522559,"mM",0,t,2279
"genomatica01","ControlFermentor","0","nadph","nadph.nadph_1.Light",4,0.000692212239583333,1.72703085002555,0,0,0,4,0.000692212239583333,1.72703085002555,"mM",0,t,2280
"genomatica01","ControlFermentor","0","orn","orn.orn_1.Light",4,8.0995426271645,6.0190032344124,0,0,0,4,8.0995426271645,6.0190032344124,"mM",0,t,2281
"genomatica01","ControlFermentor","0","oxa","oxa.oxa_1.Light",4,0.154782459347944,6.04893163413273,0,0,0,4,0.154782459347944,6.04893163413273,"mM",0,t,2282
"genomatica01","ControlFermentor","0","pep","pep.pep_1.Light",4,0.0412795893702652,11.3470480961421,0,0,0,4,0.0412795893702652,11.3470480961421,"mM",0,t,2283
"genomatica01","ControlFermentor","0","phe-L","phe-L.phe-L_1.Light",4,0.271849643651921,25.5461314697374,0,0,0,4,0.271849643651921,25.5461314697374,"mM",0,t,2284
"genomatica01","ControlFermentor","0","Pool_2pg_3pg","Pool_2pg_3pg.Pool_2pg_3pg_1.Light",4,0.128135440814394,11.905954273928,0,0,0,4,0.128135440814394,11.905954273928,"mM",0,t,2285
"genomatica01","ControlFermentor","0","pyr","pyr.pyr_1.Light",4,0.252904780049378,16.6063038666228,0,0,0,4,0.252904780049378,16.6063038666228,"mM",0,t,2286
"genomatica01","ControlFermentor","0","r5p","r5p.r5p_1.Light",4,0.0154242605688583,12.4710011267819,0,0,0,4,0.0154242605688583,12.4710011267819,"mM",0,t,2287
"genomatica01","ControlFermentor","0","s7p","s7p.s7p_1.Light",4,0.0193920329579275,12.7409480035829,0,0,0,4,0.0193920329579275,12.7409480035829,"mM",0,t,2288
"genomatica01","ControlFermentor","0","ser-L","ser-L.ser-L_1.Light",4,0.0373734294845779,12.8366454844933,0,0,0,4,0.0373734294845779,12.8366454844933,"mM",0,t,2289
"genomatica01","ControlFermentor","0","skm","skm.skm_1.Light",4,0.0016896762209145,12.2588310345364,0,0,0,4,0.0016896762209145,12.2588310345364,"mM",0,t,2290
"genomatica01","ControlFermentor","0","succ","succ.succ_1.Light",4,0.160995795420725,10.1341765053311,0,0,0,4,0.160995795420725,10.1341765053311,"mM",0,t,2291
"genomatica01","ControlFermentor","0","thr-L","thr-L.thr-L_1.Light",4,0.0645622978050595,6.63069502288041,0,0,0,4,0.0645622978050595,6.63069502288041,"mM",0,t,2292
"genomatica01","ControlFermentor","0","thym","thym.thym_1.Light",4,0.264098291429924,17.1506359428274,0,0,0,4,0.264098291429924,17.1506359428274,"mM",0,t,2293
"genomatica01","ControlFermentor","0","trp-L","trp-L.trp-L_1.Light",4,0.0073424453125,14.1291164658983,0,0,0,4,0.0073424453125,14.1291164658983,"mM",0,t,2294
"genomatica01","ControlFermentor","0","tyr-L","tyr-L.tyr-L_1.Light",4,0.345478346489448,8.06383121516162,0,0,0,4,0.345478346489448,8.06383121516162,"mM",0,t,2295
"genomatica01","ControlFermentor","0","udp","udp.udp_1.Light",4,0.00162726885484307,24.3300161037837,0,0,0,4,0.00162726885484307,24.3300161037837,"mM",0,t,2296
"genomatica01","ControlFermentor","0","udpg","udpg.udpg_1.Light",4,0.00766519321563853,11.4843360344154,0,0,0,4,0.00766519321563853,11.4843360344154,"mM",0,t,2297
"genomatica01","ControlFermentor","0","udpglcur","udpglcur.udpglcur_1.Light",4,0.000276687855113636,26.2846212833957,0,0,0,4,0.000276687855113636,26.2846212833957,"mM",0,t,2298
"genomatica01","ControlFermentor","0","ump","ump.ump_1.Light",4,0.0142714537337662,15.4611804965575,0,0,0,4,0.0142714537337662,15.4611804965575,"mM",0,t,2299
"genomatica01","ControlFermentor","0","ura","ura.ura_1.Light",4,0.00958973129734848,21.8045459539048,0,0,0,4,0.00958973129734848,21.8045459539048,"mM",0,t,2300
"genomatica01","ControlFermentor","0","uri","uri.uri_1.Light",4,0.000566370975378788,27.4439845849646,0,0,0,4,0.000566370975378788,27.4439845849646,"mM",0,t,2301
"genomatica01","ControlFermentor","0","xan","xan.xan_1.Light",4,0.00596551011228355,37.1253872467688,0,0,0,4,0.00596551011228355,37.1253872467688,"mM",0,t,2302
"genomatica01","ControlFermentor_25uL","0","2mcit","2mcit.2mcit_1.Light",6,181.865972876083,10.0330072121753,0,0,0,6,181.865972876083,10.0330072121753,"height_ratio",0,t,2303
"genomatica01","ControlFermentor_25uL","0","35cgmp","35cgmp.35cgmp_1.Light",6,5.83160173160173e-005,30.2336857315637,0,0,0,6,5.83160173160173e-005,30.2336857315637,"mM",0,t,2304
"genomatica01","ControlFermentor_25uL","0","5oxpro","5oxpro.5oxpro_1.Light",6,0.0865706710407648,9.81580080325574,0,0,0,6,0.0865706710407648,9.81580080325574,"mM",0,t,2305
"genomatica01","ControlFermentor_25uL","0","6pgc","6pgc.6pgc_1.Light",6,0.0896250036075036,6.48931199625474,0,0,0,6,0.0896250036075036,6.48931199625474,"mM",0,t,2306
"genomatica01","ControlFermentor_25uL","0","accoa","accoa.accoa_1.Light",5,0.00233412545995671,64.0135124041099,0,0,0,5,0.00233412545995671,64.0135124041099,"mM",0,t,2307
"genomatica01","ControlFermentor_25uL","0","acon-C","acon-C.acon-C_1.Light",6,0.227804465210137,11.9372410893458,0,0,0,6,0.227804465210137,11.9372410893458,"mM",0,t,2308
"genomatica01","ControlFermentor_25uL","0","ade","ade.ade_1.Light",6,0.00515378014520202,32.927838179631,0,0,0,6,0.00515378014520202,32.927838179631,"mM",0,t,2309
"genomatica01","ControlFermentor_25uL","0","adn","adn.adn_1.Light",6,0.0234879308712121,62.2706248760197,0,0,0,6,0.0234879308712121,62.2706248760197,"mM",0,t,2310
