"id","experiment_id","sample_name","sample_id","component_group_name","component_name","calculated_concentration","calculated_concentration_units","used_","comment_"
28403,"recoveryExperiment01","140509_CF01","140509_CF01","dgmp","dgmp.dgmp_1.Light",133.7645333,"height_ratio",t,""
28404,"recoveryExperiment01","140509_CF01","140509_CF01","dhap","dhap.dhap_1.Light",1433.408189,"height_ratio",t,""
28405,"recoveryExperiment01","140509_CF01","140509_CF01","dimp","dimp.dimp_1.Light",894.3722809,"height_ratio",t,""
28406,"recoveryExperiment01","140509_CF01","140509_CF01","ditp","ditp.ditp_1.Light",482.4722337,"height_ratio",t,""
28467,"recoveryExperiment01","140509_CF01","140509_CF01","utp","utp.utp_1.Light",67.19525873,"height_ratio",t,""
28468,"recoveryExperiment01","140509_CF01","140509_CF01","xan","xan.xan_1.Light",330.7833627,"height_ratio",t,""
28529,"recoveryExperiment01","140509_CF02","140509_CF02","gua","gua.gua_1.Light",49.04738864,"height_ratio",t,""
28590,"recoveryExperiment01","140509_CF03","140509_CF03","cit","cit.cit_1.Light",,"height_ratio",t,""
28711,"recoveryExperiment01","140509_CF04","140509_CF04","dutp","dutp.dutp_1.Light",343.7628085,"height_ratio",t,""
28712,"recoveryExperiment01","140509_CF04","140509_CF04","f6p","f6p.f6p_1.Light",1143.957825,"height_ratio",t,""
28713,"recoveryExperiment01","140509_CF04","140509_CF04","fol","fol.fol_1.Light",,"height_ratio",t,""
28714,"recoveryExperiment01","140509_CF04","140509_CF04","fum","fum.fum_1.Light",372.2910152,"height_ratio",t,""
28715,"recoveryExperiment01","140509_CF04","140509_CF04","g1p","g1p.g1p_1.Light",491.780351,"height_ratio",t,""
28716,"recoveryExperiment01","140509_CF04","140509_CF04","g6p","g6p.g6p_1.Light",249.8986732,"height_ratio",t,""
28776,"recoveryExperiment01","140509_CF05","140509_CF05","ade","ade.ade_1.Light",1771.182887,"height_ratio",t,""
28777,"recoveryExperiment01","140509_CF05","140509_CF05","adn","adn.adn_1.Light",4392.169007,"height_ratio",t,""
28370,"recoveryExperiment01","140509_CF01","140509_CF01","23dpg","23dpg.23dpg_1.Light",1111.318432,"height_ratio",t,""
