Sample Name,Sample Type,Component Group Name
140521_Blank-01,Blank,ditp
140521_Blank-01,Blank,dutp
140521_Blank-01,Blank,dutp
140521_Blank-01,Blank,itp
140521_Blank-01,Blank,itp
140521_Blank-01,Blank,utp
140521_Blank-01,Blank,utp
140521_Blank-01,Blank,23dpg
140521_Blank-01,Blank,23dpg
140521_Blank-01,Blank,atp
140521_Blank-01,Blank,atp
140521_Blank-01,Blank,datp
140521_Blank-01,Blank,datp
140521_Blank-01,Blank,dttp
140521_Blank-01,Blank,dttp
140521_Blank-01,Blank,gtp
140521_Blank-01,Blank,gtp
140521_Blank-01,Blank,prpp
140521_Blank-01,Blank,prpp
140521_Blank-01,Blank,nadph
140521_Blank-01,Blank,nadph
140521_Blank-01,Blank,phpyr
140521_Blank-01,Blank,phpyr
140521_Blank-01,Blank,coa
140521_Blank-01,Blank,accoa
140521_Blank-01,Blank,malcoa
140521_Blank-01,Blank,succoa
140521_Blank-02,Blank,arg-L
140521_Blank-02,Blank,orn
140521_Blank-02,Blank,his-L
140521_Blank-02,Blank,his-L
140521_Blank-02,Blank,asn-L
140521_Blank-02,Blank,asn-L
140521_Blank-02,Blank,ser-L
140521_Blank-02,Blank,ser-L
140521_Blank-02,Blank,citr-L
140521_Blank-02,Blank,gln-L
140521_Blank-02,Blank,gln-L
140521_Blank-02,Blank,Hexose_Pool_fru_glc-D
140521_Blank-02,Blank,Hexose_Pool_fru_glc-D
140521_Blank-02,Blank,Lcystin
140521_Blank-02,Blank,thr-L
140521_Blank-02,Blank,ala-L
140521_Blank-02,Blank,ala-L
140521_Blank-02,Blank,cytd
140521_Blank-02,Blank,ura
140521_Blank-02,Blank,AICAr
140521_Blank-02,Blank,met-L
140521_Blank-02,Blank,uri
140521_Blank-02,Blank,uri
140521_Blank-02,Blank,gua
140521_Blank-02,Blank,hxan
140521_Blank-02,Blank,tyr-L
140521_Blank-02,Blank,tyr-L
140521_Blank-02,Blank,xan
140521_Blank-02,Blank,ins
140521_Blank-02,Blank,ins
140521_Blank-02,Blank,gsn
140521_Blank-02,Blank,gsn
140521_Blank-02,Blank,thym
140521_Blank-02,Blank,ade
140521_Blank-02,Blank,ade
140521_Blank-02,Blank,gam6p
140521_Blank-02,Blank,gam6p
