experiment_id,time_point,sample_name_abbreviation,met_id,concentration,concentration_var,concentration_units,concentration_lb,concentration_ub,measured,used_,comment_
rpomut02,0,OxicWtGlc,glc_DASH_D_e,,,M,1.00E-15,0.022202487,TRUE,TRUE,
rpomut02,0,OxicWtGlc,mn2_e,,,M,1.00E-15,5.91646E-05,TRUE,TRUE,
rpomut02,0,OxicWtGlc,nh4_e,,,M,1.00E-15,0.001869473,TRUE,TRUE,
rpomut02,0,OxicWtGlc,cbl1_e,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicWtGlc,so4_e,,,M,1.00E-15,0.002123138,TRUE,TRUE,
rpomut02,0,OxicWtGlc,EDTA_e,,,M,1.00E-15,1.61186E-05,TRUE,TRUE,
rpomut02,0,OxicWtGlc,cu2_e,,,M,1.00E-15,2.72083E-05,TRUE,TRUE,
rpomut02,0,OxicWtGlc,k_e,,,M,1.00E-15,0.002204488,TRUE,TRUE,
rpomut02,0,OxicWtGlc,succ_e,,,M,1.00E-15,0.0002,TRUE,TRUE,
rpomut02,0,OxicWtGlc,mobd_e,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicWtGlc,h2o_e,,,M,55.5,55.5,TRUE,TRUE,
rpomut02,0,OxicWtGlc,na1_e,,,M,1.00E-15,0.010467979,TRUE,TRUE,
rpomut02,0,OxicWtGlc,fe2_e,,,M,1.00E-15,0.00001,TRUE,TRUE,
rpomut02,0,OxicWtGlc,fe3_e,,,M,1.00E-15,0.000369959,TRUE,TRUE,
rpomut02,0,OxicWtGlc,fum_e,,,M,1.00E-15,0.0002,TRUE,TRUE,
rpomut02,0,OxicWtGlc,H2PO4_e,,,M,1.00E-15,0.002204488,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,ac_p,,,M,1.00E-15,0.006,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,cl_p,,,M,1.00E-15,0.004139817,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,mg2_p,,,M,1.00E-15,0.001994416,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,cobalt2_p,,,M,1.00E-15,2.52175E-05,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,etoh_p,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,ni2_p,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,lac_DASH_D_p,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,co2_p,,,M,0.0001,0.0001,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,for_p,,,M,1.00E-15,0.001,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,ca2_p,,,M,1.00E-15,0.000100018,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,zn2_p,,,M,1.00E-15,6.9558E-05,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,pi_p,,,M,0.004790082,0.004790082,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,o2_p,,,M,8.20E-06,8.20E-06,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,glc_DASH_D_p,,,M,1.00E-15,0.022202487,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,mn2_p,,,M,1.00E-15,5.91646E-05,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,nh4_p,,,M,1.00E-15,0.001869473,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,cbl1_p,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,so4_p,,,M,1.00E-15,0.002123138,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,EDTA_p,,,M,1.00E-15,1.61186E-05,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,cu2_p,,,M,1.00E-15,2.72083E-05,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,k_p,,,M,1.00E-15,0.002204488,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,succ_p,,,M,1.00E-15,0.0002,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,mobd_p,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,h2o_p,,,M,55.5,55.5,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,na1_p,,,M,1.00E-15,0.010467979,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,fe2_p,,,M,1.00E-15,0.00001,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,fe3_p,,,M,1.00E-15,0.000369959,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,fum_p,,,M,1.00E-15,0.0002,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,H2PO4_p,,,M,1.00E-15,0.002204488,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,ac_p,,,M,1.00E-15,0.006,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,cl_p,,,M,1.00E-15,0.004139817,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,mg2_p,,,M,1.00E-15,0.001994416,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,cobalt2_p,,,M,1.00E-15,2.52175E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,etoh_p,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,ni2_p,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,lac_DASH_D_p,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,co2_p,,,M,0.0001,0.0001,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,for_p,,,M,1.00E-15,0.001,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,ca2_p,,,M,1.00E-15,0.000100018,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,zn2_p,,,M,1.00E-15,6.9558E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,pi_p,,,M,0.004790082,0.004790082,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,o2_p,,,M,8.20E-06,8.20E-06,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,glc_DASH_D_p,,,M,1.00E-15,0.022202487,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,mn2_p,,,M,1.00E-15,5.91646E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,nh4_p,,,M,1.00E-15,0.001869473,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,cbl1_p,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,so4_p,,,M,1.00E-15,0.002123138,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,EDTA_p,,,M,1.00E-15,1.61186E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,cu2_p,,,M,1.00E-15,2.72083E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,k_p,,,M,1.00E-15,0.002204488,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,succ_p,,,M,1.00E-15,0.0002,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,mobd_p,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,h2o_p,,,M,55.5,55.5,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,na1_p,,,M,1.00E-15,0.010467979,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,fe2_p,,,M,1.00E-15,0.00001,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,fe3_p,,,M,1.00E-15,0.000369959,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,fum_p,,,M,1.00E-15,0.0002,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,H2PO4_p,,,M,1.00E-15,0.002204488,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,ac_p,,,M,1.00E-15,0.006,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,cl_p,,,M,1.00E-15,0.004139817,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,mg2_p,,,M,1.00E-15,0.001994416,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,cobalt2_p,,,M,1.00E-15,2.52175E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,etoh_p,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,ni2_p,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,lac_DASH_D_p,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,co2_p,,,M,0.0001,0.0001,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,for_p,,,M,1.00E-15,0.001,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,ca2_p,,,M,1.00E-15,0.000100018,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,zn2_p,,,M,1.00E-15,6.9558E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,pi_p,,,M,0.004790082,0.004790082,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,o2_p,,,M,8.20E-06,8.20E-06,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,glc_DASH_D_p,,,M,1.00E-15,0.022202487,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,mn2_p,,,M,1.00E-15,5.91646E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,nh4_p,,,M,1.00E-15,0.001869473,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,cbl1_p,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,so4_p,,,M,1.00E-15,0.002123138,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,EDTA_p,,,M,1.00E-15,1.61186E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,cu2_p,,,M,1.00E-15,2.72083E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,k_p,,,M,1.00E-15,0.002204488,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,succ_p,,,M,1.00E-15,0.0002,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,mobd_p,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,h2o_p,,,M,55.5,55.5,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,na1_p,,,M,1.00E-15,0.010467979,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,fe2_p,,,M,1.00E-15,0.00001,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,fe3_p,,,M,1.00E-15,0.000369959,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,fum_p,,,M,1.00E-15,0.0002,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,H2PO4_p,,,M,1.00E-15,0.002204488,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,ac_p,,,M,1.00E-15,0.006,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,cl_p,,,M,1.00E-15,0.004139817,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,mg2_p,,,M,1.00E-15,0.001994416,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,cobalt2_p,,,M,1.00E-15,2.52175E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,etoh_p,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,ni2_p,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,lac_DASH_D_p,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,co2_p,,,M,0.0001,0.0001,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,for_p,,,M,1.00E-15,0.001,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,ca2_p,,,M,1.00E-15,0.000100018,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,zn2_p,,,M,1.00E-15,6.9558E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,pi_p,,,M,0.004790082,0.004790082,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,o2_p,,,M,8.20E-06,8.20E-06,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,glc_DASH_D_p,,,M,1.00E-15,0.022202487,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,mn2_p,,,M,1.00E-15,5.91646E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,nh4_p,,,M,1.00E-15,0.001869473,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,cbl1_p,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,so4_p,,,M,1.00E-15,0.002123138,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,EDTA_p,,,M,1.00E-15,1.61186E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,cu2_p,,,M,1.00E-15,2.72083E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,k_p,,,M,1.00E-15,0.002204488,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,succ_p,,,M,1.00E-15,0.0002,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,mobd_p,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,h2o_p,,,M,55.5,55.5,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,na1_p,,,M,1.00E-15,0.010467979,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,fe2_p,,,M,1.00E-15,0.00001,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,fe3_p,,,M,1.00E-15,0.000369959,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,fum_p,,,M,1.00E-15,0.0002,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,H2PO4_p,,,M,1.00E-15,0.002204488,TRUE,TRUE,
rpomut02,0,OxicWtGlc,ac_p,,,M,1.00E-15,0.006,TRUE,TRUE,
rpomut02,0,OxicWtGlc,cl_p,,,M,1.00E-15,0.004139817,TRUE,TRUE,
rpomut02,0,OxicWtGlc,mg2_p,,,M,1.00E-15,0.001994416,TRUE,TRUE,
rpomut02,0,OxicWtGlc,cobalt2_p,,,M,1.00E-15,2.52175E-05,TRUE,TRUE,
rpomut02,0,OxicWtGlc,etoh_p,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
rpomut02,0,OxicWtGlc,ni2_p,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicWtGlc,lac_DASH_D_p,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
rpomut02,0,OxicWtGlc,co2_p,,,M,0.0001,0.0001,TRUE,TRUE,
rpomut02,0,OxicWtGlc,for_p,,,M,1.00E-15,0.001,TRUE,TRUE,
rpomut02,0,OxicWtGlc,ca2_p,,,M,1.00E-15,0.000100018,TRUE,TRUE,
rpomut02,0,OxicWtGlc,zn2_p,,,M,1.00E-15,6.9558E-05,TRUE,TRUE,
rpomut02,0,OxicWtGlc,pi_p,,,M,0.004790082,0.004790082,TRUE,TRUE,
rpomut02,0,OxicWtGlc,o2_p,,,M,8.20E-06,8.20E-06,TRUE,TRUE,
rpomut02,0,OxicWtGlc,glc_DASH_D_p,,,M,1.00E-15,0.022202487,TRUE,TRUE,
rpomut02,0,OxicWtGlc,mn2_p,,,M,1.00E-15,5.91646E-05,TRUE,TRUE,
rpomut02,0,OxicWtGlc,nh4_p,,,M,1.00E-15,0.001869473,TRUE,TRUE,
rpomut02,0,OxicWtGlc,cbl1_p,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicWtGlc,so4_p,,,M,1.00E-15,0.002123138,TRUE,TRUE,
rpomut02,0,OxicWtGlc,EDTA_p,,,M,1.00E-15,1.61186E-05,TRUE,TRUE,
rpomut02,0,OxicWtGlc,cu2_p,,,M,1.00E-15,2.72083E-05,TRUE,TRUE,
rpomut02,0,OxicWtGlc,k_p,,,M,1.00E-15,0.002204488,TRUE,TRUE,
rpomut02,0,OxicWtGlc,succ_p,,,M,1.00E-15,0.0002,TRUE,TRUE,
rpomut02,0,OxicWtGlc,mobd_p,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicWtGlc,h2o_p,,,M,55.5,55.5,TRUE,TRUE,
