id,experiment_id,sample_name,sample_name_abbreviation,sample_type,time_point,dilution,replicate_number,met_id,fragment_formula,fragment_mass,intensity,intensity_units,intensity_corrected,intensity_corrected_units,intensity_normalized,intensity_normalized_units,intensity_theoretical,abs_devFromTheoretical,scan_type,used_,comment_
151694,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,1,Hexose_Pool_fru_glc-D,C6H11O6-,179,,cps,,cps,0.034812578,normMax,1,0.965187422,EPI,t,
151634,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1-1000.0x,OxicWtGlc,Unknown,0,1000,1,Hexose_Pool_fru_glc-D,C6H11O6-,179,46388.21287,cps,29079.59638,cps,0.011763782,normMax,1,0.988236218,MRM,t,
151708,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,1,2,Hexose_Pool_fru_glc-D,C6H11O6-,179,,cps,,cps,0.006628942,normMax,1,0.993371058,EPI,t,
151644,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2-1000.0x,OxicWtGlc,Unknown,0,1000,2,Hexose_Pool_fru_glc-D,C6H11O6-,179,35490.42187,cps,18181.80538,cps,0.006628942,normMax,1,0.993371058,MRM,t,
151722,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,1,3,Hexose_Pool_fru_glc-D,C6H11O6-,179,,cps,,cps,0,normMax,1,,EPI,t,
151654,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3-1000.0x,OxicWtGlc,Unknown,0,1000,3,Hexose_Pool_fru_glc-D,C6H11O6-,179,32159.96013,cps,0,cps,0,normMax,1,,MRM,t,
151736,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,1,4,Hexose_Pool_fru_glc-D,C6H11O6-,179,,cps,,cps,0.010925995,normMax,1,0.989074005,EPI,t,
151664,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4-1000.0x,OxicWtGlc,Unknown,0,1000,4,Hexose_Pool_fru_glc-D,C6H11O6-,179,45548.612,cps,28239.9955,cps,0.010925995,normMax,1,0.989074005,MRM,t,
151750,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,1,5,Hexose_Pool_fru_glc-D,C6H11O6-,179,,cps,,cps,0.009436052,normMax,1,0.990563948,EPI,t,
151674,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5-1000.0x,OxicWtGlc,Unknown,0,1000,5,Hexose_Pool_fru_glc-D,C6H11O6-,179,37922.6618,cps,20614.04531,cps,0.009436052,normMax,1,0.990563948,MRM,t,
151764,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,1,6,Hexose_Pool_fru_glc-D,C6H11O6-,179,,cps,,cps,0,normMax,1,,EPI,t,
151684,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6-1000.0x,OxicWtGlc,Unknown,0,1000,6,Hexose_Pool_fru_glc-D,C6H11O6-,179,29746.21138,cps,0,cps,0,normMax,1,,MRM,t,
151695,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,1,Hexose_Pool_fru_glc-D,C6H11O6-,180,,cps,,cps,0,normMax,0.068445069,,EPI,t,
151635,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1-1000.0x,OxicWtGlc,Unknown,0,1000,1,Hexose_Pool_fru_glc-D,C6H11O6-,180,2474460.599,cps,2471959.882,cps,1,normMax,0.068445069,0.931554931,MRM,t,
151709,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,1,2,Hexose_Pool_fru_glc-D,C6H11O6-,180,,cps,,cps,1,normMax,0.068445069,0.931554931,EPI,t,
151645,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2-1000.0x,OxicWtGlc,Unknown,0,1000,2,Hexose_Pool_fru_glc-D,C6H11O6-,180,2745292.189,cps,2742791.472,cps,1,normMax,0.068445069,0.931554931,MRM,t,
151723,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,1,3,Hexose_Pool_fru_glc-D,C6H11O6-,180,,cps,,cps,1,normMax,0.068445069,0.931554931,EPI,t,
151655,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3-1000.0x,OxicWtGlc,Unknown,0,1000,3,Hexose_Pool_fru_glc-D,C6H11O6-,180,2178181.538,cps,2175680.822,cps,1,normMax,0.068445069,0.931554931,MRM,t,
151737,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,1,4,Hexose_Pool_fru_glc-D,C6H11O6-,180,,cps,,cps,1,normMax,0.068445069,0.931554931,EPI,t,
151665,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4-1000.0x,OxicWtGlc,Unknown,0,1000,4,Hexose_Pool_fru_glc-D,C6H11O6-,180,2587161.875,cps,2584661.158,cps,1,normMax,0.068445069,0.931554931,MRM,t,
151751,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,1,5,Hexose_Pool_fru_glc-D,C6H11O6-,180,,cps,,cps,1,normMax,0.068445069,0.931554931,EPI,t,
151675,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5-1000.0x,OxicWtGlc,Unknown,0,1000,5,Hexose_Pool_fru_glc-D,C6H11O6-,180,2187105.64,cps,2184604.924,cps,1,normMax,0.068445069,0.931554931,MRM,t,
151765,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,1,6,Hexose_Pool_fru_glc-D,C6H11O6-,180,,cps,,cps,1,normMax,0.068445069,0.931554931,EPI,t,
151685,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6-1000.0x,OxicWtGlc,Unknown,0,1000,6,Hexose_Pool_fru_glc-D,C6H11O6-,180,2076287.262,cps,2073786.546,cps,1,normMax,0.068445069,0.931554931,MRM,t,
151696,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,1,Hexose_Pool_fru_glc-D,C6H11O6-,181,,cps,,cps,0.101260679,normMax,0.014320878,0.086939802,EPI,t,
151636,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1-1000.0x,OxicWtGlc,Unknown,0,1000,1,Hexose_Pool_fru_glc-D,C6H11O6-,181,85025.74337,cps,84584.93508,cps,0.034217762,normMax,0.014320878,0.019896885,MRM,t,
151710,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,1,2,Hexose_Pool_fru_glc-D,C6H11O6-,181,,cps,,cps,0.031983235,normMax,0.014320878,0.017662357,EPI,t,
151646,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2-1000.0x,OxicWtGlc,Unknown,0,1000,2,Hexose_Pool_fru_glc-D,C6H11O6-,181,88164.15148,cps,87723.34318,cps,0.031983235,normMax,0.014320878,0.017662357,MRM,t,
151724,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,1,3,Hexose_Pool_fru_glc-D,C6H11O6-,181,,cps,,cps,0.031303472,normMax,0.014320878,0.016982595,EPI,t,
151656,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3-1000.0x,OxicWtGlc,Unknown,0,1000,3,Hexose_Pool_fru_glc-D,C6H11O6-,181,68547.17221,cps,68106.36392,cps,0.031303472,normMax,0.014320878,0.016982595,MRM,t,
151738,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,1,4,Hexose_Pool_fru_glc-D,C6H11O6-,181,,cps,,cps,0,normMax,0.014320878,,EPI,t,
151666,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4-1000.0x,OxicWtGlc,Unknown,0,1000,4,Hexose_Pool_fru_glc-D,C6H11O6-,181,90612,cps,90171.1917,cps,0.034887046,normMax,0.014320878,0.020566168,MRM,t,
151752,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,1,5,Hexose_Pool_fru_glc-D,C6H11O6-,181,,cps,,cps,0.030045224,normMax,0.014320878,0.015724346,EPI,t,
151676,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5-1000.0x,OxicWtGlc,Unknown,0,1000,5,Hexose_Pool_fru_glc-D,C6H11O6-,181,66077.75166,cps,65636.94336,cps,0.030045224,normMax,0.014320878,0.015724346,MRM,t,
151766,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,1,6,Hexose_Pool_fru_glc-D,C6H11O6-,181,,cps,,cps,0.034334924,normMax,0.014320878,0.020014046,EPI,t,
151686,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6-1000.0x,OxicWtGlc,Unknown,0,1000,6,Hexose_Pool_fru_glc-D,C6H11O6-,181,71644.11175,cps,71203.30346,cps,0.034334924,normMax,0.014320878,0.020014046,MRM,t,
