Accuracy For QCs Used,Accuracy For Stds Used,Acq. Index - 1,Baseline Sub. Window,Calc Conc Used,Comment,Expected RT,Experiment,Extraction Type,Group Name,Ion Ratio Tolerance,Ion Ratio Used,IS,Lower Lim Calc Conc,Max Tolerance LLOQ,Max Tolerance QC,Max Tolerance Stds,Min Peak Height,Min Peak Width,Name,Noise Percentage,Peak Splitting Factor,Period,Q1 Mass - 1,Q3 Mass - 1,Regression Type,Regression Weighting,Report Largest Peak,RT Window,Smoothing Width,Units,Update RT,Upper Lim Calc Conc,Use Area
TRUE,TRUE,12,2,TRUE,,0.94,1,MRM,thr-L_m2-1,20,FALSE,FALSE,,20,15,15,0,3,thr-L.thr-L_m2-1,40,2,1,120.0571,75.02756,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,13,2,TRUE,,0.94,1,MRM,thr-L_m2-2,20,FALSE,FALSE,,20,15,15,0,3,thr-L.thr-L_m2-2,40,2,1,120.0571,76.03091,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,15,2,TRUE,,0.94,1,MRM,thr-L_m3-1,20,FALSE,FALSE,,20,15,15,0,3,thr-L.thr-L_m3-1,40,2,1,121.0605,75.02756,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,16,2,TRUE,,0.94,1,MRM,thr-L_m3-2,20,FALSE,FALSE,,20,15,15,0,3,thr-L.thr-L_m3-2,40,2,1,121.0605,76.03091,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,17,2,TRUE,,0.94,1,MRM,thr-L_m4-2,20,FALSE,FALSE,,20,15,15,0,3,thr-L.thr-L_m4-2,40,2,1,122.0638,76.03091,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,18,2,TRUE,,1.22,1,MRM,met-L_m0-0,20,FALSE,FALSE,,20,15,15,0,3,met-L.met-L_m0-0,40,2,1,148.0432,46.99554,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,19,2,TRUE,,1.22,1,MRM,met-L_m1-0,20,FALSE,FALSE,,20,15,15,0,3,met-L.met-L_m1-0,40,2,1,149.0466,46.99554,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,20,2,TRUE,,1.22,1,MRM,met-L_m1-1,20,FALSE,FALSE,,20,15,15,0,3,met-L.met-L_m1-1,40,2,1,149.0466,47.9989,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,21,2,TRUE,,1.22,1,MRM,met-L_m2-0,20,FALSE,FALSE,,20,15,15,0,3,met-L.met-L_m2-0,40,2,1,150.0499,46.99554,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,22,2,TRUE,,1.22,1,MRM,met-L_m2-1,20,FALSE,FALSE,,20,15,15,0,3,met-L.met-L_m2-1,40,2,1,150.0499,47.9989,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,23,2,TRUE,,1.22,1,MRM,met-L_m3-0,20,FALSE,FALSE,,20,15,15,0,3,met-L.met-L_m3-0,40,2,1,151.0533,46.99554,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,24,2,TRUE,,1.22,1,MRM,met-L_m3-1,20,FALSE,FALSE,,20,15,15,0,3,met-L.met-L_m3-1,40,2,1,151.0533,47.9989,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,25,2,TRUE,,1.22,1,MRM,met-L_m4-0,20,FALSE,FALSE,,20,15,15,0,3,met-L.met-L_m4-0,40,2,1,152.0566,46.99554,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,26,2,TRUE,,1.22,1,MRM,met-L_m4-1,20,FALSE,FALSE,,20,15,15,0,3,met-L.met-L_m4-1,40,2,1,152.0566,47.9989,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,27,2,TRUE,,1.22,1,MRM,met-L_m5-1,20,FALSE,FALSE,,20,15,15,0,3,met-L.met-L_m5-1,40,2,1,153.06,47.9989,Linear,None,TRUE,30,0,uM,0,,TRUE
