ms_method_id,q1_mass,q3_mass,met_id,component_name,ms_methodtype
140227_McCloskey2013_13CFlux,104.0348,74.0242,ser-L,ser-L.ser-L_m0-0,isotopomer_13C
140227_McCloskey2013_13CFlux,105.0381,74.0242,ser-L,ser-L.ser-L_m1-0,isotopomer_13C
140227_McCloskey2013_13CFlux,105.0381,75.02756,ser-L,ser-L.ser-L_m1-1,isotopomer_13C
140227_McCloskey2013_13CFlux,106.0415,75.02756,ser-L,ser-L.ser-L_m2-1,isotopomer_13C
140227_McCloskey2013_13CFlux,106.0415,76.03091,ser-L,ser-L.ser-L_m2-2,isotopomer_13C
140227_McCloskey2013_13CFlux,107.0448,76.03091,ser-L,ser-L.ser-L_m3-2,isotopomer_13C
140227_McCloskey2013_13CFlux,118.0504,74.0242,thr-L,thr-L.thr-L_m0-0,isotopomer_13C
140227_McCloskey2013_13CFlux,119.0538,74.0242,thr-L,thr-L.thr-L_m1-0,isotopomer_13C
140227_McCloskey2013_13CFlux,119.0538,75.02756,thr-L,thr-L.thr-L_m1-1,isotopomer_13C
140227_McCloskey2013_13CFlux,120.0571,74.0242,thr-L,thr-L.thr-L_m2-0,isotopomer_13C
140227_McCloskey2013_13CFlux,120.0571,75.02756,thr-L,thr-L.thr-L_m2-1,isotopomer_13C
140227_McCloskey2013_13CFlux,120.0571,76.03091,thr-L,thr-L.thr-L_m2-2,isotopomer_13C
140227_McCloskey2013_13CFlux,121.0605,75.02756,thr-L,thr-L.thr-L_m3-1,isotopomer_13C
140227_McCloskey2013_13CFlux,121.0605,76.03091,thr-L,thr-L.thr-L_m3-2,isotopomer_13C
140227_McCloskey2013_13CFlux,122.0638,76.03091,thr-L,thr-L.thr-L_m4-2,isotopomer_13C
140227_McCloskey2013_13CFlux,148.0432,46.99554,met-L,met-L.met-L_m0-0,isotopomer_13C
140227_McCloskey2013_13CFlux,149.0466,46.99554,met-L,met-L.met-L_m1-0,isotopomer_13C
140227_McCloskey2013_13CFlux,149.0466,47.9989,met-L,met-L.met-L_m1-1,isotopomer_13C
140227_McCloskey2013_13CFlux,150.0499,46.99554,met-L,met-L.met-L_m2-0,isotopomer_13C
140227_McCloskey2013_13CFlux,150.0499,47.9989,met-L,met-L.met-L_m2-1,isotopomer_13C
