id,experiment_id,sample_name,sample_name_abbreviation,sample_type,time_point,replicate_number,met_id,precursor_formula,precursor_mass,product_formula,product_mass,intensity,intensity_units,intensity_corrected,intensity_corrected_units,intensity_normalized,intensity_normalized_units,intensity_theoretical,abs_devFromTheoretical,scan_type,used_,comment_
19005,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,OxicWtGlc,Unknown,0,10,phe-L,C9H10NO2-,164,C9H7O2-,147,20999.99982,cps,20666.66649,cps,1,normMax,1,0,EPI,t,
19118,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-11-10x,OxicWtGlc,Unknown,0,11,phe-L,C9H10NO2-,164,C9H7O2-,147,18666.6665,cps,18333.33317,cps,1,normMax,1,0,EPI,t,
19231,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-12,OxicWtGlc,Unknown,0,12,phe-L,C9H10NO2-,164,C9H7O2-,147,25666.66644,cps,25333.33311,cps,1,normMax,1,0,EPI,t,
19344,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-7,OxicWtGlc,Unknown,0,7,phe-L,C9H10NO2-,164,C9H7O2-,147,11333.33323,cps,10999.9999,cps,1,normMax,1,0,EPI,t,
19511,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-9,OxicWtGlc,Unknown,0,9,phe-L,C9H10NO2-,164,C9H7O2-,147,19999.99983,cps,19666.6665,cps,1,normMax,1,0,EPI,t,
19006,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,OxicWtGlc,Unknown,0,10,phe-L,C9H10NO2-,164,C9H7O2-,148,666.6666609,cps,0,cps,0,normMax,0.098908499,0.098908499,EPI,t,
19119,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-11-10x,OxicWtGlc,Unknown,0,11,phe-L,C9H10NO2-,164,C9H7O2-,148,666.6666609,cps,0,cps,0,normMax,0.098908499,0.098908499,EPI,t,
19232,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-12,OxicWtGlc,Unknown,0,12,phe-L,C9H10NO2-,164,C9H7O2-,148,333.3333304,cps,0,cps,0,normMax,0.098908499,0.098908499,EPI,t,
19345,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-7,OxicWtGlc,Unknown,0,7,phe-L,C9H10NO2-,164,C9H7O2-,148,666.6666609,cps,0,cps,0,normMax,0.098908499,0.098908499,EPI,t,
19512,WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-9,OxicWtGlc,Unknown,0,9,phe-L,C9H10NO2-,164,C9H7O2-,148,333.3333304,cps,0,cps,0,normMax,0.098908499,0.098908499,EPI,t,
