"experiment_id","sample_name_short","time_point","component_group_name","component_name","calculated_concentration","calculated_concentration_units","used_"
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","coa","coa.coa_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","coa","coa.coa_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","ctp","ctp.ctp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","ctp","ctp.ctp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","ctp","ctp.ctp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","ctp","ctp.ctp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","ctp","ctp.ctp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","ctp","ctp.ctp_1.Light",0.000387597704991097,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","dadp","dadp.dadp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","dadp","dadp.dadp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","dadp","dadp.dadp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","dadp","dadp.dadp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","dadp","dadp.dadp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","dadp","dadp.dadp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","datp","datp.datp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","datp","datp.datp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","datp","datp.datp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","datp","datp.datp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","datp","datp.datp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","datp","datp.datp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","dcdp","dcdp.dcdp_2.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","dcdp","dcdp.dcdp_2.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","dcdp","dcdp.dcdp_2.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","dcdp","dcdp.dcdp_2.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","dcdp","dcdp.dcdp_2.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","dcdp","dcdp.dcdp_2.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","dctp","dctp.dctp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","dctp","dctp.dctp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","dctp","dctp.dctp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","dctp","dctp.dctp_1.Light",0.00247394513146165,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","dctp","dctp.dctp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","dhap","dhap.dhap_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","dhap","dhap.dhap_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","dhap","dhap.dhap_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","dhap","dhap.dhap_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","dhap","dhap.dhap_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","dhap","dhap.dhap_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","ditp","ditp.ditp_1.Light",0.0166002816399287,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","ditp","ditp.ditp_1.Light",0.0295164200089126,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","ditp","ditp.ditp_1.Light",0.010415055258467,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","ditp","ditp.ditp_1.Light",0.0206354512032085,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","ditp","ditp.ditp_1.Light",0.0044114653520499,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","ditp","ditp.ditp_1.Light",0.0131027751782531,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","dtmp","dtmp.dtmp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","dtmp","dtmp.dtmp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","dtmp","dtmp.dtmp_1.Light",,"mM",t
