ms_method_id,q1_mass,q3_mass,met_id,component_name,ms_methodtype
140521_McCloskey2013,268,170,23dpg,23dpg.23dpg_1.Heavy,quantification
140521_McCloskey2013,265,167,23dpg,23dpg.23dpg_1.Light,quantification
140521_McCloskey2013,265,177,23dpg,23dpg.23dpg_2.Light,quantification
140521_McCloskey2013,212.0234839,130.0167742,2mcit,2mcit.2mcit_1.Heavy,quantification
140521_McCloskey2013,205,125,2mcit,2mcit.2mcit_1.Light,quantification
140521_McCloskey2013,205,87,2mcit,2mcit.2mcit_2.Light,quantification
140521_McCloskey2013,105.0144194,75.00670968,2obut,2obut.2obut_1.Heavy,quantification
140521_McCloskey2013,101.001,73,2obut,2obut.2obut_1.Light,quantification
140521_McCloskey2013,101.001,32,2obut,2obut.2obut_2.Light,quantification
140521_McCloskey2013,354,155,35cgmp,35cgmp.35cgmp_1.Heavy,quantification
140521_McCloskey2013,344,150,35cgmp,35cgmp.35cgmp_1.Light,quantification
140521_McCloskey2013,344,79,35cgmp,35cgmp.35cgmp_2.Light,quantification
140521_McCloskey2013,133,86,5oxpro,5oxpro.5oxpro_1.Heavy,quantification
140521_McCloskey2013,128,82,5oxpro,5oxpro.5oxpro_1.Light,quantification
140521_McCloskey2013,128,84,5oxpro,5oxpro.5oxpro_2.Light,quantification
140521_McCloskey2013,281,97,6pgc,6pgc.6pgc_1.Heavy,quantification
140521_McCloskey2013,275,97,6pgc,6pgc.6pgc_1.Light,quantification
140521_McCloskey2013,831,79,accoa,accoa.accoa_1.Heavy,quantification
140521_McCloskey2013,808,79,accoa,accoa.accoa_1.Light,quantification
140521_McCloskey2013,179,134,acon-C,acon-C.acon-C_1.Heavy,quantification
140521_McCloskey2013,173,129,acon-C,acon-C.acon-C_1.Light,quantification
140521_McCloskey2013,173,85,acon-C,acon-C.acon-C_2.Light,quantification
140521_McCloskey2013,141,63,actp,actp.actp_1.Heavy,quantification
140521_McCloskey2013,139,63,actp,actp.actp_1.Light,quantification
140521_McCloskey2013,139,79,actp,actp.actp_2.Light,quantification
140521_McCloskey2013,139,111,ade,ade.ade_1.Heavy,quantification
140521_McCloskey2013,133.91,107,ade,ade.ade_1.Light,quantification
140521_McCloskey2013,133.91,92,ade,ade.ade_2.Light,quantification
140521_McCloskey2013,276,139,adn,adn.adn_1.Heavy,quantification
140521_McCloskey2013,265.889,134,adn,adn.adn_1.Light,quantification
140521_McCloskey2013,436,139,adp,adp.adp_1.Heavy,quantification
140521_McCloskey2013,426,134,adp,adp.adp_1.Light,quantification
140521_McCloskey2013,426,79,adp,adp.adp_2.Light,quantification
140521_McCloskey2013,604,356,adpglc,adpglc.adpglc_1.Heavy,quantification
140521_McCloskey2013,588,346,adpglc,adpglc.adpglc_1.Light,quantification
140521_McCloskey2013,588,79,adpglc,adpglc.adpglc_2.Light,quantification
140521_McCloskey2013,266,129,AICAr,AICAr.AICAr_1.Heavy,quantification
140521_McCloskey2013,257,125,AICAr,AICAr.AICAr_1.Light,quantification
140521_McCloskey2013,150,105,akg,akg.akg_1.Heavy,quantification
140521_McCloskey2013,145.098,101,akg,akg.akg_1.Light,quantification
140521_McCloskey2013,91,46,ala-L,ala-L.ala-L_1.Heavy,quantification
140521_McCloskey2013,88,45,ala-L,ala-L.ala-L_1.Light,quantification
140521_McCloskey2013,88,42,ala-L,ala-L.ala-L_2.Light,quantification
140521_McCloskey2013,356,139,amp,amp.amp_1.Heavy,quantification
140521_McCloskey2013,346,134,amp,amp.amp_1.Light,quantification
140521_McCloskey2013,346,79,amp,amp.amp_2.Light,quantification
140521_McCloskey2013,234.0187742,97,ara5p,ara5p.ara5p_1.Heavy,quantification
140521_McCloskey2013,229.002,97,ara5p,ara5p.ara5p_1.Light,quantification
140521_McCloskey2013,229.002,139,ara5p,ara5p.ara5p_2.Light,quantification
140521_McCloskey2013,179,136,arg-L,arg-L.arg-L_1.Heavy,quantification
140521_McCloskey2013,173,131,arg-L,arg-L.arg-L_1.Light,quantification
140521_McCloskey2013,135,118,asn-L,asn-L.asn-L_1.Heavy,quantification
140521_McCloskey2013,131,114,asn-L,asn-L.asn-L_1.Light,quantification
140521_McCloskey2013,131,95,asn-L,asn-L.asn-L_2.Light,quantification
140521_McCloskey2013,136,91,asp-L,asp-L.asp-L_1.Heavy,quantification
140521_McCloskey2013,132,88,asp-L,asp-L.asp-L_1.Light,quantification
140521_McCloskey2013,132,115,asp-L,asp-L.asp-L_2.Light,quantification
140521_McCloskey2013,516,159,atp,atp.atp_1.Heavy,quantification
140521_McCloskey2013,506,408,atp,atp.atp_1.Light,quantification
140521_McCloskey2013,506,159,atp,atp.atp_2.Light,quantification
140521_McCloskey2013,253,43,btn,btn.btn_1.Heavy,quantification
140521_McCloskey2013,243,42,btn,btn.btn_1.Light,quantification
140521_McCloskey2013,243,200,btn,btn.btn_2.Light,quantification
140521_McCloskey2013,338,139,camp,camp.camp_1.Heavy,quantification
