met_id,met_name,formula,hmdb,solubility,solubility_units,mass,cas_number,keggid,structure_file,structure_file_extention
oaa,Oxaloacetate,C4H2O5,http://hmdb.ca/metabolites/HMDB00223,,,132.005875,328-42-7,C00036,,
fum,Fumarate,C4H2O4,http://hmdb.ca/metabolites/HMDB00134,,,116.010956,110-17-8,C00122,,
for,Formate,CH2O2,http://hmdb.ca/metabolites/HMDB00142,,,46.005478,64-18-6,C00058,,
succ,Succinate,C4H4O4,http://hmdb.ca/metabolites/HMDB00254,,,118.026611,110-15-6,C00042,,
mal-L,L-Malate,C4H4O5,http://hmdb.ca/metabolites/HMDB00156,,,134.02153,97-67-6,C00149,,
lac-D,D-Lactate,C3H5O3,http://hmdb.ca/metabolites/HMDB01311,,,90.031693,10326-41-7,C00256,,
12ppd-R,"(R)-Propane-1,2-diol",C3H8O2,,,,,4254-14-2,C02912,,
xyl-D,D-Xylose,C5H10O5,,,,,58-86-6,C00181,,
xylu-D,D-Xylulose,C5H10O5,,,,,551-84-8,C00310,,
glcn,D-Gluconate,C6H11O7,,,,,526-95-4,C00257,,
rib-D,D-Ribose,C5H10O5,,,,,50-69-1,C00121,,
gam6p,D-Glucosamine 6-phosphate,C6H13NO8P,http://hmdb.ca/metabolites/HMDB01254,,,259.045715,3616-42-0,C00352,,
glyald,D-Glyceraldehyde,C3H6O3,,,,,453-17-8,C00577,,
ppal,Propanal,C3H6O,,,,,123-38-6,C00479,,
btal,Butanal,C4H8O,,,,,123-72-8,C01412,,
rbl-L,L-Ribulose,C5H10O5,,,,,,C00508,,
23dpg,3-Phospho-D-glyceroyl phosphate,C3H8O10P2,,,,266.04,,C00236,,
prpp,5-Phospho-alpha-D-ribose 1-diphosphate,C5H13O14P3,,,,390.07,,C00119,,
phpyr,Phenylpyruvate,C9H8O3,http://hmdb.ca/metabolites/HMDB00205,,,164.047348,156-06-9,C00166,,
g1p,D-Glucose 1-phosphate,C6H13O9P,http://hmdb.ca/metabolites/HMDB01586,,,260.029724,59-56-3,C00103,,
man,D-Mannose,C6H12O6,,,,,3458-28-4,C00159,,
ala-D,D-Alanine,C3H7NO2,,,,89.09,338-69-2,C00133,,
leu-L,L-Leucine,C6H13NO2,,,,,61-90-5,C00123,,
val-L,L-Valine,C5H11NO2,,,,,72-18-4,C00183,,
ile-L,L-Isoleucine,C6H13NO2,,,,,73-32-5,C00407,,
tyr-L,L-Tyrosine,C9H11NO3,,,,,,C00082,,
phe-L,L-Phenylalanine,C9H11NO2,,,,,63-91-2,C00079,,
met-L,L-Methionine,C5H11NO2S,,,,,63-68-3,C00073,,
his-L,L-Histidine,C6H9N3O2,,,,,71-00-1,C00135,,
thr-L,L-Threonine,C4H9NO3,,,,,72-19-5,C00188,,
trp-L,L-Tryptophan,C11H12N2O2,,,,204.23,73-22-3,C00078,,
ser-L,L-Serine,C3H7NO3,,,,,56-45-1,C00065,,
cys-L,L-Cysteine,C3H7NO2S,,,,,52-90-4,C00097,,
arg-L,L-Arginine,C6H15N4O2,,,,,74-79-3,C00062,,
gly,Glycine,C2H5NO2,,,,,56-40-6,C00037,,
pro-L,L-Proline,C5H9NO2,,,,,147-85-3,C00148,,
ala-L,L-Alanine,C3H7NO2,,,,,56-41-7,C00041,,
asn-L,L-Asparagine,C4H8N2O3,,,,,70-47-3,C00152,,
asp-L,L-Aspartate,C4H6NO4,,,,,56-84-8,C00049,,
gln-L,L-Glutamine,C5H10N2O3,,,,,56-85-9,C00064,,
lys-L,L-Lysine,C6H15N2O2,,,,,56-87-1,C00047,,
glu-L,L-Glutamate,C5H8NO4,,,,,56-86-0,C00025,,
camp,cAMP,C10H11N5O6P,http://www.hmdb.ca/metabolites/HMDB00058,,,329.052521,,C00575,,
amp,AMP,C10H12N5O7P,http://www.hmdb.ca/metabolites/HMDB00045,,,347.06308,61-19-8,C00020,,
adp,ADP,C10H12N5O10P2,http://hmdb.ca/metabolites/HMDB01341,,,427.029419,58-64-0,C00008,,
atp,ATP,C10H12N5O13P3,http://hmdb.ca/metabolites/HMDB00538,,,506.995758,56-65-5,C00002,,
cmp,CMP,C9H12N3O8P,http://hmdb.ca/metabolites/HMDB00095,,,323.051849,,C00055,,
cdp,CDP,C9H12N3O11P2,http://hmdb.ca/metabolites/HMDB01546,,,403.018188,63-38-7,C00112,,
ctp,CTP,C9H12N3O14P3,http://hmdb.ca/metabolites/HMDB01546,,,482.984497,65-47-4,C00063,,
imp,IMP,C10H11N4O8P,http://hmdb.ca/metabolites/HMDB00175,,,348.047089,131-99-7,C00130,,
itp,ITP,C10H11N4O14P3,http://hmdb.ca/metabolites/HMDB00189,903.5,mg*mL-1,507.979767,132-06-9,C00081,,
gmp,GMP,C10H12N5O8P,http://hmdb.ca/metabolites/HMDB01397,,,363.058014,85-32-5,C00144,,
gdp,GDP,C10H12N5O11P2,http://hmdb.ca/metabolites/HMDB01201,,,443.024323,146-91-8,C00035,,
gtp,GTP,C10H12N5O14P3,http://hmdb.ca/metabolites/HMDB01273,,,522.990662,86-01-1,C00044,,
dtmp,TMP,C10H13N2O8P,http://www.hmdb.ca/metabolites/HMDB01227,,,322.05661,365-07-1,C00364,,
dttp,TTP,C10H17N2O14P3,http://hmdb.ca/metabolites/HMDB01342,7.78,mg*mL-1,481.989258,365-08-2,C00459,,
ump,UMP,C9H11N2O9P,http://hmdb.ca/metabolites/HMDB00288,,,324.035858,,C00105,,
udp,UDP,C9H11N2O12P2,http://hmdb.ca/metabolites/HMDB00295,,,404.002197,58-98-0,C00015,,
adpglc,ADPglucose,C16H25N5O15P2,http://hmdb.ca/metabolites/HMDB06557,,,589.082214,,C00498,,
utp,UTP,C9H11N2O15P3,http://hmdb.ca/metabolites/HMDB00285,,,483.968536,63-39-8,C00075,,
dadp,dADP,C10H15N5O9P2,http://hmdb.ca/metabolites/HMDB01508,,,411.034485,,C00206,,
damp,dAMP,C10H14N5O6P,http://hmdb.ca/metabolites/HMDB00905,,,331.068176,653-63-4,C00360,,
datp,dATP,C10H16N5O12P3,http://hmdb.ca/metabolites/HMDB01532,,,491.000824,1927-31-7,C00131,,
dcdp,dCDP,C9H15N3O10P2,http://hmdb.ca/metabolites/HMDB01245,,,387.023254,,C00705,,
dcmp,dCMP,C9H14N3O7P,http://hmdb.ca/metabolites/HMDB01202,,,307.056946,1032-65-1,C00239,,
dctp,dCTP,C9H16N3O13P3,http://hmdb.ca/metabolites/HMDB00998,,,466.989594,2056-98-6,C00458,,
dgdp,dGDP,C10H15N5O10P2,http://hmdb.ca/metabolites/HMDB00960,,,427.029419,,C00361,,
dgmp,dGMP,C10H14N5O7P,http://hmdb.ca/metabolites/HMDB01044,,,347.06308,902-04-5,C00362,,
dgtp,dGTP,C10H16N5O13P3,http://hmdb.ca/metabolites/HMDB01440,5.59,mg*mL-1,506.995758,2564-35-4,C00286,,
dimp,dIMP,C10H13N4O7P,http://hmdb.ca/metabolites/HMDB06555,,,332.052185,,C06196,,
ditp,dITP,C10H15N4O13P3,http://hmdb.ca/metabolites/HMDB03537,5.04,mg*mL-1,491.984833,,C01345,,
dump,dUMP,C9H13N2O8P,http://hmdb.ca/metabolites/HMDB01409,,,308.040955,964-26-1,C00365,,
dutp,dUTP,C9H15N2O14P3,http://hmdb.ca/metabolites/HMDB01191,,,467.973602,,C00460,,
dtdpglu,dTDPglucose,C16H26N2O16P2,http://hmdb.ca/metabolites/HMDB01328,,,564.075745,2009-24-7,C00842,,
nadp,Nicotinamide adenine dinucleotide phosphate,C21H25N7O17P3,http://hmdb.ca/metabolites/HMDB00217,1.34,mg*mL-1,744.083252,53-59-8,C00006,,
nadph,Nicotinamide adenine dinucleotide phosphate - reduced,C21H26N7O17P3,http://hmdb.ca/metabolites/HMDB00221,,,745.091125,2646-71-1,C00005,,
nad,Nicotinamide adenine dinucleotide,C21H26N7O14P2,http://hmdb.ca/metabolites/HMDB00902,,,664.116943,53-84-9,C00003,,
nadh,Nicotinamide adenine dinucleotide - reduced,C21H27N7O14P2,http://hmdb.ca/metabolites/HMDB01487,,,665.124756,58-68-4,C00004,,
ribflv,Riboflavin,C17H20N4O6,http://hmdb.ca/metabolites/HMDB00244,,,376.138275,83-88-5,C00255,,
btn,Biotin,C10H16N2O3S,http://hmdb.ca/metabolites/HMDB00030,,,244.088165,58-85-5,C00120,,
malcoa,Malonyl-CoA,C24H38N7O19P3S,http://hmdb.ca/metabolites/HMDB01175,,,853.115601,524-14-1,C00083,,
accoa,Acetyl-CoA,C23H34N7O17P3S,http://hmdb.ca/metabolites/HMDB01206,,,809.125793,72-89-9,C00024,,
coa,Coenzyme A,C21H32N7O16P3S,http://www.hmdb.ca/metabolites/HMDB01423,,,767.115234,85-61-0,C00010,,
succoa,Succinyl-CoA,C25H35N7O19P3S,http://hmdb.ca/metabolites/HMDB01022,,,867.131226,604-98-8,C00091,,
thf,Tetrahydrofolate,C19H23N7O6,http://hmdb.ca/metabolites/HMDB01846,,,445.17099,135-16-0,C00101,,
fol,Folate,C19H19N7O6,,,,441.1397,,C00504    ,,
udpg,UDPglucose,C15H24N2O17P2,http://www.hmdb.ca/metabolites/HMDB00286,,,566.054993,133-89-1,C00029,,
udpgal,UDPgalactose,C15H24N2O17P2,http://www.hmdb.ca/metabolites/HMDB00302,,,566.054993,2956-16-3,C00052,,
spmd,Spermidine,C7H19N3,,,,145.25, 334-50-9 ,C00315,,
ptrc,Putrescine,C4H14N2,,,,88.15, 333-93-7 ,C00134,,
sprm,Spermine,C10H30N4,,,,202.34,71-44-3,,,
35cgmp,cGMP,C10H12N5O7P,http://hmdb.ca/metabolites/HMDB01314,,,345.047424,7665-99-8,C00942,,
gthox,Oxidized Glutathione,C20H32N6O12S2,,,,,,C00127,,
gthrd,Reduced Glutathione,C10H17N3O6S,,,,,70-18-8,C00051,,
f1p,D-Fructose 1-phosphate,C6H11O9P,http://hmdb.ca/metabolites/HMDB01076,33.399998,mg*mL-1,260.029724,15978-08-2,C02976,,
idp,IDP,C10H11N4O11P2,http://hmdb.ca/metabolites/HMDB03335,,,428.013428,86-04-4,C00104,,
fad,Flavin adenine dinucleotide oxidized,C27H31N9O15P2,http://hmdb.ca/metabolites/HMDB01248,5,mg*mL-1,785.157104,146-14-5,C00016,,
AICAr,5-Aminoimidazole-4-carboxamide riboside,C9H15N4O8P,,,,257,3031-94-5,C04677,,
ade,Adenine,C5H5N5,,,,,73-24-5,C00147,,
adn,Adenosine,C10H13N5O4,,,,,58-61-7,C00212,,
cytd,Cytidine,C9H13N3O5,,,,,65-46-3,C00475,,
glutacon,Glutaconate,,,,,,,,,
glyclt,Glycolate,C2H4O3,,,,,79-14-1,C00160,,
gua,Guanine,C5H5N5O,,,,,73-40-5,C00242,,
gsn,Guanosine,C10H13N5O5,,,,,118-00-3,C00387,,
hxan,Hypoxanthine,C5H4N4O,,,,,68-94-0,C00262,,
ins,Inosine,C10H12N4O5,,,,,58-63-9,C00294,,
lac-L,L-Lactate,C3H6O3,,,,,79-33-4,C00186,,
mmal,Methylmalonate,,,,,,,,,
thym,Thymine,C5H6N2O2,,,,,65-71-4,C00178,,
ura,Uracil,C4H4N2O2,,,,,66-22-8,C00106,,
urate,Urate,C5H4N4O3,,,,,69-93-2,C00366,,
uri,Uridine,C9H12N2O6,,,,,58-96-8,C00299,,
xan,Xanthine,C5H4N4O2,,,,,69-89-6,C00385,,
2392410,4-hydroxyphenyllactic,,,,,,,,,
2h3mb,2-Hydroxy-3-methylbutyric acid,,,,,,,,,
2h3mv,2-Hydroxy-3-methylpentanoic acid,,,,,,,,,
2hic,Hydroxyisocaproic acid,,,,,,,,,
2obut,2-Oxobutanoate,C4H6O3,,,,,600-18-0,C00109,,
34hpp,3-(4-Hydroxyphenyl)pyruvate,C9H8O4,,,,,,C01179,,
3mob,3-Methyl-2-oxobutanoate,C5H8O3,,,,,,C00141,,
4mop,4-Methyl-2-oxopentanoate,C6H10O3,,,,,,C00233,,
5oxpro,5-Oxoproline,,,,,,,,,
acac,acetoacetate,C4H6O3,,,,,541-50-4,C00164,,
acon-C,cis-Aconitate,C6H6O6,,,,,585-84-2,C00417,,
anserine,beta-Alanyl-N(pai)-methyl-L-histidine,,,,,,,,,
argsuc,N(omega)-(L-Arginino)succinate,C10H18N4O6,,,,,,C03406,,
citr-L,L-Citrulline,C6H13N3O3,,,,,372-75-8,C00327,,
cyst-L,L-Cystathionine,C7H14N2O4S,,,,,56-88-2,C02291,,
G_2mcit,"2-Hydroxybutane-1,2,3-tricarboxylate",,,,,,,,,
G_phlac,Phenyllactate,,,,,,,,,
glx,Glyoxylate,C2H2O3,,,,,298-12-4,C00048,,
hcys-L,L-Homocysteine,C4H9NO2S,,,,,6027-13-0,C00155,,
inost,myo-Inositol,C6H12O6,,,,,87-89-8,C00137,,
L2aadp,L-2-Aminoadipate,,,,,,,,,
Lcystin,L-Cystine,,,,,,,,,
Lhcystin,L-Homocystine,,,,,,,,,
mev-R,(R)-Mevalonate,,,,,,,,,
Nacasp,N-Acetyl-L-aspartate,,,,,,,,,
Nacser,N-Acetyl-L-Serine,,,,,,,,,
Ntigly,N-Tiglylglycine,,,,,,,,,
orn,L-Ornithine,C5H12N2O2,,,,,70-26-8,C01602,,
orot,Orotate,C5H4N2O4,,,,,65-86-1,C00295,,
oxa,Oxalate,C2H2O4,,,,,144-62-7,C00209,,
pser-L,O-Phospho-L-serine,C3H8NO6P,,,,,407-41-0,C01005,,
taur,Taurine,C2H7NO3S,,,,,107-35-7,C00245,,
