met_id,met_name,formula,hmdb,solubility,solubility_units,mass,cas_number,keggid,structure_file,structure_file_extention
pep,Phosphoenolpyruvate,C3H2O6P,http://hmdb.ca/metabolites/HMDB00263,13.200001,mg*mL-1,167.982376,138-08-9,C00074,,
g6p,D-Glucose 6-phosphate,C6H11O9P,http://hmdb.ca/metabolites/HMDB01401,,,260.029724,56-73-5,C00092,,
f6p,D-Fructose 6-phosphate,C6H11O9P,http://hmdb.ca/metabolites/HMDB00124,,,260.029724,643-13-0,C00085,,
6pgl,6-Phosphonoglucono-D-lactone,C6H9O9P,http://hmdb.ca/metabolites/HMDB01127,,,258.014069,,C01236,,
fdp,"D-Fructose 1,6-bisphosphate",C6H10O12P2,http://hmdb.ca/metabolites/HMDB01058,,,324.001129,488-69-7,C00354,,
g3p,Glyceraldehyde 3-phosphate,C3H5O6P,http://hmdb.ca/metabolites/HMDB01112,,,169.998032,142-10-9,C00661,,
dhap,Dihydroxyacetone phosphate,C3H5O6P,http://hmdb.ca/metabolites/HMDB01473,50,mg*mL-1,169.998032,57-04-5,C00111,,
2pg,D-Glycerate 2-phosphate,C3H4O7P,http://hmdb.ca/metabolites/HMDB03391,,,185.992935,,C00631,,
3pg,3-Phospho-D-glycerate,C3H4O7P,http://hmdb.ca/metabolites/HMDB00807,,,185.992935,,C00197,,
6pgc,6-Phospho-D-gluconate,C6H10O10P,http://hmdb.ca/metabolites/HMDB01316,,,276.024628,,C00345,,
ru5p-D,D-Ribulose 5-phosphate,C5H9O8P,http://hmdb.ca/metabolites/HMDB00618,,,230.01915,4151-19-3,C00199,,
glyc3p,Glycerol 3-phosphate,C3H7O6P,http://hmdb.ca/metabolites/HMDB00126,50,mg*mL-1,172.013672,,C00093,,
e4p,D-Erythrose 4-phosphate,C4H7O7P,http://hmdb.ca/metabolites/HMDB01321,,,200.008591,585-18-2,C00279,,
s7p,Sedoheptulose 7-phosphate,C7H13O10P,http://hmdb.ca/metabolites/HMDB01068,30.699999,mg*mL-1,290.040283,,C00281,,
xu5p-D,D-Xylulose 5-phosphate,C5H9O8P,http://hmdb.ca/metabolites/HMDB00868,,,230.01915,,C00231,,
r5p,alpha-D-Ribose 5-phosphate,C5H9O8P,http://hmdb.ca/metabolites/HMDB01548,,,230.01915,4300-28-1,C00117,,
actp,Acetyl phosphate,C2H3O5P,http://www.hmdb.ca/metabolites/HMDB01494,,,139.987457,19926-71-7,C00227,,
man6p,D-Mannose 6-phosphate,C6H13O9P,,50,mg*mL-1,,,C00275,,
man1p,D-Mannose 1-phosphate,C6H13O9P,,,,,,C00636,,
gal1p,alpha-D-Galactose 1-phosphate,C6H13O9P,,50,mg*mL-1,,2255-14-3,C00446,,
pyr,Pyruvate,C3H3O3,http://hmdb.ca/metabolites/HMDB00243,,,88.016045,127-17-3,C00022,,
glc-D,D-Glucose,C6H12O6,http://hmdb.ca/metabolites/HMDB00122,,,180.063385,,C00031,,
cit,Citrate,C6H5O7,http://hmdb.ca/metabolites/HMDB00094,,,192.027008,77-92-9,C00158,,
icit,Isocitrate,C6H5O7,http://hmdb.ca/metabolites/HMDB00193,,,192.027008,30810-51-6,C00311,,
akg,alpha-ketoglutaric acid,C5H4O5,http://hmdb.ca/metabolites/HMDB00208,,,146.02153,328-50-7,C00026,,
ac,Acetate,C2H3O2,http://hmdb.ca/metabolites/HMDB00042,,,60.02113,71-50-1,C00033,,
