experiment_id,time_point,sample_name_abbreviation,met_id,concentration,concentration_var,concentration_units,concentration_lb,concentration_ub,measured,used_,comment_
ALEWt01,0,OxicEvo03Glc,ac_e,,,M,1.00E-15,0.006,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,cl_e,,,M,1.00E-15,0.004139817,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,mg2_e,,,M,1.00E-15,0.001994416,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,cobalt2_e,,,M,1.00E-15,2.52175E-05,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,etoh_e,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,ni2_e,,,M,1.00E-15,0.000001,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,lac_DASH_D_e,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,co2_e,,,M,0.0001,0.0001,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,for_e,,,M,1.00E-15,0.001,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,ca2_e,,,M,1.00E-15,0.000100018,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,zn2_e,,,M,1.00E-15,6.9558E-05,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,pi_e,,,M,0.004790082,0.004790082,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,o2_e,,,M,8.20E-06,8.20E-06,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,glc_DASH_D_e,,,M,1.00E-15,0.022202487,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,mn2_e,,,M,1.00E-15,5.91646E-05,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,nh4_e,,,M,1.00E-15,0.001869473,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,cbl1_e,,,M,1.00E-15,0.000001,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,so4_e,,,M,1.00E-15,0.002123138,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,EDTA_e,,,M,1.00E-15,1.61186E-05,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,cu2_e,,,M,1.00E-15,2.72083E-05,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,k_e,,,M,1.00E-15,0.002204488,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,succ_e,,,M,1.00E-15,0.0002,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,mobd_e,,,M,1.00E-15,0.000001,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,h2o_e,,,M,55.5,55.5,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,na1_e,,,M,1.00E-15,0.010467979,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,fe2_e,,,M,1.00E-15,0.00001,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,fe3_e,,,M,1.00E-15,0.000369959,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,fum_e,,,M,1.00E-15,0.0002,TRUE,TRUE,
ALEWt01,0,OxicEvo03Glc,H2PO4_e,,,M,1.00E-15,0.002204488,TRUE,TRUE,
ALEWt01,0,OxicEvo04Glc,ac_e,,,M,1.00E-15,0.006,TRUE,TRUE,
ALEWt01,0,OxicEvo04Glc,cl_e,,,M,1.00E-15,0.004139817,TRUE,TRUE,
ALEWt01,0,OxicEvo04Glc,mg2_e,,,M,1.00E-15,0.001994416,TRUE,TRUE,
ALEWt01,0,OxicEvo04Glc,cobalt2_e,,,M,1.00E-15,2.52175E-05,TRUE,TRUE,
ALEWt01,0,OxicEvo04Glc,etoh_e,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
ALEWt01,0,OxicEvo04Glc,ni2_e,,,M,1.00E-15,0.000001,TRUE,TRUE,
ALEWt01,0,OxicEvo04Glc,lac_DASH_D_e,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
ALEWt01,0,OxicEvo04Glc,co2_e,,,M,0.0001,0.0001,TRUE,TRUE,
ALEWt01,0,OxicEvo04Glc,for_e,,,M,1.00E-15,0.001,TRUE,TRUE,
ALEWt01,0,OxicEvo04Glc,ca2_e,,,M,1.00E-15,0.000100018,TRUE,TRUE,
