experiment_id,sample_name_abbreviation,sample_type,time_point,met_id,fragment_formula,fragment_mass,n_replicates,intensity_normalized_average,intensity_normalized_cv,intensity_normalized_units,intensity_theoretical,abs_devFromTheoretical,scan_type,used_,comment_
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,23dpg,C3H7O10P2-,265,6,1,0,normMax,1,0,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,23dpg,C3H7O10P2-,266,6,0.355086303,49.02045048,normMax,0.037061534,0.318024769,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,23dpg,C3H7O10P2-,267,0,0,0,normMax,0.021060473,,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,23dpg,C3H7O10P2-,268,4,0.153979342,14.53926927,normMax,0.000757002,0.15322234,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,6pgc,C6H12O10P-,275,6,0.169229465,37.95087615,normMax,1,0.830770535,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,6pgc,C6H12O10P-,276,6,1,0,normMax,0.070083785,0.929916215,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,6pgc,C6H12O10P-,277,6,0.137143646,9.662941592,normMax,0.02265406,0.114489586,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,6pgc,C6H12O10P-,278,6,0.094277324,44.29550316,normMax,0.001467641,0.092809683,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,6pgc,C6H12O10P-,279,6,0.060324569,13.13614983,normMax,0.000233089,0.06009148,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,6pgc,C6H12O10P-,280,6,0.049808298,36.05142318,normMax,1.39E-05,0.049794414,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,6pgc,C6H12O10P-,281,6,0.226892967,6.076059407,normMax,1.44E-06,0.226891529,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,808,0,0,0,normMax,1,,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,808,0,0,0,normMax,1,,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,809,0,0,0,normMax,0.293354022,,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,809,6,0.050316116,23.26594932,normMax,0.293354022,0.243037907,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,810,0,0,0,normMax,0.121727832,,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,810,6,0.122187413,7.846717446,normMax,0.121727832,0.000459581,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,811,0,0,0,normMax,0.02692922,,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,811,6,0.287598938,5.965177315,normMax,0.02692922,0.260669718,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,812,0,0,0,normMax,0.005841066,,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,812,6,0.492785591,7.709050908,normMax,0.005841066,0.486944525,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,813,6,0.724591729,9.965475235,normMax,0.000980469,0.72361126,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,813,6,0.729056825,9.913353119,normMax,0.000980469,0.728076356,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,814,6,0.870111784,2.397151846,normMax,0.000152492,0.869959293,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,814,6,0.873747946,1.80916422,normMax,0.000152492,0.873595454,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,815,6,0.975943939,3.545953628,normMax,2.05E-05,0.975923402,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,815,6,0.98196751,3.576521696,normMax,2.05E-05,0.981946973,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,816,6,0.963756078,5.349173953,normMax,2.55E-06,0.963753524,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,816,6,0.95781053,6.021193176,normMax,2.55E-06,0.957807977,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,817,6,0.769047037,7.882674405,normMax,2.84E-07,0.769046752,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,817,6,0.77367727,7.670200843,normMax,2.84E-07,0.773676985,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,818,6,0.6760332,3.894218509,normMax,2.66E-08,0.676033174,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,818,6,0.678614575,4.644916408,normMax,2.66E-08,0.678614548,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,819,0,0,0,normMax,2.46E-09,,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,819,6,0.493058624,4.265931991,normMax,2.46E-09,0.493058622,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,820,0,0,0,normMax,8.70E-11,,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,820,6,0.339785222,5.851140369,normMax,8.70E-11,0.339785222,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,821,0,0,0,normMax,7.50E-12,,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,821,6,0.213237203,8.866521553,normMax,7.50E-12,0.213237203,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,822,0,0,0,normMax,,,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,822,6,0.124047541,7.898422154,normMax,,,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,823,0,0,0,normMax,,,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,823,6,0.063966713,17.49389125,normMax,,,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,824,0,0,0,normMax,,,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,824,6,0.026901944,18.80739906,normMax,,,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,825,0,0,0,normMax,,,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,825,6,0.016415195,33.76547411,normMax,,,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,826,0,0,0,normMax,,,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,826,6,0.013621779,48.21856819,normMax,,,MRM,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,827,0,0,0,normMax,,,EPI,t,
WTEColi_113C80_U13C20_01,OxicWtGlc,Unknown,0,accoa,C23H37N7O17P3S-,827,5,0.012436014,41.72611954,normMax,,,MRM,t,
