exp_type_id,id,metabolomics_sample_name,metabolomics_experimentor_id,extraction_method_id,acquisition_method_id,quantitation_method_id,metabolomics_is_id
4,ALEWt01,131210_Blank-01,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_Blank-02,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM1_Level12,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM1_Level11,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM1_Level10,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM1_Level9,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM1_Level8,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM1_Level7,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM1_Level6,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM1_Level5,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM1_Level4,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM1_Level3,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM1_Level2,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM1_Level1,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM2_Level12,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM2_Level11,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM2_Level10,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM2_Level9,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM2_Level8,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM2_Level7,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM2_Level6,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM2_Level5,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM2_Level4,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM2_Level3,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM2_Level2,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM2_Level1,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM3_Level12,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM3_Level11,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM3_Level10,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM3_Level9,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM3_Level8,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM3_Level7,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM3_Level6,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM3_Level5,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM3_Level4,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM3_Level3,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM3_Level2,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131210_CM3_Level1,2,,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_QC-1-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_QC-1,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicWTEcoliGlcM9_Filtrate-1-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicWTEcoliGlcM9_Broth-1-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicWTEcoliGlcM9_Broth-2-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicWTEcoliGlcM9_Broth-3-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Filtrate-1-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-3-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo04EcoliGlcM9_Filtrate-1-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo04EcoliGlcM9_Broth-1-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo04EcoliGlcM9_Broth-2-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo04EcoliGlcM9_Broth-3-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo08EcoliGlcM9_Filtrate-1-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo08EcoliGlcM9_Broth-1-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo08EcoliGlcM9_Broth-2-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo08EcoliGlcM9_Broth-3-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo09EcoliGlcM9_Filtrate-1-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo09EcoliGlcM9_Broth-1-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo09EcoliGlcM9_Broth-2-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo09EcoliGlcM9_Broth-3-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_QC-2-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_QC-2,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicWTEcoliGlcM9_Filtrate-1,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicWTEcoliGlcM9_Broth-1,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicWTEcoliGlcM9_Broth-2,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicWTEcoliGlcM9_Broth-3,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Filtrate-1,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
