"experiment_id","sample_name_abbreviation","time_point","component_group_name","component_name","n_replicates_broth","calculated_concentration_broth_average","calculated_concentration_broth_cv","n_replicates_filtrate","calculated_concentration_filtrate_average","calculated_concentration_filtrate_cv","n_replicates","calculated_concentration_average","calculated_concentration_cv","calculated_concentration_units","extracellular_percent","used_"
"rpomut02","OxicRph-pyrE82","0","ser-L","ser-L.ser-L_1.Light",4,0.21693842825,20.7406875307144,2,0.023036833,0,4,0.19390159525,23.2048227758846,"mM",10.6190651355934,t
"rpomut02","OxicRph-pyrE82","0","skm","skm.skm_1.Light",4,0.002739048,12.4024410751334,0,0,0,4,0.002739048,12.4024410751334,"mM",0,t
"rpomut02","OxicRph-pyrE82","0","succ","succ.succ_1.Light",4,0.38735241175,10.1823628085474,2,0.05359512,0,4,0.33375729175,11.8174580412125,"mM",13.8362685694573,t
"rpomut02","OxicRph-pyrE82","0","succoa","succoa.succoa_1.Light",4,41.6305643575,43.2288398133648,2,13.92085744,0,4,27.7097069175,64.9462299730707,"height_ratio",33.4390312858972,t
"rpomut02","OxicRph-pyrE82","0","thr-L","thr-L.thr-L_1.Light",4,0.2725683115,16.4401069437245,0,0,0,4,0.2725683115,16.4401069437245,"mM",0,t
"rpomut02","OxicRph-pyrE82","0","thym","thym.thym_1.Light",4,0.014792856,19.782633167211,2,0.00146665,0,4,0.013326206,21.9598619249452,"mM",9.91458309335263,t
"rpomut02","OxicRph-pyrE82","0","trp-L","trp-L.trp-L_1.Light",4,0.005362701,39.9027838738086,0,0,0,4,0.005362701,39.9027838738086,"mM",0,t
"rpomut02","OxicRph-pyrE82","0","tyr-L","tyr-L.tyr-L_1.Light",4,0.028366395,8.97850456929425,2,0.001324841,0,4,0.027041554,9.41838649960374,"mM",4.67045953495324,t
"rpomut02","OxicRph-pyrE82","0","udp","udp.udp_1.Light",4,0.09357350775,20.6567682233013,0,0,0,4,0.09357350775,20.6567682233013,"mM",0,t
"rpomut02","OxicRph-pyrE82","0","udpg","udpg.udpg_1.Light",4,0.41278353125,8.6150499108273,2,0.003408426,0,4,0.40937510525,8.68677816135057,"mM",0.82571753521235,t
