id,experiment_id,sample_name,sample_name_abbreviation,sample_type,time_point,replicate_number,met_id,precursor_formula,precursor_mass,product_formula,product_mass,intensity,intensity_units,intensity_corrected,intensity_corrected_units,intensity_normalized,intensity_normalized_units,intensity_theoretical,abs_devFromTheoretical,scan_type,used_,comment_
36154,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,179,7411.249936,cps,6793.645774,cps,1,normMax,1,0,EPI,t,
36252,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,179,4205.590241,cps,3823.263856,cps,1,normMax,1,0,EPI,t,
36350,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,179,9999.305469,cps,9499.340195,cps,1,normMax,1,0,EPI,t,
36448,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,179,7293.611048,cps,6381.909667,cps,1,normMax,1,0,EPI,t,
36546,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,179,5146.701344,cps,4411.458295,cps,1,normMax,1,0,EPI,t,
36644,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,179,8940.555478,cps,8381.77076,cps,1,normMax,1,0,EPI,t,
36155,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,180,0,cps,0,cps,0,normMax,0.068445069,,EPI,t,
36253,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,180,382.3263856,cps,0,cps,0,normMax,0.068445069,,EPI,t,
36351,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,180,0,cps,0,cps,0,normMax,0.068445069,,EPI,t,
36449,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,180,0,cps,0,cps,0,normMax,0.068445069,,EPI,t,
36547,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,180,0,cps,0,cps,0,normMax,0.068445069,,EPI,t,
36645,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,180,0,cps,0,cps,0,normMax,0.068445069,,EPI,t,
36156,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,181,0,cps,0,cps,0,normMax,0.014320878,,EPI,t,
36254,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,181,0,cps,0,cps,0,normMax,0.014320878,,EPI,t,
36352,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,181,0,cps,0,cps,0,normMax,0.014320878,,EPI,t,
36450,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,181,0,cps,0,cps,0,normMax,0.014320878,,EPI,t,
36548,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,181,0,cps,0,cps,0,normMax,0.014320878,,EPI,t,
36646,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,181,0,cps,0,cps,0,normMax,0.014320878,,EPI,t,
36157,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,182,0,cps,0,cps,0,normMax,0.000871145,,EPI,t,
36255,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,182,0,cps,0,cps,0,normMax,0.000871145,,EPI,t,
36353,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,Hexose_Pool_fru_glc-D,C6H11O6-,179,C6H11O6-,182,0,cps,0,cps,0,normMax,0.000871145,,EPI,t,
