experiment_id,sample_name_short,time_point,component_group_name,component_name,calculated_concentration,calculated_concentration_units,used_
rpomut02,OxicRph-pyrE82_Broth-6,0,adp,adp.adp_1.Light,0.202336623,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,adpglc,adpglc.adpglc_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,adpglc,adpglc.adpglc_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,adpglc,adpglc.adpglc_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,adpglc,adpglc.adpglc_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,adpglc,adpglc.adpglc_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,adpglc,adpglc.adpglc_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,AICAr,AICAr.AICAr_1.Light,,height_ratio,t
rpomut02,OxicRph-pyrE82_Broth-2,0,AICAr,AICAr.AICAr_1.Light,,height_ratio,t
rpomut02,OxicRph-pyrE82_Broth-3,0,AICAr,AICAr.AICAr_1.Light,,height_ratio,t
rpomut02,OxicRph-pyrE82_Broth-4,0,AICAr,AICAr.AICAr_1.Light,,height_ratio,t
rpomut02,OxicRph-pyrE82_Broth-5,0,AICAr,AICAr.AICAr_1.Light,,height_ratio,t
rpomut02,OxicRph-pyrE82_Broth-6,0,AICAr,AICAr.AICAr_1.Light,,height_ratio,t
rpomut02,OxicRph-pyrE82_Broth-1,0,akg,akg.akg_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,akg,akg.akg_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,akg,akg.akg_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,akg,akg.akg_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,akg,akg.akg_1.Light,0.008646797,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,akg,akg.akg_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,amp,amp.amp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,amp,amp.amp_1.Light,0.030349799,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,amp,amp.amp_1.Light,0.037615036,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,amp,amp.amp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,amp,amp.amp_1.Light,0.024914786,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,amp,amp.amp_1.Light,0.043321316,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,asn-L,asn-L.asn-L_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,asn-L,asn-L.asn-L_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,asn-L,asn-L.asn-L_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,asn-L,asn-L.asn-L_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,asn-L,asn-L.asn-L_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,asn-L,asn-L.asn-L_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,atp,atp.atp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,atp,atp.atp_1.Light,1.204254575,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,atp,atp.atp_1.Light,0.759173092,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,atp,atp.atp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,atp,atp.atp_1.Light,0.886271819,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,atp,atp.atp_1.Light,0.770389724,mM,t
