experiment_id,sample_name_abbreviation,time_point,component_group_name,component_name,n_replicates_broth,calculated_concentration_broth_average,calculated_concentration_broth_cv,n_replicates_filtrate,calculated_concentration_filtrate_average,calculated_concentration_filtrate_cv,n_replicates,calculated_concentration_average,calculated_concentration_cv,calculated_concentration_units,extracellular_percent,used_
recoveryExperiment01,CF,0,23dpg,23dpg.23dpg_1.Light,8,947541.06,13.14845181,0,0,0,8,947541.06,13.14845181,height_ratio,0,TRUE
recoveryExperiment01,DE,0,23dpg,23dpg.23dpg_1.Light,8,922462.2054,18.65133753,0,0,0,8,922462.2054,18.65133753,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,23dpg,23dpg.23dpg_1.Light,8,673019.9036,41.56528266,0,0,0,8,673019.9036,41.56528266,height_ratio,0,TRUE
recoveryExperiment01,SST,0,23dpg,23dpg.23dpg_1.Light,8,1064778.344,31.9069501,0,0,0,8,1064778.344,31.9069501,height_ratio,0,TRUE
recoveryExperiment01,CF,0,35cgmp,35cgmp.35cgmp_1.Light,8,23935.17306,26.05563547,0,0,0,8,23935.17306,26.05563547,height_ratio,0,TRUE
recoveryExperiment01,DE,0,35cgmp,35cgmp.35cgmp_1.Light,8,21502.92496,20.84686882,0,0,0,8,21502.92496,20.84686882,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,35cgmp,35cgmp.35cgmp_1.Light,8,21104.57599,20.6001057,0,0,0,8,21104.57599,20.6001057,height_ratio,0,TRUE
recoveryExperiment01,SST,0,35cgmp,35cgmp.35cgmp_1.Light,8,22587.91737,22.67366285,0,0,0,8,22587.91737,22.67366285,height_ratio,0,TRUE
recoveryExperiment01,CF,0,5oxpro,5oxpro.5oxpro_1.Light,8,63293.1608,4.033269695,0,0,0,8,63293.1608,4.033269695,height_ratio,0,TRUE
recoveryExperiment01,DE,0,5oxpro,5oxpro.5oxpro_1.Light,8,66261.59857,8.509930854,0,0,0,8,66261.59857,8.509930854,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,5oxpro,5oxpro.5oxpro_1.Light,8,62702.90729,22.44306876,0,0,0,8,62702.90729,22.44306876,height_ratio,0,TRUE
recoveryExperiment01,SST,0,5oxpro,5oxpro.5oxpro_1.Light,8,59920.17552,12.77734907,0,0,0,8,59920.17552,12.77734907,height_ratio,0,TRUE
recoveryExperiment01,CF,0,6pgc,6pgc.6pgc_1.Light,8,47144.80013,24.24307797,0,0,0,8,47144.80013,24.24307797,height_ratio,0,TRUE
recoveryExperiment01,DE,0,6pgc,6pgc.6pgc_1.Light,8,50085.36606,31.55321284,0,0,0,8,50085.36606,31.55321284,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,6pgc,6pgc.6pgc_1.Light,8,48936.20096,39.2125975,0,0,0,8,48936.20096,39.2125975,height_ratio,0,TRUE
recoveryExperiment01,SST,0,6pgc,6pgc.6pgc_1.Light,8,45465.64044,31.18759788,0,0,0,8,45465.64044,31.18759788,height_ratio,0,TRUE
recoveryExperiment01,CF,0,accoa,accoa.accoa_1.Light,8,408270.9822,9.579919229,0,0,0,8,408270.9822,9.579919229,height_ratio,0,TRUE
recoveryExperiment01,DE,0,accoa,accoa.accoa_1.Light,8,369275.3879,13.78861177,0,0,0,8,369275.3879,13.78861177,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,accoa,accoa.accoa_1.Light,8,356824.1053,24.60848546,0,0,0,8,356824.1053,24.60848546,height_ratio,0,TRUE
recoveryExperiment01,SST,0,accoa,accoa.accoa_1.Light,8,400524.8032,20.293594,0,0,0,8,400524.8032,20.293594,height_ratio,0,TRUE
recoveryExperiment01,CF,0,acon-C,acon-C.acon-C_1.Light,8,1080988.659,4.73241764,0,0,0,8,1080988.659,4.73241764,height_ratio,0,TRUE
recoveryExperiment01,DE,0,acon-C,acon-C.acon-C_1.Light,8,1086574.469,9.939960758,0,0,0,8,1086574.469,9.939960758,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,acon-C,acon-C.acon-C_1.Light,8,1009133.748,20.18805248,0,0,0,8,1009133.748,20.18805248,height_ratio,0,TRUE
recoveryExperiment01,SST,0,acon-C,acon-C.acon-C_1.Light,8,1069035.117,12.595527,0,0,0,8,1069035.117,12.595527,height_ratio,0,TRUE
recoveryExperiment01,CF,0,actp,actp.actp_1.Light,8,32176.22668,8.574447087,0,0,0,8,32176.22668,8.574447087,height_ratio,0,TRUE
recoveryExperiment01,DE,0,actp,actp.actp_1.Light,8,33284.36397,15.56736029,0,0,0,8,33284.36397,15.56736029,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,actp,actp.actp_1.Light,8,40373.33847,24.24219402,0,0,0,8,40373.33847,24.24219402,height_ratio,0,TRUE
recoveryExperiment01,SST,0,actp,actp.actp_1.Light,8,49189.07857,19.60543161,0,0,0,8,49189.07857,19.60543161,height_ratio,0,TRUE
recoveryExperiment01,CF,0,ade,ade.ade_1.Light,8,1269281.918,5.076275271,0,0,0,8,1269281.918,5.076275271,height_ratio,0,TRUE
recoveryExperiment01,DE,0,ade,ade.ade_1.Light,8,1226067.084,6.787222858,0,0,0,8,1226067.084,6.787222858,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,ade,ade.ade_1.Light,8,1019777.89,10.699871,0,0,0,8,1019777.89,10.699871,height_ratio,0,TRUE
recoveryExperiment01,SST,0,ade,ade.ade_1.Light,8,1359525.289,9.197212105,0,0,0,8,1359525.289,9.197212105,height_ratio,0,TRUE
recoveryExperiment01,CF,0,adn,adn.adn_1.Light,8,1264986.068,8.913289985,0,0,0,8,1264986.068,8.913289985,height_ratio,0,TRUE
recoveryExperiment01,DE,0,adn,adn.adn_1.Light,8,1248844.286,9.324170709,0,0,0,8,1248844.286,9.324170709,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,adn,adn.adn_1.Light,8,1354771.218,21.1852862,0,0,0,8,1354771.218,21.1852862,height_ratio,0,TRUE
recoveryExperiment01,SST,0,adn,adn.adn_1.Light,8,1271684.242,15.07993989,0,0,0,8,1271684.242,15.07993989,height_ratio,0,TRUE
recoveryExperiment01,CF,0,adp,adp.adp_1.Light,8,22816.86727,17.12199312,0,0,0,8,22816.86727,17.12199312,height_ratio,0,TRUE
recoveryExperiment01,DE,0,adp,adp.adp_1.Light,8,28511.07781,17.49818351,0,0,0,8,28511.07781,17.49818351,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,adp,adp.adp_1.Light,8,27462.10678,24.53952268,0,0,0,8,27462.10678,24.53952268,height_ratio,0,TRUE
recoveryExperiment01,SST,0,adp,adp.adp_1.Light,8,20911.79412,22.10792723,0,0,0,8,20911.79412,22.10792723,height_ratio,0,TRUE
recoveryExperiment01,CF,0,adpglc,adpglc.adpglc_1.Light,7,8105.714286,18.04824395,0,0,0,7,8105.714286,18.04824395,height_ratio,0,TRUE
recoveryExperiment01,DE,0,adpglc,adpglc.adpglc_1.Light,6,6430.933723,12.79625043,0,0,0,6,6430.933723,12.79625043,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,adpglc,adpglc.adpglc_1.Light,7,7700.946796,12.31375172,0,0,0,7,7700.946796,12.31375172,height_ratio,0,TRUE
recoveryExperiment01,SST,0,adpglc,adpglc.adpglc_1.Light,7,9182.061011,13.0307625,0,0,0,7,9182.061011,13.0307625,height_ratio,0,TRUE
recoveryExperiment01,CF,0,AICAr,AICAr.AICAr_1.Light,8,348.9976973,31.01414485,0,0,0,8,348.9976973,31.01414485,height_ratio,0,TRUE
recoveryExperiment01,DE,0,AICAr,AICAr.AICAr_1.Light,8,363.6100619,19.15835343,0,0,0,8,363.6100619,19.15835343,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,AICAr,AICAr.AICAr_1.Light,8,549.9214277,67.1483706,0,0,0,8,549.9214277,67.1483706,height_ratio,0,TRUE
recoveryExperiment01,SST,0,AICAr,AICAr.AICAr_1.Light,8,342.2180786,32.93428936,0,0,0,8,342.2180786,32.93428936,height_ratio,0,TRUE
recoveryExperiment01,CF,0,akg,akg.akg_1.Light,8,106567.0106,9.840486047,0,0,0,8,106567.0106,9.840486047,height_ratio,0,TRUE
recoveryExperiment01,DE,0,akg,akg.akg_1.Light,8,109372.0468,12.41967243,0,0,0,8,109372.0468,12.41967243,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,akg,akg.akg_1.Light,8,197629.4207,22.1877954,0,0,0,8,197629.4207,22.1877954,height_ratio,0,TRUE
recoveryExperiment01,SST,0,akg,akg.akg_1.Light,8,87031.18223,15.43772064,0,0,0,8,87031.18223,15.43772064,height_ratio,0,TRUE
recoveryExperiment01,CF,0,ala-L,ala-L.ala-L_1.Light,8,2542.09909,9.932349336,0,0,0,8,2542.09909,9.932349336,height_ratio,0,TRUE
recoveryExperiment01,DE,0,ala-L,ala-L.ala-L_1.Light,8,2402.275202,18.70434611,0,0,0,8,2402.275202,18.70434611,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,ala-L,ala-L.ala-L_1.Light,8,2255.564264,16.16865165,0,0,0,8,2255.564264,16.16865165,height_ratio,0,TRUE
recoveryExperiment01,SST,0,ala-L,ala-L.ala-L_1.Light,8,2509.950999,12.12876505,0,0,0,8,2509.950999,12.12876505,height_ratio,0,TRUE
recoveryExperiment01,CF,0,amp,amp.amp_1.Light,8,141008.8977,10.73781683,0,0,0,8,141008.8977,10.73781683,height_ratio,0,TRUE
recoveryExperiment01,DE,0,amp,amp.amp_1.Light,8,143433.5539,18.6681436,0,0,0,8,143433.5539,18.6681436,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,amp,amp.amp_1.Light,8,147838.8204,32.03640496,0,0,0,8,147838.8204,32.03640496,height_ratio,0,TRUE
recoveryExperiment01,SST,0,amp,amp.amp_1.Light,8,144008.8498,19.14150128,0,0,0,8,144008.8498,19.14150128,height_ratio,0,TRUE
recoveryExperiment01,CF,0,arg-L,arg-L.arg-L_1.Light,8,1397980.084,3.782486723,0,0,0,8,1397980.084,3.782486723,height_ratio,0,TRUE
recoveryExperiment01,DE,0,arg-L,arg-L.arg-L_1.Light,8,1333790.829,6.527014043,0,0,0,8,1333790.829,6.527014043,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,arg-L,arg-L.arg-L_1.Light,8,641844.0861,14.19113744,0,0,0,8,641844.0861,14.19113744,height_ratio,0,TRUE
recoveryExperiment01,SST,0,arg-L,arg-L.arg-L_1.Light,8,1414697.98,9.847984173,0,0,0,8,1414697.98,9.847984173,height_ratio,0,TRUE
recoveryExperiment01,CF,0,asn-L,asn-L.asn-L_1.Light,8,724167.7307,7.281986562,0,0,0,8,724167.7307,7.281986562,height_ratio,0,TRUE
recoveryExperiment01,DE,0,asn-L,asn-L.asn-L_1.Light,8,657695.3248,5.180188018,0,0,0,8,657695.3248,5.180188018,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,asn-L,asn-L.asn-L_1.Light,8,498961.9281,16.48992317,0,0,0,8,498961.9281,16.48992317,height_ratio,0,TRUE
recoveryExperiment01,SST,0,asn-L,asn-L.asn-L_1.Light,8,750039.5349,8.646035474,0,0,0,8,750039.5349,8.646035474,height_ratio,0,TRUE
recoveryExperiment01,CF,0,asp-L,asp-L.asp-L_1.Light,8,92549.60797,3.042358556,0,0,0,8,92549.60797,3.042358556,height_ratio,0,TRUE
recoveryExperiment01,DE,0,asp-L,asp-L.asp-L_1.Light,8,103562.7159,12.20050438,0,0,0,8,103562.7159,12.20050438,height_ratio,0,TRUE
recoveryExperiment01,FSF,0,asp-L,asp-L.asp-L_1.Light,8,110622.4792,25.38555196,0,0,0,8,110622.4792,25.38555196,height_ratio,0,TRUE
