sample_id,sample_label,ph,box,pos
140221_0_OxicWTEcoliGlcM9_Broth-1,WT12C01,7,8,45
140221_0_OxicWTEcoliGlcM9_Broth-2,WT12C02,7,8,46
140221_0_OxicWTEcoliGlcM9_Broth-3,WT12C03,7,8,47
140221_0_OxicWTEcoliGlcM9_Broth-4,WT12C01,7,8,45
140221_0_OxicWTEcoliGlcM9_Broth-5,WT12C02,7,8,46
140221_0_OxicWTEcoliGlcM9_Broth-6,WT12C03,7,8,47
140228_Null_OxicWTEcoliGlcM9_Broth-3,Blank,7,,
140228_Null_OxicWTEcoliGlcM9_Broth-6,Blank,7,,
140221_0_OxicWTEcoliGlcM9_MRMQC-1,MRMQC,7,,
140221_0_OxicWTEcoliGlcM9_MRMQC-2,MRMQC,7,,
140221_0_OxicWTEcoliGlcM9_MRMQC-3,MRMQC,7,,
140221_0_OxicWTEcoliGlcM9_ERQC-1,ERQC,7,,
140221_0_OxicWTEcoliGlcM9_ERQC-2,ERQC,7,,
140221_0_OxicWTEcoliGlcM9_ERQC-3,ERQC,7,,
