experiment_id,model_id,mapping_id,sample_name_abbreviation,time_point,flux_units,used_,comment_,rxn_id,rxn_id_INCA,rxn_equation,flux_average,flux_stdev,flux_lb,flux_ub,flux_difference
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,aaSyn,HisSYN,R39,10fthf_c + prpp_c + gln_DASH_L_c + 4*atp_c + asp_DASH_L_c -> 2*nadh_c + his_DASH_L_c + akg_c + fum_c,0.0633,7.11E-04,0.0615,0.0651,0.0036
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,split;,ICDHyr,R40,icit_c -> akg_c + nadph_c + co2_c,2.7228,0.8711,1.6181,6.059,4.4409
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,split;,ICDHyr_reverse,R41,akg_c + nadph_c + co2_c -> icit_c,1.00E-07,0.5824,0,2.4291,2.4291
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,split;,ICL,R42,icit_c -> succ_c + glx_c,0.4599,0.273,0,1.1092,1.1092
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,aaSyn,IleSYN,R43,glu_DASH_L_c + pyr_c + nadph_c + thr_DASH_L_c -> ile_DASH_L_c + co2_c + akg_c + nh4_c,0.1941,0.0022,0.1887,0.1995,0.0108
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,aaSyn,LeuSYN,R44,glu_DASH_L_c + pyr_c + pyr_c + nadph_c + accoa_c -> nadh_c + leu_DASH_L_c + co2_c + co2_c + akg_c,0.301,0.0034,0.2925,0.3094,0.0169
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,MALS,R45,glx_c + accoa_c -> mal_DASH_L_c,0.4599,0.273,0,1.1092,1.1092
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,MDH,R46,mal_DASH_L_c -> oaa_c + nadh_c,1.00E+03,22.0384,233.2327,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,MDH_reverse,R47,oaa_c + nadh_c -> mal_DASH_L_c,998.8869,22.033,232.2496,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,ME1,R48,mal_DASH_L_c -> pyr_c + co2_c + nadph_c,1.3404,31.1611,0,2.8226,2.8226
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,ME2,R49,mal_DASH_L_c -> pyr_c + nadh_c + co2_c,0.6919,31.166,0,2.8227,2.8227
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,aaSyn,MetSYN,R50,succoa_c + atp_c + methf_c + asp_DASH_L_c + 2*nadph_c + cys_DASH_L_c -> pyr_c + succ_c + met_DASH_L_c + nh4_c,0.1027,0.0012,0.0998,0.1056,0.0058
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,MlthfSYN,R51,gly_c -> nadh_c + co2_c + mlthf_c + nh4_c,0.0341,0.0546,0.0331,0.1277,0.0946
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,MlthfSYN_reverse,R52,nadh_c + co2_c + mlthf_c + nh4_c -> gly_c,1.00E-07,0.2323,0,0.0936,0.0936
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,MTHFC,R53,mlthf_c -> 10fthf_c + nadph_c,0.0633,7.11E-04,0.0615,0.0651,0.0036
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,MTHFD,R54,nadh_c + mlthf_c -> methf_c,0.1027,0.0012,0.0998,0.1056,0.0058
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,NADH_CYTBD_HYD_ATPS4r,R55,nadh_c + 0.5*o2_c -> 2*atp_c,21.4378,1.669,18.0059,25.847,7.8411
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,NADTRHD_THD2pp,R56,nadh_c -> nadph_c,5.0227,22.0355,2.9986,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,NADTRHD_THD2pp_reverse,R57,nadph_c -> nadh_c,1.73E-07,22.0355,0,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,split;,PDH,R58,pyr_c -> nadh_c + accoa_c + co2_c,7.6259,0.4916,6.6728,8.6913,2.0185
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,PFK,R59,f6p_c + atp_c -> fdp_c,6.3846,0.2371,5.9449,6.888,0.9431
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,split;ko,PGI,R60,g6p_c -> f6p_c,11.5051,0.8755,9.8224,14.3317,4.5093
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,split;ko,PGI_reverse,R61,f6p_c -> g6p_c,5.4935,0.8529,3.8868,8.3218,4.435
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,PGM,R62,3pg_c -> pep_c,18.6377,19.5216,10.723,Inf,#VALUE!
