Index,Sample Index,Original Filename,Sample Name,Sample ID,Sample Comment,Sample Type,Acquisition Date & Time,Rack Number,Plate Number,Vial Number,Dilution Factor,Injection Volume,Operator Name,Acq. Method Name,IS,Component Name,Component Index,Component Comment,IS Comment,Mass Info,IS Mass Info,IS Name,Component Group Name,Conc. Units,Failed Query,IS Failed Query,Outlier Reasons,Peak Comment,IS Peak Comment,Actual Concentration,IS Actual Concentration,Concentration Ratio,Expected RT,IS Expected RT,Integration Type,IS Integration Type,Area,IS Area,Corrected Area,IS Corrected Area,Area Ratio,Height,IS Height,Corrected Height,IS Corrected Height,Height Ratio,Area / Height,IS Area / Height,Corrected Area/Height,IS Corrected Area/Height,Region Height,IS Region Height,Quality,IS Quality,Retention Time,IS Retention Time,Start Time,IS Start Time,End Time,IS End Time,Total Width,IS Total Width,Width at 50%,IS Width at 50%,Signal / Noise,IS Signal / Noise,Baseline Delta / Height,IS Baseline Delta / Height,Modified,Relative RT,Used,Calculated Concentration,Accuracy,Start Time at 5%,End Time at 5%,Width at 5%,Start Time at 10%,End Time at 10%,Width at 10%,Slope of Baseline,Tailing Factor,Asymmetry Factor,Ion Ratio,Expected Ion Ratio,Points Across Baseline,Points Across Half Height,Comment,Use_Calculated_Concentration
111,1,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_CalibrationCurves_DM.wiff (sample 1),140826_Blank-01,,,Blank,9/4/2014 17:15,2,1,53,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,TRUE,atp.atp_1.Heavy,111,,N/A,516.0 / 159.0,N/A,N/A,atp,uM,FALSE,FALSE,,,N/A,1,N/A,N/A,16,N/A,Baseline,N/A,3520.276,N/A,3520.276,N/A,N/A,772,N/A,772,N/A,N/A,4.559943005,N/A,4.559943005,N/A,2536,N/A,0.139514858,N/A,16.19507676,N/A,16.10593333,N/A,16.27876667,N/A,0.172833333,N/A,0.085866609,N/A,7.037242923,N/A,0,N/A,FALSE,N/A,TRUE,N/A,N/A,16.11060627,16.27721761,0.166611341,16.11527921,16.27566856,0.160389348,0,0.94243871,0.915764912,1,N/A,14,8,,TRUE
313,1,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_CalibrationCurves_DM.wiff (sample 1),140826_Blank-01,,,Blank,9/4/2014 17:15,2,1,53,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,FALSE,atp.atp_1.Light,313,,,506.0 / 408.0,516.0 / 159.0,atp.atp_1.Heavy,atp,uM,FALSE,FALSE,,,,N/A,1,N/A,16,16,Baseline,Baseline,351.532,3520.276,351.532,3520.276,0.099859216,331,772,331,772,0.428756477,1.062030211,4.559943005,1.062030211,4.559943005,441,2536,0.116821379,0.139514858,16.47821667,16.19507676,16.45163333,16.10593333,16.4915,16.27876667,0.039866667,0.172833333,0.01658914,0.085866609,6.476975303,7.037242923,0,0,FALSE,1.017483085,FALSE,0.759771734,N/A,16.45363438,16.49083583,0.037201455,16.45563542,16.49017167,0.034536242,0,0.756671932,0.529421711,1,N/A,4,3,,TRUE
441,2,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_CalibrationCurves_DM.wiff (sample 49),140826_Blank-02,,,Blank,9/5/2014 20:22,1,1,53,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,TRUE,atp.atp_1.Heavy,111,,N/A,516.0 / 159.0,N/A,N/A,atp,uM,FALSE,FALSE,,,N/A,1,N/A,N/A,16,N/A,Valley,N/A,372783.4813,N/A,372783.4813,N/A,N/A,18512.38773,N/A,18512.38773,N/A,N/A,20.13697459,N/A,20.13697459,N/A,18524,N/A,1,N/A,15.89956107,N/A,15.8157,N/A,16.81443333,N/A,0.998733333,N/A,0.320155466,N/A,24.86336597,N/A,0.209199591,N/A,FALSE,N/A,TRUE,N/A,N/A,15.8157,16.81443333,0.998733333,15.8157,16.81443333,0.998733333,3877.695684,14.30167064,27.60334129,1,N/A,72,26,,TRUE
643,2,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_CalibrationCurves_DM.wiff (sample 49),140826_Blank-02,,,Blank,9/5/2014 20:22,1,1,53,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,FALSE,atp.atp_1.Light,313,,,506.0 / 408.0,516.0 / 159.0,atp.atp_1.Heavy,atp,uM,FALSE,FALSE,,,,N/A,1,N/A,16,16,Baseline,Valley,3007.7305,372783.4813,3007.7305,372783.4813,0.008068304,882,18512.38773,882,18512.38773,0.047643773,3.410125283,20.13697459,3.410125283,20.13697459,882,18524,0.267115389,1,16.18693797,15.89956107,16.08895,15.8157,16.22098333,16.81443333,0.132033333,0.998733333,0.069021416,0.320155466,9.646306881,24.86336597,0,0.209199591,FALSE,1.018074518,FALSE,0.169470867,N/A,16.09493023,16.21982547,0.124895248,16.10091045,16.21866762,0.117757162,0,0.644433665,0.295132353,1,N/A,10,7,,TRUE
771,3,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_CalibrationCurves_DM.wiff (sample 2),140826_CM1_Level14,,,Standard,9/4/2014 17:49,2,1,1,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,TRUE,atp.atp_1.Heavy,111,,N/A,516.0 / 159.0,N/A,N/A,atp,uM,FALSE,FALSE,,,N/A,1,N/A,N/A,16,N/A,Valley,N/A,3673.445816,N/A,3673.445816,N/A,N/A,827.5393467,N/A,827.5393467,N/A,N/A,4.438998376,N/A,4.438998376,N/A,1433,N/A,0.32342607,N/A,16.17292336,N/A,16.0649,N/A,16.22576667,N/A,0.160866667,N/A,0.100076251,N/A,5.162835084,N/A,0.199060323,N/A,FALSE,N/A,TRUE,N/A,N/A,16.0649,16.22345624,0.158556244,16.0649,16.22245874,0.157558741,-1024.017299,0.73621534,0.463167382,1,N/A,13,10,,TRUE
973,3,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_CalibrationCurves_DM.wiff (sample 2),140826_CM1_Level14,,,Standard,9/4/2014 17:49,2,1,1,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,FALSE,atp.atp_1.Light,313,,,506.0 / 408.0,516.0 / 159.0,atp.atp_1.Heavy,atp,uM,FALSE,FALSE,Accuracy,,,0.002,1,0.002,16,16,Baseline,Valley,264.193,3673.445816,264.193,3673.445816,0.071919667,221,827.5393467,221,827.5393467,0.267056788,1.195443439,4.438998376,1.195443439,4.438998376,331,1433,0.129516531,0.32342607,16.23906667,16.17292336,16.22576667,16.0649,16.27898333,16.22576667,0.053216667,0.160866667,0.0133,0.100076251,4.769421222,5.162835084,0,0.199060323,FALSE,1.004089755,FALSE,0.509317038,25465.85192,16.22643167,16.27764561,0.051213947,16.22709667,16.27630789,0.049211227,0,2.026669844,3.11121364,1,N/A,5,3,,TRUE
1101,4,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_CalibrationCurves_DM.wiff (sample 5),140826_CM1_Level13,,,Standard,9/4/2014 19:30,1,1,4,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,TRUE,atp.atp_1.Heavy,111,,N/A,516.0 / 159.0,N/A,N/A,atp,uM,FALSE,FALSE,,,N/A,1,N/A,N/A,16,N/A,Baseline,N/A,7915.345,N/A,7915.345,N/A,N/A,1323,N/A,1323,N/A,N/A,5.982876039,N/A,5.982876039,N/A,1654,N/A,0.330266137,N/A,15.9534213,N/A,15.82685,N/A,16.0268,N/A,0.19995,N/A,0.16835,N/A,7.551446937,N/A,0,N/A,FALSE,N/A,TRUE,N/A,N/A,15.82812458,16.02576875,0.197644172,15.82939916,16.0247375,0.195338344,0,0.724101707,0.444801218,1,N/A,18,16,,TRUE
1303,4,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_CalibrationCurves_DM.wiff (sample 5),140826_CM1_Level13,,,Standard,9/4/2014 19:30,1,1,4,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,FALSE,atp.atp_1.Light,313,,,506.0 / 408.0,516.0 / 159.0,atp.atp_1.Heavy,atp,uM,FALSE,FALSE,Accuracy,,,0.004,1,0.004,16,16,Baseline,Baseline,615.6145,7915.345,615.6145,7915.345,0.077774816,441,1323,441,1323,0.333333333,1.395951247,5.982876039,1.395951247,5.982876039,441,1654,0.181056618,0.330266137,16.34872357,15.9534213,16.33535,15.82685,16.4018,16.0268,0.06645,0.19995,0.046555053,0.16835,6.271841727,7.551446937,0,0,FALSE,1.024778526,FALSE,0.611971979,15299.29948,16.33601417,16.40047467,0.064460505,16.33667833,16.39914934,0.062471011,0,2.554071397,4.225513221,1,N/A,6,6,,TRUE
1431,5,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_CalibrationCurves_DM.wiff (sample 8),140826_CM1_Level12,,,Standard,9/4/2014 21:12,2,1,7,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,TRUE,atp.atp_1.Heavy,111,,N/A,516.0 / 159.0,N/A,N/A,atp,uM,FALSE,FALSE,,,N/A,1,N/A,N/A,16,N/A,Baseline,N/A,6030.4925,N/A,6030.4925,N/A,N/A,1571.485655,N/A,1571.485655,N/A,N/A,3.837446738,N/A,3.837446738,N/A,2316,N/A,0.188504824,N/A,16.24484322,N/A,16.14516667,N/A,16.30491667,N/A,0.15975,N/A,0.136646099,N/A,7.353130879,N/A,0.069997457,N/A,FALSE,N/A,TRUE,N/A,N/A,16.14732913,16.30414532,0.156816187,16.14838392,16.30295898,0.154575066,688.5758998,0.666333933,0.325503831,1,N/A,13,13,,TRUE
1633,5,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_CalibrationCurves_DM.wiff (sample 8),140826_CM1_Level12,,,Standard,9/4/2014 21:12,2,1,7,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,FALSE,atp.atp_1.Light,313,,,506.0 / 408.0,516.0 / 159.0,atp.atp_1.Heavy,atp,uM,FALSE,FALSE,Accuracy,,,0.008,1,0.008,16,16,Baseline,Baseline,454.848,6030.4925,454.848,6030.4925,0.075424685,331,1571.485655,331,1571.485655,0.210628712,1.374163142,3.837446738,1.374163142,3.837446738,441,2316,0.121320024,0.188504824,16.05716893,16.24484322,16.02286667,16.14516667,16.0778,16.30491667,0.054933333,0.15975,0.037782202,0.136646099,4.140279722,7.353130879,0,0.069997457,FALSE,0.988447146,FALSE,0.421916273,5273.953411,16.02389511,16.07711333,0.05321822,16.02492356,16.07642667,0.051503107,0,0.662386882,0.315764407,1,N/A,5,5,,TRUE
