id,experiment_id,model_id,sample_name_abbreviation,time_point,used_,comment_
1,ALEWt01,iJO1366,OxicEvo03Glc,0,TRUE,
2,ALEWt01,iJO1366,OxicEvo04Glc,0,TRUE,
3,ALEWt01,iJO1366,OxicEvo08Glc,0,TRUE,
4,ALEWt01,iJO1366,OxicEvo09Glc,0,TRUE,
5,ALEWt01,iJO1366,OxicWtGlc,0,TRUE,
