experiment_id,sample_name_abbreviation,time_point,component_group_name,component_name,n_replicates_broth,calculated_concentration_broth_average,calculated_concentration_broth_cv,n_replicates_filtrate,calculated_concentration_filtrate_average,calculated_concentration_filtrate_cv,n_replicates,calculated_concentration_average,calculated_concentration_cv,calculated_concentration_units,extracellular_percent,used_,comment_
rpomut02,OxicRpoBE672K,0,camp,camp.camp_1.Light,6,0.008822072,10.37785962,2,0.002125531,6.1417525,6,0.006696541,13.81015171,mM,24.09333278,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,camp,camp.camp_1.Light,6,0.017693774,84.16617736,2,0.029784254,16.41672563,6,0,0,mM,168.3318369,t,
rpomut02,OxicWtGlc,0,camp,camp.camp_1.Light,6,0.007804093,10.9779756,2,0.002184323,3.399872036,6,0.00561977,15.30212433,mM,27.98945894,t,
rpomut02,OxicRph-pyrE82,0,chor,chor.chor_1.Light,6,4.724062846,72.21241647,2,18.7516386,3.288909978,6,0,0,mM,396.9388047,t,
rpomut02,OxicRpoBE546V,0,chor,chor.chor_1.Light,6,6.391035335,33.76797635,2,1.965742054,2.25870916,6,4.425293282,48.77823577,mM,30.75780293,t,
rpomut02,OxicRpoBE672K,0,chor,chor.chor_1.Light,6,4.280604128,19.60391999,2,1.568411424,2.887337904,6,2.712192704,30.98552781,mM,36.63995495,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,chor,chor.chor_1.Light,6,3.955831346,24.39843535,2,74.98591691,0.570365387,6,0,0,mM,1895.579218,t,
rpomut02,OxicWtGlc,0,chor,chor.chor_1.Light,6,5.946789454,21.81733305,2,3.045695655,38.65059036,6,2.901093799,60.38682511,mM,51.21579768,t,
rpomut02,OxicRph-pyrE82,0,cit,cit.cit_1.Light,6,1.196049067,33.88895275,2,0.781101167,61.28421087,6,0.4149479,151.1624728,mM,65.30678283,t,
rpomut02,OxicRpoBE546V,0,cit,cit.cit_1.Light,6,0.744429205,8.601876274,2,0.167068045,7.215448618,6,0.57736116,11.28577191,mM,22.44243563,t,
rpomut02,OxicRpoBE672K,0,cit,cit.cit_1.Light,6,0.409157481,16.7417798,2,0.08507079,5.426978387,6,0.324086692,21.1843468,mM,20.79169841,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,cit,cit.cit_1.Light,6,0.884688584,60.36679388,2,1.094410198,6.289479225,6,0,0,mM,123.7056991,t,
rpomut02,OxicWtGlc,0,cit,cit.cit_1.Light,6,0.223202116,18.10636058,2,0.119914781,15.7079794,6,0.103287335,43.16874064,mM,53.72475102,t,
rpomut02,OxicRph-pyrE82,0,citr-L,citr-L.citr-L_1.Light,6,0.025133225,57.04478255,2,0.031190151,5.482864016,6,0,0,mM,124.0992814,t,
rpomut02,OxicRpoBE546V,0,citr-L,citr-L.citr-L_1.Light,6,0.028499437,14.60568608,2,0.004375561,12.03066223,6,0.024123875,17.39228014,mM,15.35315031,t,
rpomut02,OxicRpoBE672K,0,citr-L,citr-L.citr-L_1.Light,6,0.025134337,10.50874896,2,0.001851538,16.2531801,6,0.023282799,11.4178384,mM,7.366567817,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,citr-L,citr-L.citr-L_1.Light,6,0.052821851,62.66204369,2,0.010134868,6.063245442,6,0.042686983,77.55281122,mM,19.18688593,t,
rpomut02,OxicWtGlc,0,citr-L,citr-L.citr-L_1.Light,6,0.022142874,18.46774977,2,0.00240733,19.98194533,6,0.019735544,20.86330004,mM,10.87180581,t,
rpomut02,OxicRph-pyrE82,0,cmp,cmp.cmp_1.Light,6,0.036548488,48.72668852,1,0.048229058,0,6,0,0,mM,131.9591077,t,
rpomut02,OxicRpoBE546V,0,cmp,cmp.cmp_1.Light,6,0.028199216,18.75259678,0,0,0,6,0.028199216,18.75259678,mM,0,t,
rpomut02,OxicRpoBE672K,0,cmp,cmp.cmp_1.Light,6,0.026290573,26.0336663,0,0,0,6,0.026290573,26.0336663,mM,0,t,
