"id","experiment_id","sample_name","sample_id","component_group_name","component_name","calculated_concentration","calculated_concentration_units","used_","comment_"
39480,"rpomut02","140503_0_OxicRpoBE672KGlcM9_Broth-6","140503_0_OxicRpoBE672KGlcM9_Broth-6","23dpg","23dpg.23dpg_1.Light",0.019401372,"mM",t,""
39481,"rpomut02","140503_0_OxicRpoBE672KGlcM9_Broth-6","140503_0_OxicRpoBE672KGlcM9_Broth-6","accoa","accoa.accoa_1.Light",1.017313923,"mM",t,""
39567,"rpomut02","140503_0_OxicRpoBE672KGlcM9_Filtrate-1","140503_0_OxicRpoBE672KGlcM9_Filtrate-1","23dpg","23dpg.23dpg_1.Light",0.004578107,"mM",t,""
39568,"rpomut02","140503_0_OxicRpoBE672KGlcM9_Filtrate-1","140503_0_OxicRpoBE672KGlcM9_Filtrate-1","ade","ade.ade_1.Light",0.001996724,"mM",t,""
39668,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-1","140503_0_OxicWTEcoliGlcM9_Broth-1","atp","atp.atp_1.Light",1.19756141005645,"mM",t,""
39742,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-2","140503_0_OxicWTEcoliGlcM9_Broth-2","23dpg","23dpg.23dpg_1.Light",0.004908513,"mM",t,""
39743,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-2","140503_0_OxicWTEcoliGlcM9_Broth-2","accoa","accoa.accoa_1.Light",0.781300153,"mM",t,""
39751,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-2","140503_0_OxicWTEcoliGlcM9_Broth-2","atp","atp.atp_1.Light",1.47626609752831,"mM",t,""
39836,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-3","140503_0_OxicWTEcoliGlcM9_Broth-3","atp","atp.atp_1.Light",0.750719694209685,"mM",t,""
39827,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-3","140503_0_OxicWTEcoliGlcM9_Broth-3","23dpg","23dpg.23dpg_1.Light",0.027477263,"mM",t,""
39828,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-3","140503_0_OxicWTEcoliGlcM9_Broth-3","accoa","accoa.accoa_1.Light",0.701102363,"mM",t,""
39921,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-4","140503_0_OxicWTEcoliGlcM9_Broth-4","atp","atp.atp_1.Light",1.41034429032977,"mM",t,""
39912,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-4","140503_0_OxicWTEcoliGlcM9_Broth-4","23dpg","23dpg.23dpg_1.Light",0.010503203,"mM",t,""
39913,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-4","140503_0_OxicWTEcoliGlcM9_Broth-4","accoa","accoa.accoa_1.Light",0.995006143,"mM",t,""
39996,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-5","140503_0_OxicWTEcoliGlcM9_Broth-5","23dpg","23dpg.23dpg_1.Light",0.007833128,"mM",t,""
39997,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-5","140503_0_OxicWTEcoliGlcM9_Broth-5","accoa","accoa.accoa_1.Light",0.783277424,"mM",t,""
40005,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-5","140503_0_OxicWTEcoliGlcM9_Broth-5","atp","atp.atp_1.Light",1.40443417986685,"mM",t,""
40066,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-5-10.0x","140503_0_OxicWTEcoliGlcM9_Broth-5","acon-C","acon-C.acon-C_1.Light",0.083064488,"mM",t,""
40067,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-5-10.0x","140503_0_OxicWTEcoliGlcM9_Broth-5","cit","cit.cit_1.Light",0.190901461,"mM",t,""
40091,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-6","140503_0_OxicWTEcoliGlcM9_Broth-6","atp","atp.atp_1.Light",0.713528036394092,"mM",t,""
40169,"rpomut02","140503_0_OxicWTEcoliGlcM9_Filtrate-1","140503_0_OxicWTEcoliGlcM9_Filtrate-1","23dpg","23dpg.23dpg_1.Light",0.005327653,"mM",t,""
40154,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-6-10.0x","140503_0_OxicWTEcoliGlcM9_Broth-6","acon-C","acon-C.acon-C_1.Light",0.071274671,"mM",t,""
40259,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-1","140523_0_OxicRph-pyrE82GlcM9_Broth-1","atp","atp.atp_1.Light",0.731478205773956,"mM",t,""
40334,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-2","140523_0_OxicRph-pyrE82GlcM9_Broth-2","atp","atp.atp_1.Light",3.15395007089047,"mM",t,""
40418,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-3","140523_0_OxicRph-pyrE82GlcM9_Broth-3","atp","atp.atp_1.Light",2.70886858782435,"mM",t,""
40409,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-3","140523_0_OxicRph-pyrE82GlcM9_Broth-3","23dpg","23dpg.23dpg_1.Light",0.022136468,"mM",t,""
40410,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-3","140523_0_OxicRph-pyrE82GlcM9_Broth-3","accoa","accoa.accoa_1.Light",2.992058366,"mM",t,""
40503,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-4","140523_0_OxicRph-pyrE82GlcM9_Broth-4","atp","atp.atp_1.Light",0.66849624037674,"mM",t,""
40494,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-4","140523_0_OxicRph-pyrE82GlcM9_Broth-4","23dpg","23dpg.23dpg_1.Light",,"mM",t,""
