Mass/Charge	Intensity
61.92	20410.3470448085
78.6	20410.3470448085
78.72	20410.3470448085
78.84	40820.6940896169
78.96	102051.735224042
80.88	20410.3470448085
96.84	40820.6940896169
96.96	61231.0411344254
97.08	20410.3470448085
97.44	20410.3470448085
97.8	20410.3470448085
98.76	20410.3470448085
98.88	81641.3881792339
99	61231.0411344254
99.12	20410.3470448085
99.48	20410.3470448085
110.88	20410.3470448085
117	40820.6940896169
123.24	20410.3470448085
143.28	20410.3470448085
153.12	20410.3470448085
160.92	20410.3470448085
161.64	40820.6940896169
177	20410.3470448085
178.08	20410.3470448085
178.92	20410.3470448085
201.12	20410.3470448085
225	40820.6940896169
238.2	20410.3470448085
239.28	20410.3470448085
240.96	20410.3470448085
243.12	40820.6940896169
243.24	20410.3470448085
259.2	20410.3470448085
261.24	20410.3470448085
283.2	20410.3470448085
296.88	20410.3470448085
297	40820.6940896169
297.24	20410.3470448085
305.04	20410.3470448085
340.8	61231.0411344254
340.92	142872.429313659
341.04	204103.470448085
341.16	428617.287940978
341.28	224513.817492893
341.4	40820.6940896169
341.52	20410.3470448085
341.64	40820.6940896169
341.76	61231.0411344254
