Mass/Charge	Intensity
78.6	114370.272894743
78.72	57185.1364473716
78.84	343110.818684229
78.96	285925.682236858
81.96	57185.1364473716
96.84	57185.1364473716
107.88	57185.1364473716
132.84	171555.409342115
133.08	171555.409342115
133.2	285925.682236858
142.32	57185.1364473716
149.64	57185.1364473716
149.88	114370.272894743
150	400295.955131601
150.12	800591.910263202
150.24	457481.091578972
150.36	57185.1364473716
151.08	57185.1364473716
158.52	57185.1364473716
158.64	171555.409342115
158.76	343110.818684229
158.88	2401775.73078961
159	7319697.46526356
159.12	5375402.82605293
159.24	743406.77381583
159.36	400295.955131601
159.6	514666.228026344
159.84	114370.272894743
160.44	57185.1364473716
174.96	285925.682236858
175.08	228740.545789486
176.16	57185.1364473716
176.76	114370.272894743
176.88	457481.091578972
177	686221.637368459
177.12	514666.228026344
177.24	114370.272894743
177.6	57185.1364473716
211.08	171555.409342115
220.92	114370.272894743
221.16	57185.1364473716
230.04	57185.1364473716
230.28	57185.1364473716
230.4	57185.1364473716
238.68	57185.1364473716
238.8	171555.409342115
238.92	514666.228026344
239.04	514666.228026344
239.16	228740.545789486
239.28	114370.272894743
239.76	57185.1364473716
255.12	57185.1364473716
272.76	57185.1364473716
272.88	171555.409342115
273	285925.682236858
273.12	57185.1364473716
273.24	171555.409342115
273.36	629036.500921087
276.96	57185.1364473716
325.8	57185.1364473716
325.92	114370.272894743
326.16	57185.1364473716
326.28	114370.272894743
326.4	114370.272894743
335.04	114370.272894743
343.8	114370.272894743
343.92	285925.682236858
344.04	285925.682236858
344.16	285925.682236858
344.28	114370.272894743
344.4	228740.545789486
344.52	114370.272894743
352.92	114370.272894743
362.28	57185.1364473716
370.8	171555.409342115
370.92	114370.272894743
371.04	57185.1364473716
380.88	57185.1364473716
406.2	57185.1364473716
407.04	57185.1364473716
423.6	57185.1364473716
423.72	686221.637368459
423.84	3145182.50460544
423.96	4917921.73447395
424.08	3774219.00552652
424.2	2344590.59434223
424.32	800591.910263202
424.44	457481.091578972
424.56	171555.409342115
424.68	114370.272894743
441.72	285925.682236858
441.84	514666.228026344
441.96	743406.77381583
442.08	1143702.72894743
442.2	228740.545789486
442.32	57185.1364473716
442.44	285925.682236858
451.8	57185.1364473716
485.76	171555.409342115
486.24	57185.1364473716
489.72	57185.1364473716
503.64	114370.272894743
503.76	57185.1364473716
503.88	171555.409342115
504	57185.1364473716
521.28	57185.1364473716
521.4	57185.1364473716
521.52	171555.409342115
521.64	2344590.59434223
521.76	7777178.55684253
521.88	8063104.23907939
522	7434067.7381583
522.12	4631996.0522371
522.24	2401775.73078961
522.36	800591.910263202
522.48	629036.500921087
522.6	57185.1364473716
522.72	171555.409342115
522.84	57185.1364473716
523.08	57185.1364473716
640.08	57185.1364473716
