Mass/Charge	Intensity
58.8	1146.97915669673
68.76	2293.95831339346
71.04	2293.95831339346
72.96	1146.97915669673
78	1146.97915669673
78.12	1146.97915669673
78.24	2293.95831339346
78.36	5734.89578348365
78.48	2293.95831339346
78.6	2293.95831339346
78.72	18351.6665071477
78.84	51614.0620513528
78.96	55054.999521443
79.08	8028.8540968771
79.2	3440.93747009019
79.32	1146.97915669673
79.44	2293.95831339346
79.56	2293.95831339346
79.92	1146.97915669673
80.16	2293.95831339346
81.84	1146.97915669673
82.32	2293.95831339346
85.2	1146.97915669673
86.76	2293.95831339346
86.88	1146.97915669673
87.12	1146.97915669673
87.48	1146.97915669673
87.96	1146.97915669673
88.2	3440.93747009019
88.92	1146.97915669673
96.6	1146.97915669673
96.72	10322.8124102706
96.84	22939.5831339346
96.96	51614.0620513528
97.08	9175.83325357383
97.2	3440.93747009019
97.56	2293.95831339346
97.68	1146.97915669673
98.64	1146.97915669673
98.76	2293.95831339346
98.88	6881.87494018038
99	1146.97915669673
100.92	3440.93747009019
103.08	2293.95831339346
113.04	1146.97915669673
113.4	1146.97915669673
118.8	1146.97915669673
118.92	1146.97915669673
119.04	2293.95831339346
119.88	1146.97915669673
120	6881.87494018038
120.12	2293.95831339346
120.48	1146.97915669673
121.2	1146.97915669673
125.04	1146.97915669673
126.72	1146.97915669673
127.08	1146.97915669673
128.16	1146.97915669673
129.24	1146.97915669673
131.88	2293.95831339346
134.88	3440.93747009019
135	6881.87494018038
135.12	4587.91662678692
135.36	1146.97915669673
135.48	2293.95831339346
136.92	1146.97915669673
141	1146.97915669673
141.12	2293.95831339346
143.16	2293.95831339346
147	1146.97915669673
149.16	2293.95831339346
149.52	1146.97915669673
151.32	2293.95831339346
155.16	1146.97915669673
157.08	1146.97915669673
159	2293.95831339346
160.92	1146.97915669673
161.16	1146.97915669673
162.12	1146.97915669673
167.64	1146.97915669673
174.96	1146.97915669673
175.08	1146.97915669673
175.2	1146.97915669673
178.92	11469.7915669673
179.04	25233.541447328
179.16	8028.8540968771
179.28	1146.97915669673
179.4	2293.95831339346
180.96	2293.95831339346
181.68	1146.97915669673
198.96	3440.93747009019
199.2	1146.97915669673
199.44	1146.97915669673
201	17204.6873504509
201.12	1146.97915669673
201.24	5734.89578348365
201.48	2293.95831339346
201.72	1146.97915669673
203.04	2293.95831339346
204.84	1146.97915669673
204.96	2293.95831339346
233.16	5734.89578348365
242.76	1146.97915669673
243	2293.95831339346
243.12	3440.93747009019
243.24	2293.95831339346
243.36	1146.97915669673
260.76	4587.91662678692
260.88	14910.7290370575
261	63083.8536183201
261.12	48173.1245812626
261.24	25233.541447328
261.36	13763.7498803608
261.48	5734.89578348365
261.6	3440.93747009019
735.96	1146.97915669673
