ms_group,q1_mass,rt
amp.amp_m0-0,346.0552593,11.6
amp.amp_m1-0,347.0586141,11.6
amp.amp_m10-0,356.0888077,11.6
amp.amp_m2-0,348.061969,11.6
amp.amp_m3-0,349.0653238,11.6
amp.amp_m4-0,350.0686787,11.6
amp.amp_m5-0,351.0720335,11.6
amp.amp_m6-0,352.0753883,11.6
amp.amp_m7-0,353.0787432,11.6
amp.amp_m8-0,354.082098,11.6
amp.amp_m9-0,355.0854528,11.6
asp-L.asp-L_m0-0,132.0296827,2.3
asp-L.asp-L_m1-0,133.0330375,2.3
asp-L.asp-L_m1-1,133.0330375,2.3
asp-L.asp-L_m2-1,134.0363924,2.3
asp-L.asp-L_m2-2,134.0363924,2.3
asp-L.asp-L_m3-2,135.0397472,2.3
asp-L.asp-L_m3-3,135.0397472,2.3
asp-L.asp-L_m4-3,136.043102,2.3
atp.atp_m0-0,505.9879201,16
atp.atp_m1-0,506.991275,16
atp.atp_m10-0,516.0214685,16
atp.atp_m2-0,507.9946298,16
atp.atp_m3-0,508.9979846,16
atp.atp_m4-0,510.0013395,16
atp.atp_m5-0,511.0046943,16
atp.atp_m6-0,512.0080492,16
atp.atp_m7-0,513.011404,16
atp.atp_m8-0,514.0147588,16
atp.atp_m9-0,515.0181137,16
chor.chor_m0-0,223.024263,13.6
chor.chor_m1-0,224.0276178,13.6
chor.chor_m10-9,233.0578113,13.6
chor.chor_m1-1,224.0276178,13.6
chor.chor_m2-1,225.0309726,13.6
chor.chor_m2-2,225.0309726,13.6
chor.chor_m3-2,226.0343275,13.6
chor.chor_m3-3,226.0343275,13.6
chor.chor_m4-3,227.0376823,13.6
chor.chor_m4-4,227.0376823,13.6
chor.chor_m5-4,228.0410371,13.6
chor.chor_m5-5,228.0410371,13.6
chor.chor_m6-5,229.044392,13.6
chor.chor_m6-6,229.044392,13.6
chor.chor_m7-6,230.0477468,13.6
chor.chor_m7-7,230.0477468,13.6
chor.chor_m8-7,231.0511017,13.6
chor.chor_m8-8,231.0511017,13.6
chor.chor_m9-8,232.0544565,13.6
chor.chor_m9-9,232.0544565,13.6
dhap.dhap_m0-0,168.9901994,10.1
dhap.dhap_m1-0,169.9935543,10.1
dhap.dhap_m2-0,170.9969091,10.1
dhap.dhap_m3-0,172.0002639,10.1
f6p.f6p_m0-0,259.0219,7.09
f6p.f6p_m1-0,260.0252,7
f6p.f6p_m2-0,261.0286,7
f6p.f6p_m3-0,262.032,7
f6p.f6p_m4-0,263.0353,7
f6p.f6p_m5-0,264.0387,7
f6p.f6p_m6-0,265.042,7
fad.fad_m0-0,784.1493094,15
fad.fad_m1-0,785.1526643,15
fad.fad_m10-0,794.1828578,15
fad.fad_m11-0,795.1862126,15
fad.fad_m12-0,796.1895675,15
fad.fad_m13-0,797.1929223,15
fad.fad_m14-0,798.1962772,15
fad.fad_m15-0,799.199632,15
fad.fad_m16-0,800.2029868,15
fad.fad_m17-0,801.2063417,15
fad.fad_m18-0,802.2096965,15
fad.fad_m19-0,803.2130513,15
fad.fad_m2-0,786.1560191,15
fad.fad_m20-0,804.2164062,15
fad.fad_m21-0,805.219761,15
fad.fad_m22-0,806.2231159,15
fad.fad_m23-0,807.2264707,15
fad.fad_m24-0,808.2298255,15
fad.fad_m25-0,809.2331804,15
