Mass/Charge	Intensity
78.48	23415.8339631282
78.6	187326.671705025
78.72	23415.8339631282
78.84	280990.007557538
78.96	117079.169815641
79.08	46831.6679262564
79.2	46831.6679262564
81	23415.8339631282
96.96	46831.6679262564
118.92	23415.8339631282
120.96	23415.8339631282
134.04	23415.8339631282
134.16	46831.6679262564
135.12	23415.8339631282
135.24	23415.8339631282
135.72	23415.8339631282
136.08	210742.505668154
136.2	117079.169815641
136.8	23415.8339631282
136.92	23415.8339631282
137.04	70247.5018893845
137.16	93663.3358525127
138.12	117079.169815641
138.24	23415.8339631282
138.84	23415.8339631282
138.96	23415.8339631282
158.52	46831.6679262564
158.64	117079.169815641
158.76	351237.509446923
158.88	1217623.36608267
159	3371880.09069046
159.12	1311286.70193518
159.24	140495.003778769
159.36	46831.6679262564
159.48	46831.6679262564
159.72	23415.8339631282
159.84	23415.8339631282
159.96	46831.6679262564
160.8	23415.8339631282
160.92	23415.8339631282
161.04	93663.3358525127
161.16	46831.6679262564
161.28	23415.8339631282
161.88	23415.8339631282
176.16	117079.169815641
176.76	70247.5018893845
176.88	70247.5018893845
177	280990.007557538
177.12	187326.671705025
177.24	46831.6679262564
177.36	23415.8339631282
177.96	46831.6679262564
178.08	93663.3358525127
178.32	46831.6679262564
180	23415.8339631282
187.2	23415.8339631282
196.32	23415.8339631282
215.16	46831.6679262564
218.28	23415.8339631282
218.4	23415.8339631282
220.92	46831.6679262564
221.04	23415.8339631282
238.8	23415.8339631282
238.92	140495.003778769
239.04	140495.003778769
239.16	70247.5018893845
239.28	23415.8339631282
239.76	46831.6679262564
255.36	23415.8339631282
258.24	46831.6679262564
258.36	46831.6679262564
272.88	23415.8339631282
273.24	23415.8339631282
273.84	23415.8339631282
273.96	46831.6679262564
274.08	70247.5018893845
274.44	23415.8339631282
274.92	46831.6679262564
275.04	70247.5018893845
275.16	23415.8339631282
275.28	46831.6679262564
275.88	23415.8339631282
276	23415.8339631282
276.12	46831.6679262564
276.24	93663.3358525127
277.44	46831.6679262564
278.04	23415.8339631282
278.16	70247.5018893845
278.52	23415.8339631282
294.24	23415.8339631282
308.16	23415.8339631282
310.2	23415.8339631282
315.24	23415.8339631282
331.2	23415.8339631282
332.88	70247.5018893845
333.12	163910.837741897
333.24	46831.6679262564
333.6	23415.8339631282
335.04	23415.8339631282
350.88	23415.8339631282
356.52	23415.8339631282
371.04	46831.6679262564
374.16	23415.8339631282
375.12	23415.8339631282
376.08	23415.8339631282
386.04	23415.8339631282
411	23415.8339631282
411.12	23415.8339631282
412.8	210742.505668154
412.92	632227.517004461
413.04	1334702.53589831
413.16	1194207.53211954
413.28	561980.015115076
413.4	117079.169815641
413.52	46831.6679262564
413.64	23415.8339631282
430.8	46831.6679262564
430.92	163910.837741897
431.04	280990.007557538
431.16	327821.675483795
431.28	187326.671705025
431.4	46831.6679262564
431.52	46831.6679262564
432	23415.8339631282
474.84	46831.6679262564
474.96	23415.8339631282
475.08	46831.6679262564
492.72	23415.8339631282
492.84	23415.8339631282
492.96	163910.837741897
493.08	70247.5018893845
493.2	70247.5018893845
493.44	23415.8339631282
510.48	46831.6679262564
510.6	327821.675483795
510.72	1475197.53967708
510.84	2880147.57746477
510.96	4472424.28695748
511.08	2341583.39631282
511.2	889801.690598871
511.32	491732.513225692
511.44	280990.007557538
511.56	46831.6679262564
512.88	23415.8339631282
513.24	23415.8339631282
514.44	46831.6679262564
608.76	23415.8339631282
