Mass/Charge	Intensity
78.48	39126.5968821204
78.72	117379.790646361
78.84	156506.387528482
78.96	117379.790646361
79.2	78253.1937642408
79.32	39126.5968821204
79.44	39126.5968821204
80.4	39126.5968821204
81.6	39126.5968821204
106.92	39126.5968821204
131.52	39126.5968821204
134.16	39126.5968821204
135.12	156506.387528482
135.24	78253.1937642408
135.84	39126.5968821204
136.08	352139.371939083
136.2	78253.1937642408
137.04	39126.5968821204
137.16	78253.1937642408
137.52	39126.5968821204
138.12	117379.790646361
138.24	39126.5968821204
158.64	156506.387528482
158.76	430392.565703324
158.88	1291177.69710997
159	6103749.11361078
159.12	2934494.76615903
159.24	626025.550113926
159.36	352139.371939083
159.48	195632.984410602
159.6	78253.1937642408
159.72	39126.5968821204
160.92	39126.5968821204
161.04	39126.5968821204
162.12	39126.5968821204
163.68	78253.1937642408
175.08	39126.5968821204
176.04	39126.5968821204
176.76	78253.1937642408
176.88	39126.5968821204
177	547772.356349685
177.12	430392.565703324
177.24	39126.5968821204
177.36	39126.5968821204
177.96	78253.1937642408
178.08	78253.1937642408
178.2	39126.5968821204
179.04	78253.1937642408
183	39126.5968821204
195.12	78253.1937642408
216.24	39126.5968821204
217.08	39126.5968821204
218.16	39126.5968821204
221.04	39126.5968821204
238.8	39126.5968821204
238.92	39126.5968821204
239.04	273886.178174843
239.16	39126.5968821204
239.28	156506.387528482
239.76	117379.790646361
249.36	39126.5968821204
273	78253.1937642408
273.72	39126.5968821204
273.96	234759.581292722
274.08	39126.5968821204
274.2	117379.790646361
274.32	39126.5968821204
274.44	39126.5968821204
274.92	117379.790646361
275.04	39126.5968821204
275.16	39126.5968821204
275.28	39126.5968821204
275.88	39126.5968821204
276.12	78253.1937642408
276.24	39126.5968821204
276.48	39126.5968821204
276.96	39126.5968821204
277.2	78253.1937642408
307.2	39126.5968821204
314.28	78253.1937642408
330	39126.5968821204
331.92	39126.5968821204
332.28	78253.1937642408
332.4	78253.1937642408
350.28	78253.1937642408
353.04	39126.5968821204
355.08	39126.5968821204
356.88	39126.5968821204
372.12	78253.1937642408
373.8	39126.5968821204
374.04	39126.5968821204
394.08	39126.5968821204
410.28	39126.5968821204
411.6	39126.5968821204
411.72	78253.1937642408
411.84	313012.775056963
411.96	978164.92205301
412.08	1799823.45657754
412.2	1917203.2472239
412.32	1017291.51893513
412.44	78253.1937642408
412.56	78253.1937642408
412.68	117379.790646361
412.92	39126.5968821204
413.4	39126.5968821204
429.84	39126.5968821204
429.96	665152.146996046
430.08	430392.565703324
430.2	273886.178174843
430.32	117379.790646361
430.44	39126.5968821204
430.92	78253.1937642408
460.68	39126.5968821204
474.12	39126.5968821204
491.76	39126.5968821204
491.88	78253.1937642408
492	234759.581292722
492.12	117379.790646361
492.96	39126.5968821204
509.64	391265.968821204
509.76	1330304.29399209
509.88	4343052.25391536
510	5634229.95102533
510.12	4695191.62585445
510.24	1956329.84410602
510.36	743405.340760287
510.48	313012.775056963
510.6	195632.984410602
510.72	234759.581292722
510.84	78253.1937642408
511.08	39126.5968821204
