783.8000	5.4518	0.6994
783.8200	16.3554	2.0981
783.8400	9.6536	1.2384
783.8600	15.1054	1.9378
783.8800	13.4036	1.7195
783.9000	15.5573	1.9957
783.9200	21.5813	2.7685
783.9400	30.5573	3.9200
783.9600	14.4277	1.8508
783.9800	26.6868	3.4235
784.0000	56.4458	7.2411
784.0200	135.3616	17.3648
784.0400	259.7292	33.3192
784.0600	410.3167	52.6372
784.0800	545.5429	69.9845
784.1000	743.5552	95.3864
784.1200	779.5192	100.0000
784.1400	645.0913	82.7550
784.1600	551.9587	70.8076
784.1800	364.0367	46.7002
784.2000	262.4100	33.6631
784.2200	214.7292	27.5464
784.2400	132.6207	17.0131
784.2600	78.4640	10.0657
784.2800	58.9308	7.5599
784.3000	32.5904	4.1808
784.3200	17.4850	2.2430
784.3400	10.1054	1.2964
784.3600	15.7832	2.0247
784.3800	5.9036	0.7573
784.4000	5.6777	0.7284
784.4200	10.3313	1.3253
784.4400	2.9518	0.3787
784.4800	2.9518	0.3787
784.5000	6.9277	0.8887
784.5200	1.2500	0.1604
784.5400	3.9759	0.5100
784.5600	2.5000	0.3207
784.5800	5.4518	0.6994
784.6000	1.2500	0.1604
784.6200	6.9277	0.8887
784.6400	10.1054	1.2964
784.6600	3.9759	0.5100
784.6800	6.7018	0.8597
784.7000	5.6777	0.7284
784.7200	3.9759	0.5100
784.7400	5.6777	0.7284
784.7600	7.9518	1.0201
784.7800	16.9277	2.1716
784.8000	14.8795	1.9088
784.8200	12.1536	1.5591
784.8400	18.8554	2.4189
784.8600	19.6536	2.5212
784.8800	18.0573	2.3165
784.9000	22.0332	2.8265
784.9200	31.0091	3.9780
784.9400	20.1054	2.5792
784.9600	33.5091	4.2987
784.9800	51.7922	6.6441
785.0000	61.8977	7.9405
785.0200	105.3917	13.5201
785.0400	171.8075	22.0402
785.0600	220.3015	28.2612
785.0800	261.6269	33.5626
785.1000	266.2955	34.1615
785.1200	247.6660	31.7716
785.1400	165.5575	21.2384
785.1600	157.0484	20.1468
785.1800	79.9399	10.2550
785.2000	82.4399	10.5757
785.2200	57.9067	7.4285
785.2400	35.1958	4.5151
785.2600	16.3554	2.0981
785.2800	17.3795	2.2295
785.3000	12.6054	1.6171
785.3200	5.2259	0.6704
785.3400	3.9759	0.5100
785.3600	15.5573	1.9957
785.3800	2.7259	0.3497
785.4200	4.2018	0.5390
785.4400	2.7259	0.3497
785.4600	1.4759	0.1893
785.5200	1.2500	0.1604
785.5800	5.4518	0.6994
785.6000	1.4759	0.1893
785.6200	4.2018	0.5390
785.6400	2.9518	0.3787
785.6600	2.7259	0.3497
785.6800	2.7259	0.3497
785.7000	5.2259	0.6704
785.7200	3.7500	0.4811
785.7400	11.9277	1.5301
785.7600	15.3313	1.9668
785.7800	7.9518	1.0201
785.8000	19.0813	2.4478
785.8200	10.9036	1.3988
785.8400	12.1536	1.5591
785.8600	18.8554	2.4189
785.8800	14.3073	1.8354
785.9000	8.9759	1.1515
785.9200	13.6295	1.7485
785.9400	26.8073	3.4389
785.9600	26.5813	3.4100
785.9800	22.2591	2.8555
786.0000	49.5181	6.3524
786.0200	38.6145	4.9536
786.0400	58.4790	7.5019
786.0600	92.3194	11.8431
786.0800	65.4067	8.3906
786.1000	68.1326	8.7403
786.1200	59.3977	7.6198
786.1400	31.1145	3.9915
786.1600	37.9368	4.8667
786.1800	30.0904	3.8601
786.2000	30.4368	3.9046
786.2200	10.9036	1.3988
786.2400	9.6536	1.2384
786.2600	11.5813	1.4857
786.2800	1.2500	0.1604
786.3000	6.9277	0.8887
786.3200	6.7018	0.8597
786.3400	6.9277	0.8887
786.3600	6.7018	0.8597
786.3800	5.6777	0.7284
786.4000	1.2500	0.1604
786.4200	1.4759	0.1893
786.5200	6.2500	0.8018
786.5400	1.2500	0.1604
786.5600	2.7259	0.3497
786.5800	2.7259	0.3497
786.6200	3.9759	0.5100
786.6400	2.9518	0.3787
786.6600	1.4759	0.1893
786.6800	10.2259	1.3118
786.7000	13.4036	1.7195
786.7200	5.6777	0.7284
786.7400	21.2350	2.7241
786.7600	14.6536	1.8798
786.7800	16.5813	2.1271
786.8000	7.1536	0.9177
786.8200	15.1054	1.9378
786.8400	21.0091	2.6951
786.8600	19.0813	2.4478
786.8800	10.4518	1.3408
786.9000	16.5813	2.1271
786.9200	27.6054	3.5413
786.9400	9.2018	1.1804
786.9600	21.0091	2.6951
786.9800	6.9277	0.8887
787.0000	27.4850	3.5259
787.0200	24.0813	3.0893
787.0400	17.0332	2.1851
787.0600	21.8073	2.7975
787.0800	31.2350	4.0070
787.1000	18.5091	2.3744
787.1200	17.0332	2.1851
787.1400	11.1295	1.4277
787.1600	18.0573	2.3165
787.1800	18.5091	2.3744
787.2000	6.4759	0.8308
787.2200	9.4277	1.2094
787.2400	3.9759	0.5100
787.2600	12.1536	1.5591
787.2800	3.9759	0.5100
787.3000	7.9518	1.0201
787.3200	1.4759	0.1893
787.3400	3.7500	0.4811
787.3600	5.6777	0.7284
787.3800	2.7259	0.3497
787.4200	1.4759	0.1893
787.4400	2.5000	0.3207
787.4600	1.2500	0.1604
787.5000	1.4759	0.1893
787.5200	1.4759	0.1893
787.5800	1.2500	0.1604
787.6000	4.4277	0.5680
787.6200	7.3795	0.9467
787.6400	5.2259	0.6704
787.6600	5.4518	0.6994
787.6800	13.4036	1.7195
787.7000	12.3795	1.5881
