Reaction,Flux
CSND,0.0
ADNt2pp,0.0
GTPDPDP,0.0
CITtex_reverse,0.0
GAMtex_reverse,0.0
MEOHtrpp_reverse,1.8030196698530937e-06
NH4tpp_reverse,0.0
NMNtex_reverse,0.0
NTD10,0.0
NTD11,0.0
NTD12,0.0
PMEACPE,1.8030196698530937e-06
PItex_reverse,0.0
XTSNH,0.0
UMPSYN_anaerobic,0.0
DCAtex_reverse,0.0
Htex,0.0
P5CD,0.0
2DGULRy,0.0
2DGULRx,0.0
GAMptspp,0.0
THRt2rpp_reverse,0.00446427670255626
P5CR,0.1936425095225524
GLUTRR,0.004824880636526879
GLUTRS,0.004824880636526879
ULA4Ntppi,0.0
GLCtexi,0.0
MSAR,0.0
AGM4Pt2pp,0.0
EX_uacgam_LPAREN_e_RPAREN_,0.0
KAS15,0.2823393576514707
HBZOPT,0.00020103669319082335
LEUtex,0.0
EX_r5p_LPAREN_e_RPAREN_,0.0
G5SADs,0.1936425095225524
ALAALAtex,0.0
EX_cm_LPAREN_e_RPAREN_,0.0
ORNtex,0.0
2AGPG141tipp,0.0
RHAT1,0.007348206664486284
OMMBLHX,0.00020103669319082584
OMPHHX,0.00020103669319082584
E4PD,0.00020103669318861995
PLIPA2A180pp,0.0
SCYSDS,0.0
TREHpp,0.0
PGM_reverse,14.47595670346088
EX_leu_DASH_L_LPAREN_e_RPAREN_,0.0
42A12BOOXpp,0.0
ACOAD1f,0.0
METSOX2tex,0.0
GALCTNtex_reverse,0.0
IDONt2rpp,0.0
EX_meoh_LPAREN_e_RPAREN_,1.8030196698530937e-06
GLYCTO4,0.0
LPLIPAL2ATG120,0.0
GLYCTO3,0.0
GLYCTO2,0.0008041467727544216
LALADGLUtpp,0.0
MOX_reverse,0.0
LYXt2pp,0.0
GLYALDtpp_reverse,0.0
ARBt2rpp_reverse,0.0
NDPK8_reverse,0.0
PUNP1,0.0
2AGPEAT181,0.0
2AGPEAT180,0.0
AGMtex_reverse,0.0
EX_hacolipa_LPAREN_e_RPAREN_,0.0
PUNP3,0.0
DAPAL,0.0
LPLIPAL2E181,0.0
ARBTNtex,0.0
PAPA181pp,0.0
COBALT2abcpp,0.0
CYTBO3_4pp,35.99189632809384
UMPtex,0.0
GALCTt2rpp,0.0
MN2t3pp,0.0
EX_rmn_LPAREN_e_RPAREN_,0.0
LPLIPAL2G140,0.0
LPLIPAL2G141,0.0
ALLTNt2rpp_reverse,0.0
MTRPOX,0.0
SO4t2pp,0.227165152734296
FRUURtex_reverse,0.0
TMDPP_reverse,0.0
H2tpp_reverse,0.0
DSERt2pp,0.0
ACONIs,0.0
UAGPT3,0.024860936717769386
ASPTA,0.0
GART,0.10375747143144479
CYSDDS,0.0
PMPK,0.00020103669318861995
GAMAN6Ptex,0.0
DHCIND,0.0
UDCPPtppi,0.0
34dhpactex,0.0
EAR121y,0.0
EAR121x,0.1288924671387882
ALATRS,0.0
CTBTt2rpp,0.0
